Time                          Total bandwidth               
0.0                           0.0                           
0.105                         0.0                           
0.205                         0.0                           
0.306                         0.0                           
0.407                         0.0                           
0.507                         0.0                           
0.607                         0.0                           
0.707                         0.0                           
0.807                         1169000.0                     
0.908                         1169000.0                     
1.008                         1169000.0                     
1.108                         1169000.0                     
1.21                          1169000.0                     
1.31                          1169000.0                     
1.411                         1169000.0                     
1.512                         1169000.0                     
1.612                         1169000.0                     
1.713                         1169000.0                     
1.814                         950000.0                      
1.915                         950000.0                      
2.016                         950000.0                      
2.139                         950000.0                      
2.239                         950000.0                      
2.34                          950000.0                      
2.44                          950000.0                      
2.541                         950000.0                      
2.642                         950000.0                      
2.743                         999000.0                      
2.843                         999000.0                      
2.945                         999000.0                      
3.046                         999000.0                      
3.147                         999000.0                      
3.247                         999000.0                      
3.348                         999000.0                      
3.449                         999000.0                      
3.55                          999000.0                      
3.65                          999000.0                      
3.751                         999000.0                      
3.852                         999000.0                      
3.953                         999000.0                      
4.053                         999000.0                      
4.154                         999000.0                      
4.254                         999000.0                      
4.354                         999000.0                      
4.455                         999000.0                      
4.555                         999000.0                      
4.656                         999000.0                      
4.756                         949000.0                      
4.856                         949000.0                      
4.956                         949000.0                      
5.057                         949000.0                      
5.157                         949000.0                      
5.259                         949000.0                      
5.359                         949000.0                      
5.46                          949000.0                      
5.561                         949000.0                      
5.662                         949000.0                      
5.762                         999000.0                      
5.863                         999000.0                      
5.963                         999000.0                      
6.064                         999000.0                      
6.164                         999000.0                      
6.265                         999000.0                      
6.366                         999000.0                      
6.472                         999000.0                      
6.572                         999000.0                      
6.674                         999000.0                      
6.775                         948000.0                      
6.876                         948000.0                      
6.977                         948000.0                      
7.078                         948000.0                      
7.178                         948000.0                      
7.279                         948000.0                      
7.379                         948000.0                      
7.479                         948000.0                      
7.58                          948000.0                      
7.681                         948000.0                      
7.782                         998000.0                      
7.883                         998000.0                      
7.984                         998000.0                      
8.085                         998000.0                      
8.185                         998000.0                      
8.285                         998000.0                      
8.386                         998000.0                      
8.487                         998000.0                      
8.588                         998000.0                      
8.689                         998000.0                      
8.79                          950000.0                      
8.89                          950000.0                      
8.992                         950000.0                      
9.093                         950000.0                      
9.195                         950000.0                      
9.295                         950000.0                      
9.395                         950000.0                      
9.496                         950000.0                      
9.597                         950000.0                      
9.697                         950000.0                      
9.798                         999000.0                      
9.899                         999000.0                      
9.999                         999000.0                      
10.1                          999000.0                      
10.201                        999000.0                      
10.301                        999000.0                      
10.402                        999000.0                      
10.502                        999000.0                      
10.603                        999000.0                      
10.703                        999000.0                      
10.804                        950000.0                      
10.904                        950000.0                      
11.004                        950000.0                      
11.106                        950000.0                      
11.208                        950000.0                      
11.309                        950000.0                      
11.409                        950000.0                      
11.509                        950000.0                      
11.61                         950000.0                      
11.711                        950000.0                      
11.812                        999000.0                      
11.914                        999000.0                      
12.015                        999000.0                      
12.116                        999000.0                      
12.217                        999000.0                      
12.318                        999000.0                      
12.418                        999000.0                      
12.519                        999000.0                      
12.62                         999000.0                      
12.72                         999000.0                      
12.82                         999000.0                      
12.921                        999000.0                      
13.022                        999000.0                      
13.123                        999000.0                      
13.224                        999000.0                      
13.324                        999000.0                      
13.425                        999000.0                      
13.525                        999000.0                      
13.626                        999000.0                      
13.727                        999000.0                      
13.829                        950000.0                      
13.93                         950000.0                      
14.031                        950000.0                      
14.131                        950000.0                      
14.232                        950000.0                      
14.333                        950000.0                      
14.433                        950000.0                      
14.534                        950000.0                      
14.634                        950000.0                      
14.734                        950000.0                      
14.835                        1000000.0                     
14.935                        1000000.0                     
15.036                        1000000.0                     
15.136                        1000000.0                     
15.238                        1000000.0                     
15.339                        1000000.0                     
15.439                        1000000.0                     
15.54                         1000000.0                     
15.64                         1000000.0                     
15.742                        1000000.0                     
15.843                        948000.0                      
15.943                        948000.0                      
16.043                        948000.0                      
16.145                        948000.0                      
16.246                        948000.0                      
16.346                        948000.0                      
16.448                        948000.0                      
16.548                        948000.0                      
16.65                         948000.0                      
16.75                         1000000.0                     
16.851                        1000000.0                     
16.951                        1000000.0                     
17.052                        1000000.0                     
17.152                        1000000.0                     
17.252                        1000000.0                     
17.353                        1000000.0                     
17.453                        1000000.0                     
17.554                        1000000.0                     
17.655                        1000000.0                     
17.756                        1000000.0                     
17.857                        1000000.0                     
17.958                        1000000.0                     
18.058                        1000000.0                     
18.158                        1000000.0                     
18.258                        1000000.0                     
18.359                        1000000.0                     
18.459                        1000000.0                     
18.559                        1000000.0                     
18.66                         1000000.0                     
18.76                         949000.0                      
18.86                         949000.0                      
18.96                         949000.0                      
19.061                        949000.0                      
19.161                        949000.0                      
19.262                        949000.0                      
19.363                        949000.0                      
19.464                        949000.0                      
19.564                        949000.0                      
19.665                        949000.0                      
19.766                        899000.0                      
19.867                        899000.0                      
19.967                        899000.0                      
20.068                        899000.0                      
20.169                        899000.0                      
20.27                         899000.0                      
20.372                        899000.0                      
20.472                        899000.0                      
20.573                        899000.0                      
20.673                        899000.0                      
20.775                        1099000.0                     
20.876                        1099000.0                     
20.977                        1099000.0                     
21.079                        1099000.0                     
21.181                        1099000.0                     
21.281                        1099000.0                     
21.383                        1099000.0                     
21.483                        1099000.0                     
21.584                        1099000.0                     
21.685                        1099000.0                     
21.786                        950000.0                      
21.886                        950000.0                      
21.986                        950000.0                      
22.087                        950000.0                      
22.188                        950000.0                      
22.289                        950000.0                      
22.389                        950000.0                      
22.489                        950000.0                      
22.59                         950000.0                      
22.69                         950000.0                      
22.791                        999000.0                      
22.892                        999000.0                      
22.992                        999000.0                      
23.093                        999000.0                      
23.193                        999000.0                      
23.294                        999000.0                      
23.394                        999000.0                      
23.495                        999000.0                      
23.597                        999000.0                      
23.698                        999000.0                      
23.799                        999000.0                      
23.899                        999000.0                      
24.0                          999000.0                      
24.1                          999000.0                      
24.2                          999000.0                      
24.301                        999000.0                      
24.401                        999000.0                      
24.502                        999000.0                      
24.602                        999000.0                      
24.703                        999000.0                      
24.804                        949000.0                      
24.905                        949000.0                      
25.005                        949000.0                      
25.105                        949000.0                      
25.206                        949000.0                      
25.306                        949000.0                      
25.407                        949000.0                      
25.507                        949000.0                      
25.608                        949000.0                      
25.71                         949000.0                      
25.811                        1000000.0                     
25.912                        1000000.0                     
26.012                        1000000.0                     
26.114                        1000000.0                     
26.214                        1000000.0                     
26.315                        1000000.0                     
26.416                        1000000.0                     
26.517                        1000000.0                     
26.617                        1000000.0                     
26.718                        1000000.0                     
26.819                        950000.0                      
26.919                        950000.0                      
27.019                        950000.0                      
27.119                        950000.0                      
27.219                        950000.0                      
27.32                         950000.0                      
27.42                         950000.0                      
27.52                         950000.0                      
27.621                        950000.0                      
27.721                        950000.0                      
27.821                        999000.0                      
27.921                        999000.0                      
28.022                        999000.0                      
28.122                        999000.0                      
28.223                        999000.0                      
28.323                        999000.0                      
28.423                        999000.0                      
28.523                        999000.0                      
28.624                        999000.0                      
28.725                        999000.0                      
28.825                        1000000.0                     
28.925                        1000000.0                     
29.026                        1000000.0                     
29.126                        1000000.0                     
29.227                        1000000.0                     
29.328                        1000000.0                     
29.428                        1000000.0                     
29.529                        1000000.0                     
29.63                         1000000.0                     
29.732                        1000000.0                     
29.833                        950000.0                      
29.933                        950000.0                      
30.034                        950000.0                      
30.135                        950000.0                      
30.236                        950000.0                      
30.336                        950000.0                      
30.437                        950000.0                      
30.538                        950000.0                      
30.639                        950000.0                      
30.74                         950000.0                      
30.84                         998000.0                      
30.941                        998000.0                      
31.042                        998000.0                      
31.142                        998000.0                      
31.243                        998000.0                      
31.344                        998000.0                      
31.444                        998000.0                      
31.545                        998000.0                      
31.646                        998000.0                      
31.746                        998000.0                      
31.847                        1000000.0                     
31.948                        1000000.0                     
32.05                         1000000.0                     
32.15                         1000000.0                     
32.251                        1000000.0                     
32.352                        1000000.0                     
32.453                        1000000.0                     
32.553                        1000000.0                     
32.654                        1000000.0                     
32.754                        1000000.0                     
32.855                        950000.0                      
32.956                        950000.0                      
33.057                        950000.0                      
33.158                        950000.0                      
33.258                        950000.0                      
33.359                        950000.0                      
33.46                         950000.0                      
33.561                        950000.0                      
33.662                        950000.0                      
33.762                        999000.0                      
33.863                        999000.0                      
33.964                        999000.0                      
34.065                        999000.0                      
34.165                        999000.0                      
34.266                        999000.0                      
34.366                        999000.0                      
34.467                        999000.0                      
34.568                        999000.0                      
34.669                        999000.0                      
34.769                        999000.0                      
34.87                         999000.0                      
34.97                         999000.0                      
35.071                        999000.0                      
35.172                        999000.0                      
35.272                        999000.0                      
35.373                        999000.0                      
35.481                        999000.0                      
35.581                        999000.0                      
35.682                        999000.0                      
35.783                        950000.0                      
35.884                        950000.0                      
35.985                        950000.0                      
36.085                        950000.0                      
36.186                        950000.0                      
36.286                        950000.0                      
36.387                        950000.0                      
36.487                        950000.0                      
36.588                        950000.0                      
36.689                        950000.0                      
36.79                         999000.0                      
36.891                        999000.0                      
36.992                        999000.0                      
37.093                        999000.0                      
37.194                        999000.0                      
37.295                        999000.0                      
37.395                        999000.0                      
37.495                        999000.0                      
37.595                        999000.0                      
37.697                        999000.0                      
37.798                        950000.0                      
37.899                        950000.0                      
37.999                        950000.0                      
38.1                          950000.0                      
38.2                          950000.0                      
38.301                        950000.0                      
38.402                        950000.0                      
38.503                        950000.0                      
38.604                        950000.0                      
38.705                        950000.0                      
38.807                        999000.0                      
38.908                        999000.0                      
39.01                         999000.0                      
39.111                        999000.0                      
39.212                        999000.0                      
39.313                        999000.0                      
39.415                        999000.0                      
39.516                        999000.0                      
39.617                        999000.0                      
39.718                        999000.0                      
39.82                         999000.0                      
39.92                         999000.0                      
40.02                         999000.0                      
40.121                        999000.0                      
40.223                        999000.0                      
40.323                        999000.0                      
40.424                        999000.0                      
40.524                        999000.0                      
40.624                        999000.0                      
40.724                        999000.0                      
40.825                        950000.0                      
40.927                        950000.0                      
41.029                        950000.0                      
41.13                         950000.0                      
41.231                        950000.0                      
41.331                        950000.0                      
41.432                        950000.0                      
41.532                        950000.0                      
41.632                        950000.0                      
41.733                        950000.0                      
41.834                        999000.0                      
41.935                        999000.0                      
42.037                        999000.0                      
42.137                        999000.0                      
42.238                        999000.0                      
42.338                        999000.0                      
42.44                         999000.0                      
42.541                        999000.0                      
42.641                        999000.0                      
42.742                        999000.0                      
42.843                        999000.0                      
42.944                        999000.0                      
43.044                        999000.0                      
43.144                        999000.0                      
43.245                        999000.0                      
43.346                        999000.0                      
43.446                        999000.0                      
43.547                        999000.0                      
43.648                        999000.0                      
43.748                        999000.0                      
43.849                        950000.0                      
43.95                         950000.0                      
44.05                         950000.0                      
44.151                        950000.0                      
44.251                        950000.0                      
44.352                        950000.0                      
44.453                        950000.0                      
44.554                        950000.0                      
44.654                        950000.0                      
44.755                        950000.0                      
44.856                        1000000.0                     
44.957                        1000000.0                     
45.058                        1000000.0                     
45.158                        1000000.0                     
45.259                        1000000.0                     
45.36                         1000000.0                     
45.46                         1000000.0                     
45.561                        1000000.0                     
45.661                        1000000.0                     
45.761                        1000000.0                     
45.862                        1000000.0                     
45.962                        1000000.0                     
46.063                        1000000.0                     
46.163                        1000000.0                     
46.263                        1000000.0                     
46.364                        1000000.0                     
46.464                        1000000.0                     
46.565                        1000000.0                     
46.666                        1000000.0                     
46.766                        950000.0                      
46.867                        950000.0                      
46.968                        950000.0                      
47.069                        950000.0                      
47.169                        950000.0                      
47.269                        950000.0                      
47.37                         950000.0                      
47.471                        950000.0                      
47.571                        950000.0                      
47.671                        950000.0                      
47.772                        1000000.0                     
47.873                        1000000.0                     
47.974                        1000000.0                     
48.077                        1000000.0                     
48.177                        1000000.0                     
48.278                        1000000.0                     
48.379                        1000000.0                     
48.479                        1000000.0                     
48.579                        1000000.0                     
48.679                        1000000.0                     
48.78                         949000.0                      
48.881                        949000.0                      
48.981                        949000.0                      
49.082                        949000.0                      
49.182                        949000.0                      
49.282                        949000.0                      
49.382                        949000.0                      
49.482                        949000.0                      
49.583                        949000.0                      
49.683                        949000.0                      
49.784                        350000.0                      
49.884                        350000.0                      
49.985                        350000.0                      
50.085                        350000.0                      
50.186                        350000.0                      
50.286                        350000.0                      
50.387                        350000.0                      
50.487                        350000.0                      
50.589                        350000.0                      
50.689                        350000.0                      
50.79                         0.0                           
50.891                        0.0                           
50.992                        0.0                           
51.092                        0.0                           
51.193                        0.0                           
51.293                        0.0                           
51.394                        0.0                           
51.495                        0.0                           
51.596                        0.0                           
51.696                        0.0                           
51.797                        0.0                           
51.897                        0.0                           
51.998                        0.0                           
52.099                        0.0                           
52.2                          0.0                           
52.301                        0.0                           
52.402                        0.0                           
52.503                        0.0                           
52.603                        0.0                           
52.703                        0.0                           
52.804                        0.0                           
52.904                        0.0                           
53.005                        0.0                           
53.106                        0.0                           
53.206                        0.0                           
53.306                        0.0                           
53.407                        0.0                           
53.507                        0.0                           
53.608                        0.0                           
53.708                        0.0                           
53.809                        0.0                           
53.909                        0.0                           
54.01                         0.0                           
54.111                        0.0                           
54.211                        0.0                           
54.311                        0.0                           
54.413                        0.0                           
54.513                        0.0                           
54.614                        0.0                           
54.715                        0.0                           
54.815                        0.0                           
54.916                        0.0                           
55.016                        0.0                           
55.117                        0.0                           
55.218                        0.0                           
55.318                        0.0                           
55.419                        0.0                           
55.52                         0.0                           
55.62                         0.0                           
55.72                         0.0                           
55.822                        0.0                           
55.922                        0.0                           
56.023                        0.0                           
56.124                        0.0                           
56.224                        0.0                           
56.324                        0.0                           
56.424                        0.0                           
56.525                        0.0                           
56.625                        0.0                           
56.725                        0.0                           
56.825                        0.0                           
56.925                        0.0                           
57.027                        0.0                           
57.128                        0.0                           
57.228                        0.0                           
57.328                        0.0                           
57.428                        0.0                           
57.529                        0.0                           
57.629                        0.0                           
57.729                        0.0                           
57.83                         0.0                           
57.93                         0.0                           
58.031                        0.0                           
58.131                        0.0                           
58.231                        0.0                           
58.331                        0.0                           
58.432                        0.0                           
58.532                        0.0                           
58.633                        0.0                           
58.733                        0.0                           
58.834                        0.0                           
58.934                        0.0                           
59.035                        0.0                           
59.135                        0.0                           
59.235                        0.0                           
59.336                        0.0                           
59.436                        0.0                           
59.537                        0.0                           
59.638                        0.0                           
59.738                        0.0                           
59.839                        0.0                           
59.939                        0.0                           
60.04                         0.0                           
60.141                        0.0                           
60.242                        0.0                           
60.343                        0.0                           
60.444                        0.0                           
60.545                        0.0                           
60.647                        0.0                           
60.747                        0.0                           
60.847                        0.0                           
60.948                        0.0                           
61.049                        0.0                           
61.149                        0.0                           
61.25                         0.0                           
61.351                        0.0                           
61.452                        0.0                           
61.553                        0.0                           
61.654                        0.0                           
61.754                        0.0                           
61.855                        0.0                           
61.955                        0.0                           
62.055                        0.0                           
62.156                        0.0                           
62.256                        0.0                           
62.357                        0.0                           
62.458                        0.0                           
62.559                        0.0                           
62.66                         0.0                           
62.761                        0.0                           
62.862                        0.0                           
62.963                        0.0                           
63.063                        0.0                           
63.164                        0.0                           
63.265                        0.0                           
63.365                        0.0                           
63.466                        0.0                           
63.566                        0.0                           
63.666                        0.0                           
63.767                        0.0                           
63.868                        0.0                           
63.968                        0.0                           
64.069                        0.0                           
64.17                         0.0                           
64.271                        0.0                           
64.372                        0.0                           
64.473                        0.0                           
64.574                        0.0                           
64.675                        0.0                           
64.775                        0.0                           
64.876                        0.0                           
64.976                        0.0                           
65.077                        0.0                           
65.177                        0.0                           
65.278                        0.0                           
65.378                        0.0                           
65.478                        0.0                           
65.578                        0.0                           
65.678                        0.0                           
65.779                        0.0                           
65.879                        0.0                           
65.979                        0.0                           
66.08                         0.0                           
66.182                        0.0                           
66.282                        0.0                           
66.383                        0.0                           
66.483                        0.0                           
66.584                        0.0                           
66.686                        0.0                           
66.786                        0.0                           
66.887                        0.0                           
66.988                        0.0                           
67.089                        0.0                           
67.19                         0.0                           
67.291                        0.0                           
67.391                        0.0                           
67.492                        0.0                           
67.593                        0.0                           
67.694                        0.0                           
67.795                        0.0                           
67.895                        0.0                           
67.996                        0.0                           
68.097                        0.0                           
68.198                        0.0                           
68.299                        0.0                           
68.399                        0.0                           
68.499                        0.0                           
