Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 0.0015 0.0 0.005 0.00241522945769824 0.0014969747270189078
4 0.0055 0.0 0.01 0.0036893239368631092 0.0022866666666666664
5 0.0095 0.005 0.015 0.0036893239368631092 0.0022866666666666664
6 0.0165 0.01 0.025 0.00474341649025257 0.00294
7 0.027000000000000003 0.015 0.035 0.00632455532033676 0.003920000000000001
8 0.038 0.02 0.05 0.008563488385776752 0.005307705091028826
9 0.052000000000000005 0.05 0.055 0.00258198889747161 0.001600333298618342
10 0.057499999999999996 0.05 0.065 0.004249182927993986 0.002633670864444192
11 0.066 0.055 0.075 0.0065828058860438335 0.00408006535895362
12 0.07350000000000001 0.065 0.085 0.007090682462060882 0.004394850522044079
13 0.0865 0.075 0.1 0.007472170590486632 0.004631299313727556
14 0.0955 0.09 0.1 0.004377975178854569 0.0027134971285532397
15 0.1075 0.105 0.11 0.0026352313834736517 0.0016333333333333347
16 0.1145 0.11 0.12 0.0028382310609877327 0.0017591538369972706
17 0.124 0.115 0.13 0.004594682917363408 0.002847813976446574
18 0.1345 0.13 0.14 0.004377975178854569 0.0027134971285532397
19 0.1405 0.135 0.15 0.00437797517885456 0.0027134971285532336
20 0.1485 0.14 0.155 0.005296749527356901 0.003282959369566157
21 0.1605 0.145 0.17 0.00797565740933694 0.004943363677137712
22 0.174 0.155 0.185 0.008755950357709128 0.0054269942571064725
23 0.183 0.175 0.195 0.006324555320336764 0.003920000000000003
24 0.194 0.18 0.2 0.007378647873726225 0.004573333333333337
25 0.2015 0.195 0.21 0.004743416490252561 0.002939999999999995
26 0.21000000000000002 0.2 0.22 0.006236095644623236 0.0038651721249584156
27 0.21949999999999997 0.21 0.225 0.005502524673073064 0.0034105001262441158
28 0.23700000000000002 0.23 0.25 0.0053748384988657 0.003331359415547286
29 0.2455 0.24 0.25 0.004377975178854569 0.0027134971285532397
30 0.2535 0.24 0.26 0.006258327785172869 0.0038789517484323897
31 0.2645 0.255 0.27 0.004377975178854569 0.0027134971285532397
32 0.273 0.265 0.28 0.004216370213557843 0.0026133333333333356
33 0.28200000000000003 0.275 0.29 0.004216370213557818 0.0026133333333333195
34 0.2955 0.29 0.305 0.004377975178854569 0.0027134971285532397
