Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 0.0 0.0 0.0 0.0 0.0
4 0.0 0.0 0.0 0.0 0.0
5 0.0 0.0 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 0.0
7 0.0 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0
9 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0
11 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0
13 0.0 0.0 0.0 0.0 0.0
14 0.0 0.0 0.0 0.0 0.0
15 0.0 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0 0.0
17 0.0 0.0 0.0 0.0 0.0
18 0.0 0.0 0.0 0.0 0.0
19 0.0 0.0 0.0 0.0 0.0
20 0.0 0.0 0.0 0.0 0.0
21 0.0 0.0 0.0 0.0 0.0
22 0.0 0.0 0.0 0.0 0.0
23 57.6 0.0 576.0 182.14719322569866 112.896
24 172.6 0.0 1086.0 378.75356984016224 234.75389471245552
25 441.6 0.0 1088.0 503.43954729220246 312.03506419489315
26 670.8 0.0 1086.0 479.22989148099776 297.02976406339405
27 856.0 383.0 1086.0 278.0559496056704 172.34086307212357
28 1015.8 959.0 1086.0 35.977770914830174 22.299253440418134
29 992.8 764.0 1082.0 90.85739742402194 56.31399835446482
30 996.9 959.0 1086.0 44.273016612830894 27.440699991071654
31 996.8 959.0 1022.0 32.5330601081423 20.16419956259112
32 990.5 959.0 1022.0 33.20391543176798 20.58
33 1009.4 959.0 1022.0 26.563132345414385 16.464
34 990.3 895.0 1022.0 53.932159031303186 33.42749848719031
35 997.0 959.0 1086.0 53.49558652615912 33.1569080450984
36 1003.1 959.0 1022.0 30.43189116699782 18.861881560438235
37 1004.8 960.0 1024.0 30.91493705853747 19.161276505842018
38 984.1 895.0 1022.0 44.273016612830894 27.440699991071654
39 958.4 703.0 1022.0 108.38737113807227 67.17918862928376
40 990.5 959.0 1022.0 33.20391543176798 20.58
41 1002.0 894.0 1021.0 42.80186911806539 26.52887332699977
42 1003.2 959.0 1086.0 42.73640134592523 26.488295981433
43 990.5 959.0 1022.0 33.20391543176798 20.58
44 1003.1 959.0 1022.0 30.43189116699782 18.861881560438235
