time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20003] Optional[local:sl-20004] Optional[local:sl-20005] Optional[local:sl-20006] Optional[local:sl-20007] Optional[local:sl-20008] Optional[local:sl-20009] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.008 0.005 0.0 0.0025 0.0 0.0025 0.0025 0.0 0.0 0.0 0.0 
2.008 0.005 0.0025 0.0025 0.0 0.0025 0.0025 0.0025 0.0025 0.0025 0.0025 
3.013 0.0125 0.0075 0.0125 0.005 0.01 0.0075 0.0075 0.0075 0.015 0.01 
4.015 0.015 0.0125 0.015 0.015 0.015 0.0125 0.0125 0.01 0.0175 0.0175 
5.017 0.03 0.025 0.03 0.0325 0.0275 0.03 0.025 0.025 0.03 0.025 
6.018 0.0375 0.035 0.0325 0.035 0.03 0.0325 0.0325 0.0325 0.0325 0.035 
7.019 0.0475 0.0425 0.0425 0.045 0.045 0.04 0.0425 0.0475 0.0475 0.045 
8.021 0.0575 0.055 0.055 0.055 0.0525 0.0525 0.0575 0.0575 0.055 0.055 
9.022 0.065 0.065 0.06 0.06 0.0625 0.0675 0.0625 0.06 0.065 0.065 
10.023 0.08 0.0775 0.075 0.0775 0.075 0.075 0.0725 0.0725 0.08 0.075 
11.023 0.0875 0.085 0.0875 0.0875 0.085 0.085 0.0875 0.085 0.085 0.09 
12.023 0.095 0.1025 0.0975 0.0925 0.09 0.095 0.0925 0.0975 0.0925 0.0975 
13.025 0.1025 0.1075 0.1025 0.1025 0.1 0.105 0.1025 0.105 0.105 0.1075 
14.026 0.115 0.1175 0.1125 0.1125 0.1175 0.1175 0.1125 0.1175 0.11 0.115 
15.027 0.12 0.125 0.12 0.1225 0.125 0.13 0.1225 0.125 0.12 0.1275 
16.027 0.1325 0.14 0.1325 0.1325 0.135 0.1325 0.1275 0.1375 0.1275 0.135 
17.027 0.14 0.145 0.1425 0.1425 0.1375 0.1425 0.1375 0.14 0.1375 0.14 
18.028 0.155 0.155 0.1525 0.16 0.155 0.155 0.155 0.16 0.1525 0.1625 
