Time Mean Min Max StDev ConfidenceInterval
0 41.0 0.0 59.0 28.299980369054833 17.540509558036092
1 101.8 0.0 255.0 100.51732852266484 62.301285679617656
2 152.1 0.0 383.0 116.22339600002135 72.036007156915
3 289.8 127.0 511.0 133.05370678372282 82.46754185469308
4 783.9 243.0 1138.0 293.09439131826156 181.66178581333193
5 1066.8 640.0 1524.0 323.8273888629215 200.71029504016755
6 1121.0 626.0 1497.0 281.201390861109 174.29042776035885
7 1169.9 859.0 1578.0 233.79642141544142 144.90852329199504
8 854.5 371.0 1114.0 214.24142664034164 132.78821196008158
9 684.9 255.0 1266.0 335.9783227134354 208.24152186663764
10 744.4 500.0 896.0 163.15173578264157 101.12249349949572
11 949.8 499.0 1510.0 302.57810745510176 187.53985397361393
12 1092.7 743.0 1394.0 208.5638990813127 129.26924392135973
13 1011.3 731.0 1474.0 219.93840046703986 136.319232920377
14 972.0 500.0 1268.0 267.8905249039863 166.04026756583272
15 853.0 499.0 1218.0 255.55429951382152 158.3941958532572
16 897.5 371.0 1382.0 303.8721405094218 188.3419039701763
17 994.1 499.0 2125.0 497.75305122118544 308.5105374148507
18 1077.8 639.0 1650.0 335.7945138854349 208.12759597473425
19 1035.8 371.0 1612.0 341.4182186117197 211.61320427610372
20 1110.4 592.0 1780.0 328.3856811061584 203.5355538431117
21 998.1 499.0 1370.0 285.6549783684273 177.0507898956304
22 940.6 615.0 1638.0 345.02212489442854 213.84692853222523
23 979.1 743.0 1266.0 208.5577191623993 129.2654135679335
24 1051.2 628.0 1884.0 457.2761869058033 283.4227169943236
25 1079.7 487.0 1870.0 495.58137575982414 307.1645190187174
26 937.1 627.0 1254.0 235.21311849280667 145.7866012377147
27 980.4 628.0 1384.0 234.30616248357143 145.22446407926975
28 867.2 616.0 1244.0 222.18950870321888 137.71448426041144
29 998.7 730.0 1253.0 166.62402787913473 103.27464243785434
30 1074.0 383.0 2009.0 455.8457341396685 282.53611318437385
31 1042.7 255.0 1638.0 373.69121239630755 231.61621306136774
32 884.4 591.0 1218.0 182.64914757838625 113.20711453104192
33 839.5 383.0 1382.0 283.6352313173461 175.79893770378072
34 920.0 639.0 1394.0 259.57572219981506 160.88669945717146
35 962.7 603.0 1730.0 320.7508725198144 198.80345045518922
36 1043.7 627.0 1382.0 301.3569496645317 186.78297253348453
37 1034.6 499.0 1626.0 355.60314959235103 220.40511558491554
38 977.8 639.0 1522.0 259.38851169625843 160.77066518491486
39 1062.3 627.0 1742.0 334.2018850934267 207.1404744225522
40 975.3 603.0 1406.0 214.2304314932353 132.7813970973009
41 1104.0 755.0 1382.0 201.8745485031071 125.12314147803887
42 972.0 640.0 1488.0 263.4809712715934 163.30719790899875
43 944.3 627.0 1626.0 364.1150764372287 225.6808625017982
44 1053.6 616.0 1500.0 282.0824150649751 174.83649221931776
45 933.4 615.0 1254.0 205.1607499823817 127.15995025688447
46 1071.9 730.0 1497.0 280.6739706096342 173.96352930172205
47 1011.3 627.0 1510.0 262.0118954042609 162.39665525291255
48 1001.2 732.0 1268.0 212.40673770439162 131.65105997632108
49 1024.4 628.0 1488.0 251.51947130280877 155.89338341885383
50 1041.6 614.0 1497.0 307.1869499542945 190.3964441498026
51 964.9 371.0 1254.0 289.43487081629337 179.39359150699272
