time mean min max stdev confval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 204.4 0.0 511.0 263.87926532159867 137.68581844184243
4 51.1 0.0 511.0 161.59238843460417 84.31499999999998
5 153.6 0.0 512.0 247.31949646829972 129.04533156995643
6 0.0 0.0 0.0 0.0 0.0
7 153.6 0.0 512.0 247.31949646829972 129.04533156995643
8 51.1 0.0 511.0 161.59238843460417 84.31499999999998
9 153.3 0.0 511.0 246.8364505767601 128.79328990673386
10 204.8 0.0 512.0 264.395663101093 137.9552623135486
11 51.2 0.0 512.0 161.90861620062103 84.48
12 102.0 0.0 510.0 215.0348808914498 112.2
13 51.1 0.0 511.0 161.59238843460417 84.31499999999998
14 102.0 0.0 510.0 215.0348808914498 112.2
15 198.8 0.0 512.0 257.233486674396 134.21821187901435
16 153.3 0.0 511.0 246.8364505767601 128.79328990673386
17 204.0 0.0 510.0 263.36286754210437 137.4163745701363
18 0.0 0.0 0.0 0.0 0.0
19 204.4 0.0 511.0 263.87926532159867 137.68581844184243
20 306.6 0.0 1022.0 357.2942142766316 186.42747946587698
21 192.4 0.0 511.0 249.19122509965447 130.02195430003349
22 250.0 0.0 964.0 348.12641382118653 181.64394292130964
23 300.6 0.0 1022.0 428.15967945512 223.40336523875368
24 307.2 0.0 1024.0 357.9934201754117 186.79230819281608
25 607.3 0.0 1474.0 516.543867127146 269.52009669967094
26 1018.0 512.0 1536.0 331.7254554262874 173.08631950561548
27 506.0 0.0 1536.0 483.09097371912145 252.0651860134596
28 915.6 0.0 1536.0 462.09744042187083 241.11126809006663
29 912.9 510.0 1532.0 401.85001347932456 209.67561786006496
30 715.4 511.0 1022.0 263.87926532159867 137.68581844184243
31 817.7 0.0 1534.0 431.09757853903824 224.93628992450283
32 1012.0 0.0 1988.0 622.8479393524198 324.98699050885097
33 1272.1 511.0 2497.0 680.3960366335673 355.0141958077169
34 1214.9 511.0 2497.0 582.5570930532617 303.9642013872686
35 966.8 0.0 2048.0 658.5372342463932 343.60880140066257
36 754.8 0.0 1534.0 490.6183853057282 255.99280732083076
37 1219.7 0.0 2554.0 944.0308434226782 492.57246169979896
38 1272.0 451.0 2557.0 740.4735721895219 386.36120082120044
39 1045.2 452.0 2500.0 605.3922144637585 315.87901544737025
