time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.002                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.002                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
3.003                         512.0                         0.0                           512.0                         0.0                           0.0                           0.0                           512.0                         512.0                         0.0                           0.0                           
4.004                         512.0                         0.0                           512.0                         0.0                           0.0                           512.0                         512.0                         512.0                         0.0                           0.0                           
5.004                         512.0                         512.0                         512.0                         0.0                           512.0                         512.0                         1024.0                        512.0                         0.0                           0.0                           
6.006                         512.0                         512.0                         512.0                         0.0                           512.0                         512.0                         1024.0                        512.0                         0.0                           0.0                           
7.006                         512.0                         512.0                         512.0                         0.0                           512.0                         1024.0                        1024.0                        512.0                         512.0                         512.0                         
8.007                         512.0                         512.0                         1024.0                        0.0                           512.0                         1024.0                        1024.0                        512.0                         512.0                         512.0                         
9.008                         512.0                         512.0                         1536.0                        512.0                         512.0                         1024.0                        1024.0                        1024.0                        512.0                         512.0                         
10.008                        512.0                         1024.0                        1536.0                        512.0                         1024.0                        1024.0                        1536.0                        1024.0                        512.0                         1024.0                        
11.009                        512.0                         1024.0                        1536.0                        512.0                         1024.0                        1024.0                        1536.0                        1024.0                        1024.0                        1024.0                        
12.01                         1024.0                        1024.0                        2048.0                        512.0                         1024.0                        1024.0                        1536.0                        1024.0                        1024.0                        1024.0                        
13.011                        1024.0                        1536.0                        2048.0                        512.0                         1024.0                        1024.0                        1536.0                        1024.0                        1024.0                        1024.0                        
14.013                        1024.0                        1536.0                        2048.0                        512.0                         1024.0                        1536.0                        2048.0                        1024.0                        1024.0                        1024.0                        
15.013                        1024.0                        1536.0                        2500.0                        1024.0                        1024.0                        1536.0                        2048.0                        1536.0                        1024.0                        1536.0                        
16.014                        1536.0                        1536.0                        2500.0                        1024.0                        1536.0                        1536.0                        2560.0                        1536.0                        1024.0                        1536.0                        
17.016                        1536.0                        2048.0                        2500.0                        1536.0                        2048.0                        1536.0                        2560.0                        1536.0                        1536.0                        1536.0                        
18.016                        1536.0                        2048.0                        2500.0                        1536.0                        2048.0                        1536.0                        2560.0                        1536.0                        1536.0                        1536.0                        
19.017                        2048.0                        2560.0                        2500.0                        1536.0                        2560.0                        1536.0                        2560.0                        1536.0                        2048.0                        1536.0                        
20.018                        2048.0                        2560.0                        3012.0                        2048.0                        3072.0                        2560.0                        2560.0                        2048.0                        2048.0                        1536.0                        
21.019                        2048.0                        3012.0                        3012.0                        2048.0                        3072.0                        2560.0                        3012.0                        2048.0                        2560.0                        2048.0                        
22.019                        2048.0                        3012.0                        3524.0                        2560.0                        4036.0                        2560.0                        3012.0                        2048.0                        2560.0                        2560.0                        
23.02                         3072.0                        3012.0                        3524.0                        2560.0                        5060.0                        3012.0                        3012.0                        2048.0                        3072.0                        2560.0                        
24.02                         3072.0                        3524.0                        4036.0                        2560.0                        5060.0                        3012.0                        3524.0                        3072.0                        3584.0                        2560.0                        
25.021                        4096.0                        3524.0                        4036.0                        3584.0                        5572.0                        3012.0                        4036.0                        4096.0                        4096.0                        4036.0                        
26.021                        5120.0                        4036.0                        5572.0                        4608.0                        7048.0                        4036.0                        5060.0                        5120.0                        4608.0                        5060.0                        
27.021                        5572.0                        5572.0                        5572.0                        5632.0                        7048.0                        4548.0                        5572.0                        5120.0                        5120.0                        5572.0                        
28.021                        6596.0                        7108.0                        6596.0                        5632.0                        8072.0                        5060.0                        6596.0                        5632.0                        6596.0                        6596.0                        
