time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.003                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.006                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
3.007                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
4.009                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
5.009                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
6.01                          0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
7.01                          0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
8.011                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
9.011                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
10.012                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
11.012                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
12.013                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
13.014                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
14.014                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
15.014                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
16.015                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
17.015                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
18.017                        0.0                           0.0                           0.0                           0.0                           0.025                         0.0                           0.0                           0.0                           0.0                           0.0                           
19.017                        0.0                           0.0                           0.0                           0.025                         0.025                         0.0                           0.0                           0.0                           0.0                           0.0                           
20.019                        0.0                           0.0                           0.0                           0.025                         0.025                         0.0                           0.0                           0.0                           0.0                           0.0                           
21.019                        0.0                           0.0                           0.0                           0.025                         0.025                         0.0                           0.0                           0.0                           0.0                           0.025                         
22.019                        0.0                           0.0                           0.0                           0.025                         0.025                         0.0                           0.0                           0.0                           0.0                           0.025                         
23.02                         0.0                           0.0                           0.0                           0.025                         0.025                         0.0                           0.025                         0.0                           0.0                           0.025                         
24.021                        0.025                         0.0                           0.0                           0.025                         0.025                         0.0                           0.025                         0.0                           0.0                           0.025                         
25.021                        0.025                         0.025                         0.0                           0.025                         0.025                         0.0                           0.025                         0.0                           0.0                           0.025                         
26.021                        0.025                         0.025                         0.0                           0.025                         0.025                         0.0                           0.025                         0.0                           0.0                           0.025                         
27.022                        0.025                         0.025                         0.0                           0.025                         0.025                         0.0                           0.025                         0.025                         0.0                           0.025                         
28.022                        0.025                         0.025                         0.025                         0.025                         0.025                         0.0                           0.025                         0.025                         0.0                           0.025                         
29.024                        0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.0                           0.025                         
30.024                        0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.0                           0.025                         
31.025                        0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.0                           0.025                         
32.026                        0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.0                           0.025                         
33.026                        0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         
34.027                        0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         
35.028                        0.025                         0.025                         0.05                          0.05                          0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         
36.028                        0.05                          0.05                          0.05                          0.05                          0.025                         0.025                         0.025                         0.025                         0.025                         0.025                         
37.028                        0.075                         0.05                          0.075                         0.05                          0.025                         0.025                         0.025                         0.025                         0.025                         0.05                          
38.028                        0.075                         0.05                          0.075                         0.075                         0.05                          0.05                          0.025                         0.05                          0.05                          0.1                           
39.029                        0.1                           0.05                          0.075                         0.075                         0.05                          0.05                          0.05                          0.05                          0.05                          0.1                           
40.03                         0.1                           0.1                           0.075                         0.075                         0.1                           0.075                         0.05                          0.05                          0.1                           0.1                           
41.03                         0.1                           0.1                           0.075                         0.075                         0.1                           0.1                           0.1                           0.075                         0.1                           0.125                         
42.031                        0.125                         0.1                           0.1                           0.1                           0.125                         0.125                         0.125                         0.075                         0.1                           0.125                         
43.031                        0.15                          0.125                         0.1                           0.1                           0.125                         0.125                         0.125                         0.125                         0.125                         0.125                         
44.033                        0.15                          0.125                         0.125                         0.15                          0.15                          0.125                         0.125                         0.175                         0.125                         0.175                         
45.034                        0.15                          0.15                          0.175                         0.15                          0.175                         0.125                         0.125                         0.175                         0.15                          0.175                         
46.034                        0.2                           0.15                          0.2                           0.175                         0.175                         0.15                          0.15                          0.2                           0.15                          0.175                         
47.035                        0.2                           0.175                         0.225                         0.225                         0.2                           0.15                          0.15                          0.2                           0.175                         0.175                         
48.035                        0.225                         0.175                         0.225                         0.225                         0.225                         0.15                          0.175                         0.2                           0.225                         0.175                         
49.036                        0.225                         0.2                           0.225                         0.25                          0.25                          0.175                         0.2                           0.2                           0.225                         0.225                         
50.036                        0.225                         0.2                           0.225                         0.275                         0.275                         0.2                           0.225                         0.225                         0.25                          0.225                         
51.036                        0.225                         0.225                         0.25                          0.275                         0.275                         0.2                           0.225                         0.225                         0.25                          0.225                         
