Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 0.0 0.0 0.0 0.0 0.0
4 0.0 0.0 0.0 0.0 0.0
5 102.4 0.0 1024.0 323.81723240124205 200.70399999999998
6 307.2 0.0 1024.0 494.63899293659944 306.58042409347223
7 409.6 0.0 1024.0 528.791326202186 327.7482595570367
8 614.4 0.0 1024.0 528.791326202186 327.7482595570367
9 819.2 0.0 1024.0 431.7563098683227 267.6053333333333
10 819.2 0.0 1024.0 431.7563098683227 267.6053333333333
11 1024.0 0.0 2048.0 482.71822929001644 299.19185823741185
12 1024.0 0.0 2048.0 482.71822929001644 299.19185823741185
13 1126.4 0.0 2048.0 581.2697212902877 360.2747058170411
14 1228.8 1024.0 2048.0 431.7563098683227 267.6053333333333
15 1331.2 1024.0 2048.0 494.6389929365995 306.5804240934723
16 1331.2 1024.0 2048.0 494.6389929365995 306.5804240934723
17 1536.0 1024.0 2048.0 539.6953873354034 334.50666666666666
18 1536.0 1024.0 2048.0 539.6953873354034 334.50666666666666
19 1536.0 1024.0 2048.0 539.6953873354034 334.50666666666666
20 1740.8 1024.0 2048.0 494.6389929365995 306.5804240934723
21 1740.8 1024.0 2048.0 494.6389929365995 306.5804240934723
22 1945.6 1024.0 3072.0 755.5735422695648 468.3093333333333
23 2150.4 1024.0 3072.0 755.5735422695648 468.3093333333333
24 2252.8 1024.0 3072.0 807.7420930525343 500.64373610338475
25 2355.2 1024.0 3072.0 691.1473230956061 428.3775489832408
26 2355.2 1024.0 3072.0 691.1473230956061 428.3775489832408
27 2355.2 1024.0 3072.0 691.1473230956061 428.3775489832408
28 2457.6 2048.0 3072.0 528.7913262021859 327.7482595570366
29 2560.0 2048.0 4096.0 724.0773439350247 448.78778735611775
30 2764.8 2048.0 4096.0 843.0311448049301 522.5161169843897
31 2764.8 2048.0 4096.0 843.0311448049301 522.5161169843897
32 2764.8 2048.0 4096.0 843.0311448049301 522.5161169843897
33 2867.2 2048.0 4096.0 807.7420930525343 500.64373610338475
34 2969.6 2048.0 4096.0 896.609316629415 555.724211927703
35 3379.2 2048.0 4096.0 691.1473230956061 428.3775489832408
36 3481.6 2048.0 4096.0 715.9868403508235 443.77324128232675
37 3481.6 2048.0 4096.0 715.9868403508235 443.77324128232675
