Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 0.0 0.0 0.0 0.0 0.0
4 0.0 0.0 0.0 0.0 0.0
5 93.0909090909091 0.0 1024.0 308.74761684762996 182.4581818181818
6 279.27272727272725 0.0 3072.0 926.24285054289 547.3745454545456
7 372.3636363636364 0.0 4096.0 1234.9904673905198 729.8327272727272
8 558.5454545454545 0.0 6144.0 1852.48570108578 1094.7490909090911
9 744.7272727272727 0.0 8192.0 2469.9809347810397 1459.6654545454544
10 744.7272727272727 0.0 8192.0 2469.9809347810397 1459.6654545454544
11 930.9090909090909 0.0 10240.0 3087.4761684763 1824.5818181818186
12 930.9090909090909 0.0 10240.0 3087.4761684763 1824.5818181818186
13 1024.0 0.0 11264.0 3396.2237853239294 2007.04
14 1117.090909090909 0.0 12288.0 3704.97140217156 2189.4981818181823
15 1210.1818181818182 0.0 13312.0 4013.719019019189 2371.9563636363637
16 1210.1818181818182 0.0 13312.0 4013.719019019189 2371.9563636363637
17 1396.3636363636363 0.0 15360.0 4631.21425271445 2736.8727272727274
18 1396.3636363636363 0.0 15360.0 4631.21425271445 2736.8727272727274
19 1396.3636363636363 0.0 15360.0 4631.21425271445 2736.8727272727274
20 1582.5454545454545 0.0 17408.0 5248.709486409709 3101.7890909090906
21 1582.5454545454545 0.0 17408.0 5248.709486409709 3101.7890909090906
22 1768.7272727272727 0.0 19456.0 5866.20472010497 3466.705454545455
23 1954.909090909091 0.0 21504.0 6483.699953800228 3831.621818181818
24 2048.0 0.0 22528.0 6792.447570647859 4014.08
25 2141.090909090909 0.0 23552.0 7101.195187495489 4196.538181818182
26 2141.090909090909 0.0 23552.0 7101.195187495489 4196.538181818182
27 2141.090909090909 0.0 23552.0 7101.195187495489 4196.538181818182
28 2234.181818181818 0.0 24576.0 7409.94280434312 4378.996363636365
29 2327.2727272727275 0.0 25600.0 7718.690421190749 4561.454545454546
30 2513.4545454545455 0.0 27648.0 8336.185654886009 4926.37090909091
31 2513.4545454545455 0.0 27648.0 8336.185654886009 4926.37090909091
32 2513.4545454545455 0.0 27648.0 8336.185654886009 4926.37090909091
33 2606.5454545454545 0.0 28672.0 8644.933271733638 5108.82909090909
34 2699.6363636363635 0.0 29696.0 8953.680888581268 5291.287272727272
