time mean min max stdev confval
0 0.0 0.0 0.0 0.0 0.0
1 102.4 0.0 512.0 215.8781549341614 112.64000000000001
2 102.4 0.0 512.0 215.8781549341614 112.64000000000001
3 256.0 0.0 512.0 269.8476936677017 140.79999999999998
4 409.6 0.0 1024.0 323.81723240124205 168.96
5 512.0 0.0 1024.0 341.3333333333333 178.0994778206831
6 512.0 0.0 1024.0 341.3333333333333 178.0994778206831
7 563.2 0.0 1024.0 290.6348606451439 151.6462409689076
8 768.0 512.0 1024.0 269.8476936677017 140.79999999999998
9 819.2 512.0 1536.0 357.99342017541176 186.7923081928161
10 819.2 512.0 1536.0 357.99342017541176 186.7923081928161
11 972.8 512.0 1536.0 377.7867711347824 197.11999999999998
12 1075.2 512.0 1536.0 290.6348606451439 151.6462409689076
13 1382.4 1024.0 2048.0 345.57366154780306 180.311978526109
14 1382.4 1024.0 2048.0 345.57366154780306 180.311978526109
15 1427.6 1024.0 2500.0 454.6508306137555 237.2258071964347
16 1581.2 1024.0 2500.0 496.60912418341877 259.1186299747666
17 1734.8 1024.0 2560.0 540.7025882025061 282.1255330522213
18 1939.6 1024.0 2560.0 574.4932452943975 299.7566806594975
19 1990.8 1024.0 2560.0 557.0782510364031 290.6699578559848
20 2280.0 1024.0 3012.0 668.8976005338934 349.01458995291296
21 2683.6 1536.0 3524.0 568.0827795704112 296.41185468870833
22 3036.0 2048.0 4036.0 657.9213056623447 343.2874247623993
23 3542.0 2560.0 4548.0 580.2689031819644 302.77027925475113
24 4719.6 4036.0 5572.0 480.2349425021049 250.57497800059764
25 5436.4 4608.0 6084.0 529.7997944716685 276.4367189792267
26 6102.0 5120.0 7108.0 586.121716597045 305.82413573817223
27 6921.2 6084.0 8644.0 692.7409007381877 361.45544732373315
28 7728.4 6596.0 9668.0 1070.327800255604 558.4711591479008
29 8394.0 6596.0 10180.0 1208.7345081162823 630.688431794971
30 9315.6 8132.0 11204.0 1049.3942379614377 547.5485326434543
31 10186.0 9156.0 11716.0 828.1046632723024 432.0849846962979
32 11408.8 9668.0 13764.0 1321.5234306578818 689.5389636561519
33 12484.0 11204.0 14276.0 1024.8347292233134 534.7339749819529
34 13432.8 11716.0 14788.0 1005.7184054749674 524.7595395988527
35 14405.6 13252.0 16324.0 1139.341252166746 594.4807091908028
36 15297.2 13764.0 17740.0 1232.2482433882117 642.9573301549644
37 16764.0 14788.0 18764.0 1219.1625541056178 636.129533978733
38 18014.0 16324.0 19788.0 1065.8934697655714 556.1574327472392
39 19149.6 17800.0 21144.0 963.3260899381661 502.64025465535485
40 20285.2 19216.0 22228.0 911.4697288811443 475.58285965749434
41 21050.4 19728.0 22740.0 858.4351654803834 447.9107071727577
42 22258.4 21144.0 24216.0 984.8870437206944 513.8902388642928
43 23418.0 22168.0 25692.0 997.827417720898 520.642213040779
44 24162.0 22680.0 26144.0 1137.5564454859666 593.5494402322354
45 25023.6 23644.0 27108.0 992.7926045028516 518.0151692759586
46 25990.4 24156.0 27680.0 1115.8609232337155 582.2292414504788
47 26830.8 25632.0 28132.0 866.6462561699169 452.1950557005239
48 27574.8 26144.0 29096.0 948.8332952748982 495.07826492384004
49 28638.0 27680.0 30632.0 934.5520614473843 487.626662519596
50 29746.4 28584.0 31144.0 840.1718342762456 438.38134266868605
51 30484.4 28584.0 31656.0 869.8269559707455 453.8546679279612
52 31348.8 29608.0 32620.0 965.2279868853092 503.63261848295724
53 32360.8 31144.0 33132.0 626.8958446185459 327.09908957378644
54 33327.6 32680.0 34156.0 524.8439344753406 273.8508710959306
55 34345.6 33192.0 35300.0 719.3557611579344 375.3424377818207
56 35294.4 34668.0 37288.0 804.6955531959484 419.87067723288317
57 35652.8 34668.0 37288.0 856.7946467308643 447.05472416696364
58 36613.6 35692.0 38764.0 921.579706566695 480.85800149316424
59 37990.0 36716.0 39728.0 827.0757052544961 431.5480992890595
60 38899.6 37228.0 40692.0 962.6656509689933 502.2956535746651
61 39887.6 38764.0 42168.0 1011.98234503704 528.0279117622475
62 40734.0 39276.0 42680.0 1013.977426880018 529.06889721472
63 41704.0 40300.0 43132.0 895.8650692053029 467.44072565406617
64 42821.6 41204.0 44728.0 1111.8644201919985 580.1439628230221
65 43900.0 42288.0 45632.0 910.6871642397905 475.17453635480086
66 44836.8 43192.0 46144.0 991.7648466804574 517.4789101016581
67 45364.0 43704.0 46596.0 935.1886321902003 487.9588097370514
68 47132.0 45752.0 48132.0 854.9692652045712 446.1022842353533
69 48041.6 46596.0 49608.0 1135.7029345544352 592.5823230573116
70 48854.8 47108.0 50180.0 969.8257346325449 506.0316120560057
71 49848.8 48132.0 50692.0 972.8250727763045 507.5965941572106
72 50541.6 48644.0 52228.0 1020.3410323133253 532.3892726191992
