time mean min max stdev confval
0 0.0 0.0 0.0 0.0 0.0
1 46.54545454545455 0.0 512.0 154.37380842381498 76.8
2 93.0909090909091 0.0 1024.0 308.74761684762996 153.6
3 232.72727272727272 0.0 2560.0 771.869042119075 384.0
4 279.27272727272725 0.0 3072.0 926.24285054289 460.8
5 325.8181818181818 0.0 3584.0 1080.6166589667048 537.6
6 372.3636363636364 0.0 4096.0 1234.9904673905198 614.4
7 698.1818181818181 0.0 7680.0 2315.607126357225 1152.0
8 791.2727272727273 0.0 8704.0 2624.3547432048545 1305.6
9 837.8181818181819 0.0 9216.0 2778.7285516286697 1382.4
10 837.8181818181819 0.0 9216.0 2778.7285516286697 1382.4
11 884.3636363636364 0.0 9728.0 2933.102360052485 1459.2
12 1024.0 0.0 11264.0 3396.2237853239294 1689.6
13 1117.090909090909 0.0 12288.0 3704.97140217156 1843.2
14 1163.6363636363637 0.0 12800.0 3859.3452105953743 1919.9999999999998
15 1349.8181818181818 0.0 14848.0 4476.840444290634 2227.2
16 1489.4545454545455 0.0 16384.0 4939.961869562079 2457.6
17 1536.0 0.0 16896.0 5094.335677985894 2534.4
18 1670.1818181818182 0.0 18372.0 5539.366422582673 2755.7999999999997
19 1670.1818181818182 0.0 18372.0 5539.366422582673 2755.7999999999997
20 1716.7272727272727 0.0 18884.0 5693.740231006489 2832.6000000000004
21 1804.3636363636363 0.0 19336.0 5816.61439795913 2893.72912623141
22 2305.4545454545455 0.0 21776.0 6522.477878285772 3244.8917738500922
23 2770.909090909091 0.0 22800.0 6811.434407737411 3388.645832187247
24 3039.2727272727275 0.0 23704.0 7036.58867763221 3500.6586671653663
25 3912.7272727272725 0.0 25120.0 7355.213621519216 3659.1725753235523
26 4041.4545454545455 0.0 26024.0 7608.195007538074 3785.029225778844
27 4600.0 0.0 26536.0 7641.067150601413 3801.3829104682413
28 5903.272727272727 512.0 28072.0 7727.327883439515 3844.297083213002
29 7392.727272727273 1536.0 28072.0 7399.8023364264145 3681.3551809082483
30 8184.0 1536.0 28584.0 7306.146453500642 3634.761967447112
31 8649.454545454546 1536.0 29608.0 7501.823836423199 3732.1102363140353
32 9813.09090909091 4608.0 30632.0 7355.057708197066 3659.0950094251443
33 11256.0 6144.0 33704.0 7742.723035211837 3851.956074515907
34 12460.727272727272 7168.0 34216.0 7526.700593100659 3744.4862664990505
35 13246.545454545454 7168.0 34216.0 7399.549883116355 3681.229586972265
36 14037.818181818182 9216.0 34728.0 7310.9144410009585 3637.1340112786606
37 14544.363636363636 9728.0 35752.0 7523.245353871256 3742.7673066863235
38 16198.181818181818 10752.0 36264.0 7184.093176152183 3574.041228637409
39 17123.636363636364 10752.0 37288.0 7228.774602555087 3596.2699576088553
40 18616.0 12800.0 39788.0 7505.799997335394 3734.0883513918093
41 19566.18181818182 14336.0 41324.0 7617.104828190062 3789.4618055866454
42 20365.81818181818 14336.0 41324.0 7487.091261874424 3724.780873017901
43 21576.363636363636 15360.0 42288.0 7455.593863304616 3709.1111150786514
44 22721.090909090908 16836.0 42800.0 7162.172428174924 3563.135794212732
45 23586.545454545456 18312.0 44276.0 7144.24619345717 3554.2176050433372
46 24241.090909090908 20180.0 44788.0 7032.652550134202 3498.7004684596823
47 24977.81818181818 20632.0 45300.0 7035.2632618571115 3499.9992811427833
48 25602.18181818182 22048.0 46324.0 7210.147374612836 3587.003028713525
49 26103.272727272728 22500.0 49336.0 8035.988813965697 3997.8539573125972
50 26552.363636363636 22500.0 50692.0 8411.147166382565 4184.4928811027985
51 27245.090909090908 22500.0 51144.0 8630.00831349015 4293.374927024194
52 27431.272727272728 22500.0 51656.0 8721.101731901872 4338.693330485574
53 28548.363636363636 22500.0 53192.0 8794.439052864342 4375.17818699993
54 29194.545454545456 22500.0 54156.0 8888.950313323123 4422.196945410729
55 30311.636363636364 22500.0 54156.0 8862.402284626074 4408.989467893975
56 31102.909090909092 22500.0 54668.0 8914.959847969541 4435.136525519818
57 31842.18181818182 22500.0 56204.0 9183.32007302568 4568.644051794799
58 32855.27272727273 23012.0 58704.0 9610.707165353746 4781.266445618776
59 34147.63636363636 23012.0 59216.0 9399.4821056559 4676.183305218049
60 34886.90909090909 23012.0 59216.0 9514.736375271208 4733.521580388115
61 35754.90909090909 24036.0 60240.0 9508.81411590894 4730.575293555743
62 36814.545454545456 26596.0 60240.0 9004.791839500082 4479.827377031396
63 38271.27272727273 27620.0 63824.0 9582.325365911023 4767.1466786747815
64 39284.36363636364 27620.0 64276.0 9499.730430625148 4726.056217185741
65 40105.818181818184 28644.0 64728.0 9304.301003494907 4628.831304767975
66 40705.454545454544 29668.0 66204.0 9591.346979060203 4771.634874547716
67 41847.27272727273 32228.0 67228.0 9314.109867195137 4633.711152844985
68 42745.454545454544 32228.0 67740.0 9214.569033477761 4584.1902133310305
69 44051.63636363636 33252.0 68252.0 9051.231863925786 4502.930997472647
70 45149.818181818184 34788.0 69216.0 8916.641764904338 4435.973268630008
71 45938.545454545456 34788.0 69728.0 8923.920980865265 4439.5946328465625
72 46965.454545454544 35812.0 72288.0 9301.478983082598 4627.427367339222
73 47817.09090909091 37348.0 73252.0 9242.23143461086 4597.952084134849
74 48731.63636363636 37860.0 73764.0 9420.602860462035 4686.690748065206
75 49408.0 39908.0 74276.0 9223.188862860827 4588.478524304107
76 50032.36363636364 40360.0 75752.0 9517.076602326233 4734.685828647978
77 50703.27272727273 41716.0 76656.0 9641.17251262427 4796.422764519407
78 51658.90909090909 42168.0 78132.0 10090.250358187803 5019.836171828717
79 52439.27272727273 44096.0 79156.0 10160.17115102801 5054.621327062988
