time Optional[local:ss-10000] 
0.0 0.0 
1.006 890.0 
2.007 1086.0 
3.009 958.0 
4.01 1022.0 
5.012 1021.0 
6.014 958.0 
7.016 958.0 
8.017 1086.0 
9.018 959.0 
10.019 1022.0 
11.021 958.0 
12.023 958.0 
13.024 1086.0 
14.026 958.0 
15.026 1024.0 
16.032 1017.0 
17.033 959.0 
18.033 1024.0 
19.034 959.0 
20.035 1022.0 
21.037 1021.0 
22.037 896.0 
23.037 1088.0 
24.038 967.0 
25.039 971.0 
26.039 1032.0 
27.039 1032.0 
28.04 963.0 
29.041 1022.0 
30.044 1020.0 
31.044 960.0 
32.046 1021.0 
33.046 1024.0 
34.048 958.0 
35.048 1024.0 
36.049 959.0 
37.049 896.0 
38.049 1152.0 
39.05 959.0 
40.05 1024.0 
41.051 1022.0 
42.053 958.0 
43.054 1022.0 
44.056 958.0 
45.058 1021.0 
46.058 1024.0 
47.058 896.0 
48.059 1094.0 
49.059 964.0 
50.06 971.0 
51.061 1030.0 
52.062 895.0 
53.063 1150.0 
54.064 967.0 
55.064 1024.0 
56.065 959.0 
57.065 1024.0 
58.065 1024.0 
59.066 959.0 
60.067 1022.0 
61.067 960.0 
62.068 1022.0 
63.07 1021.0 
64.071 959.0 
65.074 1020.0 
66.075 1022.0 
67.075 960.0 
68.075 1024.0 
69.076 959.0 
70.077 1022.0 
71.079 1025.0 
72.08 963.0 
73.08 1028.0 
74.08 964.0 
75.08 1024.0 
76.081 967.0 
77.082 1030.0 
78.083 1022.0 
79.084 963.0 
80.084 1024.0 
81.084 960.0 
82.085 1022.0 
83.086 1022.0 
84.086 964.0 
85.087 767.0 
86.087 960.0 
87.088 1022.0 
88.089 1022.0 
89.09 959.0 
90.091 1022.0 
91.092 1022.0 
92.092 960.0 
93.093 1022.0 
94.094 959.0 
95.096 1021.0 
96.097 1026.0 
97.097 904.0 
98.098 1090.0 
99.099 967.0 
100.1 1034.0 
101.1 260.0 
102.101 0.0 
103.103 0.0 
104.104 0.0 
105.106 0.0 
106.107 0.0 
107.108 0.0 
108.109 0.0 
109.11 0.0 
110.11 0.0 
111.11 0.0 
112.111 0.0 
113.113 0.0 
114.113 0.0 
115.113 0.0 
116.114 0.0 
117.115 0.0 
118.116 0.0 
119.117 0.0 
120.117 0.0 
121.118 0.0 
122.118 0.0 
123.119 0.0 
124.12 0.0 
125.122 0.0 
126.123 0.0 
127.124 0.0 
128.124 0.0 
129.125 0.0 
130.126 0.0 
