time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20003] Optional[local:sl-20004] Optional[local:sl-20005] Optional[local:sl-20006] Optional[local:sl-20007] Optional[local:sl-20008] Optional[local:sl-20009] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.005 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.006 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.008 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4.009 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
5.011 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
6.013 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
7.015 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
8.016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
9.017 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
10.018 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
11.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
12.022 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
13.023 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
14.025 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
15.025 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
16.031 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
17.032 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
18.032 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
19.033 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
20.034 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
21.036 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
