Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0 0
1 950.0 950.0 950.0 0 0
2 1015.0 1015.0 1015.0 0 0
3 975.0 975.0 975.0 0 0
4 1016.0 1016.0 1016.0 0 0
5 1006.0 1006.0 1006.0 0 0
6 981.0 981.0 981.0 0 0
7 1009.0 1009.0 1009.0 0 0
8 994.0 994.0 994.0 0 0
9 993.0 993.0 993.0 0 0
10 1010.0 1010.0 1010.0 0 0
11 999.0 999.0 999.0 0 0
12 987.0 987.0 987.0 0 0
13 999.0 999.0 999.0 0 0
14 1016.0 1016.0 1016.0 0 0
15 982.0 982.0 982.0 0 0
16 1010.0 1010.0 1010.0 0 0
17 993.0 993.0 993.0 0 0
18 1000.0 1000.0 1000.0 0 0
19 999.0 999.0 999.0 0 0
20 999.0 999.0 999.0 0 0
21 998.0 998.0 998.0 0 0
22 1000.0 1000.0 1000.0 0 0
23 993.0 993.0 993.0 0 0
24 1010.0 1010.0 1010.0 0 0
25 993.0 993.0 993.0 0 0
26 1000.0 1000.0 1000.0 0 0
27 994.0 994.0 994.0 0 0
28 1006.0 1006.0 1006.0 0 0
29 999.0 999.0 999.0 0 0
30 1000.0 1000.0 1000.0 0 0
31 993.0 993.0 993.0 0 0
32 1004.0 1004.0 1004.0 0 0
33 1000.0 1000.0 1000.0 0 0
34 1000.0 1000.0 1000.0 0 0
35 1004.0 1004.0 1004.0 0 0
36 994.0 994.0 994.0 0 0
37 993.0 993.0 993.0 0 0
38 1004.0 1004.0 1004.0 0 0
39 1000.0 1000.0 1000.0 0 0
40 1003.0 1003.0 1003.0 0 0
41 1000.0 1000.0 1000.0 0 0
42 1000.0 1000.0 1000.0 0 0
43 988.0 988.0 988.0 0 0
44 1003.0 1003.0 1003.0 0 0
45 1006.0 1006.0 1006.0 0 0
46 994.0 994.0 994.0 0 0
47 1004.0 1004.0 1004.0 0 0
48 988.0 988.0 988.0 0 0
49 1010.0 1010.0 1010.0 0 0
50 993.0 993.0 993.0 0 0
51 999.0 999.0 999.0 0 0
52 1000.0 1000.0 1000.0 0 0
53 993.0 993.0 993.0 0 0
54 1018.0 1018.0 1018.0 0 0
55 987.0 987.0 987.0 0 0
56 1006.0 1006.0 1006.0 0 0
57 994.0 994.0 994.0 0 0
58 999.0 999.0 999.0 0 0
59 1006.0 1006.0 1006.0 0 0
60 993.0 993.0 993.0 0 0
61 993.0 993.0 993.0 0 0
62 1010.0 1010.0 1010.0 0 0
63 988.0 988.0 988.0 0 0
64 1000.0 1000.0 1000.0 0 0
65 1004.0 1004.0 1004.0 0 0
66 1006.0 1006.0 1006.0 0 0
67 993.0 993.0 993.0 0 0
68 999.0 999.0 999.0 0 0
69 1012.0 1012.0 1012.0 0 0
70 988.0 988.0 988.0 0 0
71 1004.0 1004.0 1004.0 0 0
72 992.0 992.0 992.0 0 0
73 1000.0 1000.0 1000.0 0 0
74 1010.0 1010.0 1010.0 0 0
75 980.0 980.0 980.0 0 0
76 1006.0 1006.0 1006.0 0 0
77 987.0 987.0 987.0 0 0
78 1015.0 1015.0 1015.0 0 0
79 999.0 999.0 999.0 0 0
80 987.0 987.0 987.0 0 0
81 1010.0 1010.0 1010.0 0 0
82 987.0 987.0 987.0 0 0
83 1006.0 1006.0 1006.0 0 0
84 992.0 992.0 992.0 0 0
85 1004.0 1004.0 1004.0 0 0
86 999.0 999.0 999.0 0 0
87 941.0 941.0 941.0 0 0
88 1058.0 1058.0 1058.0 0 0
89 999.0 999.0 999.0 0 0
90 999.0 999.0 999.0 0 0
91 993.0 993.0 993.0 0 0
92 1000.0 1000.0 1000.0 0 0
93 1006.0 1006.0 1006.0 0 0
94 999.0 999.0 999.0 0 0
95 999.0 999.0 999.0 0 0
96 999.0 999.0 999.0 0 0
97 999.0 999.0 999.0 0 0
98 993.0 993.0 993.0 0 0
99 1004.0 1004.0 1004.0 0 0
100 1040.0 1040.0 1040.0 0 0
101 0.0 0.0 0.0 0 0
102 0.0 0.0 0.0 0 0
103 0.0 0.0 0.0 0 0
104 0.0 0.0 0.0 0 0
105 0.0 0.0 0.0 0 0
