time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.003 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.107 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.108 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4.108 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
5.109 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
6.11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
7.111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
8.111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
9.113 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
10.113 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
11.115 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
12.116 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
13.117 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
14.118 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
15.119 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
16.119 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
17.12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
18.12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
19.12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
20.121 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
21.122 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
22.122 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
23.124 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
24.124 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
25.125 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
26.125 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
27.127 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
28.127 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
29.128 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
30.128 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
31.129 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
32.13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
33.13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
34.131 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
35.132 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
36.133 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
37.134 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
38.135 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
39.135 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
40.136 0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.0 0.0 0.05 
41.137 0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.0 0.05 0.05 
42.138 0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.05 0.05 0.05 
43.139 0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.05 0.05 0.05 
44.139 0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.05 0.05 0.05 
45.139 0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.05 0.05 0.05 
46.141 0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.05 0.05 0.05 
47.142 0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.05 0.05 0.05 
48.142 0.0 0.0 0.05 0.0 0.0 0.0 0.05 0.05 0.05 0.05 
49.144 0.0 0.0 0.05 0.0 0.0 0.05 0.05 0.05 0.05 0.05 
50.145 0.05 0.0 0.05 0.0 0.0 0.05 0.05 0.05 0.05 0.05 
51.145 0.05 0.0 0.05 0.0 0.0 0.05 0.05 0.05 0.05 0.05 
52.147 0.05 0.05 0.05 0.0 0.0 0.05 0.05 0.05 0.05 0.05 
53.147 0.05 0.05 0.05 0.0 0.0 0.05 0.05 0.05 0.05 0.05 
54.148 0.05 0.05 0.05 0.0 0.0 0.05 0.05 0.05 0.05 0.05 
55.149 0.05 0.05 0.05 0.0 0.0 0.05 0.05 0.05 0.05 0.05 
56.149 0.05 0.05 0.05 0.05 0.0 0.05 0.05 0.05 0.05 0.05 
57.15 0.05 0.05 0.05 0.05 0.0 0.05 0.05 0.05 0.05 0.05 
58.151 0.05 0.05 0.05 0.05 0.0 0.05 0.05 0.05 0.05 0.05 
59.152 0.05 0.05 0.05 0.05 0.0 0.05 0.05 0.05 0.05 0.05 
60.152 0.05 0.05 0.05 0.05 0.0 0.05 0.05 0.05 0.05 0.05 
61.153 0.05 0.05 0.05 0.05 0.0 0.05 0.05 0.05 0.05 0.05 
62.153 0.05 0.05 0.05 0.05 0.0 0.05 0.05 0.05 0.05 0.05 
63.153 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 
64.154 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 
