time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20003] Optional[local:sl-20004] Optional[local:sl-20005] Optional[local:sl-20006] Optional[local:sl-20007] Optional[local:sl-20008] Optional[local:sl-20009] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.002 249.0 313.0 191.0 377.0 313.0 191.0 191.0 191.0 191.0 191.0 
2.004 63.0 185.0 249.0 63.0 313.0 249.0 185.0 249.0 499.0 249.0 
3.004 1506.0 1256.0 634.0 570.0 692.0 756.0 948.0 442.0 686.0 750.0 
4.006 690.0 760.0 1195.0 940.0 504.0 940.0 940.0 1073.0 882.0 754.0 
5.007 429.0 359.0 1108.0 801.0 1056.0 801.0 800.0 794.0 742.0 812.0 
6.009 1015.0 830.0 684.0 1003.0 760.0 818.0 761.0 1074.0 1132.0 1248.0 
7.01 801.0 1050.0 569.0 1004.0 1306.0 627.0 1306.0 1114.0 615.0 1062.0 
8.011 1132.0 1196.0 1184.0 993.0 563.0 1312.0 621.0 947.0 1446.0 807.0 
9.012 1120.0 929.0 1138.0 1202.0 1562.0 941.0 1138.0 935.0 633.0 1190.0 
10.013 795.0 807.0 859.0 1050.0 557.0 1294.0 859.0 865.0 1108.0 1056.0 
11.014 825.0 1510.0 1318.0 1062.0 999.0 1074.0 1126.0 1132.0 1190.0 889.0 
12.015 1620.0 993.0 923.0 807.0 813.0 871.0 1120.0 935.0 923.0 1108.0 
13.016 563.0 563.0 569.0 1120.0 1428.0 929.0 807.0 929.0 1010.0 1318.0 
14.016 1326.0 1384.0 1512.0 1012.0 948.0 1198.0 1198.0 1140.0 826.0 570.0 
15.017 981.0 603.0 731.0 1172.0 1370.0 993.0 1114.0 923.0 1172.0 1300.0 
16.018 877.0 1324.0 941.0 819.0 807.0 999.0 563.0 1184.0 813.0 679.0 
17.019 1126.0 987.0 941.0 1120.0 935.0 819.0 1504.0 1248.0 813.0 1004.0 
