Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 240.8 192.0 378.0 69.85190683788731 43.29466040466833
2 472.2 314.0 692.0 111.46479264772353 69.08659424229855
3 1296.2 884.0 1820.0 300.6651145562303 186.35416869081422
4 2166.2 1826.0 2518.0 241.77206896855006 149.85188086017914
5 2938.0 2756.0 3384.0 189.95204073075337 117.73349460162606
6 3872.6 3646.0 4140.0 164.34665260425058 101.8631106185595
7 4819.6 4390.0 5140.0 219.36838625674596 135.96593445255158
8 5841.2 5518.0 6204.0 179.39205977721286 111.18835059683386
9 6921.6 6646.0 7082.0 131.30050351092422 81.38089520820527
10 7848.0 7640.0 8134.0 158.75627721622712 98.39816005506516
11 8962.2 8640.0 9210.0 204.9052897750026 127.00161437994049
12 9974.8 9454.0 10262.0 237.3805196538063 147.1299703950369
13 10899.8 10640.0 11454.0 234.47236274002293 145.32747606545556
14 12011.2 11832.0 12152.0 121.98797754970228 75.60893181805088
15 13048.6 12756.0 13326.0 192.91460402065067 119.56971035248759
16 13950.4 13698.0 14082.0 115.08373762902674 71.32963958037827
17 15001.6 14704.0 15204.0 181.78326533417632 112.67043515591043
18 15967.8 15826.0 16320.0 145.59441381225218 90.24035259978393
19 17015.0 16826.0 17198.0 127.71931029496763 79.16124865670632
20 18100.8 17878.0 18698.0 284.48971861914447 176.3285544204341
21 19097.0 18948.0 19384.0 133.8996307355293 82.99185095203289
22 20060.2 19634.0 20570.0 267.57420569919583 165.84421089149365
23 21097.4 20576.0 21634.0 290.3913834044591 179.98644415128103
24 22036.4 21762.0 22512.0 241.44343713038327 149.6481927366092
25 23073.6 22710.0 23384.0 233.79155008017054 144.90550400711336
26 24046.8 23826.0 24262.0 162.12807009000974 100.4880189298428
27 25057.4 24646.0 25634.0 300.74138022190726 186.40143864013257
28 26008.4 25570.0 26570.0 336.54426817945426 208.5922985006344
29 26924.8 26704.0 27134.0 141.12941263645615 87.47291619949824
30 27863.2 27698.0 28146.0 146.52477985348114 90.81699944638362
31 28975.0 28512.0 29326.0 213.03990236573054 132.04349949921806
32 29870.6 29570.0 30076.0 185.84593380300552 115.18850316088165
33 30906.4 30338.0 31512.0 306.2893330750445 189.84009544409267
34 32003.8 31832.0 32442.0 186.12409241626344 115.3609076555447
35 33054.4 32756.0 33384.0 205.44758726037918 127.3377338436822
36 33974.4 33710.0 34198.0 166.95920992199794 103.48239042035658
37 34910.8 34518.0 35320.0 253.04931447359337 156.84159003983035
38 35920.2 35576.0 36198.0 216.02561576504456 133.894063836552
39 36867.2 36506.0 37134.0 170.31787274909752 105.56411120788688
40 37848.6 37384.0 38134.0 227.7348360606158 141.15151376525233
41 38960.4 38826.0 39204.0 116.11029239477436 71.96590481610023
42 39914.2 39634.0 40262.0 167.7549800552381 103.97561385889159
43 40958.6 40512.0 41262.0 225.54634901845688 139.79507544338685
44 41904.0 41710.0 42076.0 109.00764499183838 67.56363834687018
45 43020.8 42698.0 43384.0 184.956931923804 114.6374940875221
46 44034.8 43698.0 44396.0 224.57703454370494 139.19428810758643
47 45038.8 44704.0 45390.0 216.0251014221367 133.8937450435149
48 45960.2 45570.0 46210.0 242.85423154184028 150.5226121720956
49 46951.2 46524.0 47140.0 192.38664772333402 119.24247964919584
50 47937.0 47692.0 48140.0 147.89560882971173 91.66664804848294
51 49005.8 48710.0 49332.0 221.2900560099547 137.15699770538706
52 49953.2 49570.0 50326.0 223.70456708197383 138.65352717234902
