Time Mean Min Max StDev ConfidenceInterval
0 93.0909090909091 0.0 1024.0 308.74761684762996 182.4581818181818
1 139.63636363636363 0.0 1536.0 463.121425271445 273.6872727272728
2 267.6363636363636 0.0 2944.0 887.6493984369362 524.5672727272728
3 485.45454545454544 0.0 3804.0 1126.8224672623778 665.9095241212366
4 1064.0 0.0 4920.0 1449.4931527951417 856.5957137328289
5 1987.2727272727273 0.0 5908.0 1600.2348009532284 945.6783350920541
6 2964.3636363636365 0.0 6908.0 1724.519137193164 1019.1256842581835
7 3876.3636363636365 640.0 7920.0 1759.1156455860014 1039.5709141940952
8 4686.909090909091 1920.0 8804.0 1653.4444928418645 977.12325355404
9 5387.636363636364 2920.0 9804.0 1790.6213040577438 1058.1895685514362
10 6290.545454545455 3792.0 10908.0 1906.9483665603725 1126.9344694422964
11 7249.454545454545 4768.0 11920.0 1933.1162594958619 1142.3987059464393
12 8098.181818181818 5780.0 12932.0 1909.090978354977 1128.2006720979712
13 9008.363636363636 6920.0 13944.0 1851.389492933741 1094.1012732891286
14 9831.636363636364 7780.0 14908.0 1909.515921521854 1128.451797461775
15 10807.636363636364 8920.0 15920.0 1958.2461169489025 1157.2495026814784
16 11724.0 9384.0 16908.0 2022.2063198397932 1195.0475671567524
17 12730.545454545454 10408.0 17920.0 2012.860470258004 1189.524522996444
18 13710.181818181818 11688.0 18920.0 2019.2437108076783 1193.2967771005995
19 14418.545454545454 12500.0 19920.0 2153.7385339746497 1272.7781384453706
20 15301.09090909091 13000.0 20792.0 2236.6518483906007 1321.776776074757
21 16191.272727272728 13384.0 21920.0 2411.9554345347715 1425.3745752113173
22 17143.636363636364 13884.0 22792.0 2427.961419492792 1434.8335078614464
23 18154.18181818182 15036.0 23932.0 2437.2839727115024 1440.3427847509538
24 19016.727272727272 16176.0 24920.0 2434.929694710264 1438.9514953606538
25 19881.454545454544 17164.0 25920.0 2537.448969482396 1499.536515148752
26 20734.545454545456 17500.0 26792.0 2658.2203205767714 1570.9078227604311
27 21727.272727272728 18512.0 27920.0 2732.2323872946495 1614.6461591525606
28 22656.363636363636 19676.0 28920.0 2681.534160615049 1584.6854217845666
29 23562.18181818182 20664.0 29920.0 2722.8451964142882 1609.0986838460346
30 24377.090909090908 21640.0 30920.0 2780.942626324587 1643.432070895217
31 25097.090909090908 22000.0 31920.0 2911.769271578552 1720.7456776207746
32 25941.81818181818 22500.0 32932.0 3075.9986286792073 1817.7990256067526
33 26859.272727272728 22500.0 33920.0 3188.6813917639715 1884.3902831672654
34 27666.909090909092 23524.0 34792.0 3247.2615371893116 1919.0089368562656
35 28417.454545454544 24420.0 35908.0 3318.838482470527 1961.308208440782
36 29376.363636363636 25444.0 36920.0 3370.7629781023547 1991.993624449952
37 30359.272727272728 26420.0 37932.0 3363.972802830281 1987.980887292597
38 31224.0 27000.0 38920.0 3524.3241621621587 2082.742485048369
39 32113.090909090908 27000.0 39932.0 3706.9949407719846 2190.6940167128514
40 32961.818181818184 27384.0 40920.0 3795.679381037914 2243.1031717751566
41 33962.90909090909 28664.0 41792.0 3715.452313098513 2195.6920043683135
42 34874.181818181816 29536.0 42920.0 3712.847042854898 2194.1523880413974
43 35875.27272727273 30548.0 43908.0 3722.348427831793 2199.7673477464773
44 36901.818181818184 31536.0 44932.0 3719.2499732656265 2197.9362781098557
45 37846.545454545456 32536.0 45932.0 3770.5873378993983 2228.2747218719583
46 38672.0 33676.0 46920.0 3719.7122469352385 2198.209464391003
47 39542.181818181816 34664.0 47908.0 3749.6497387937934 2215.9013915011783
48 40616.36363636364 35652.0 48908.0 3715.4804607944657 2195.708638593634
49 41568.72727272727 36408.0 49804.0 3771.3954205548134 2228.752268204368
50 42451.27272727273 37664.0 50920.0 3897.223141954001 2303.11169971425
51 43275.63636363636 38676.0 51792.0 3938.7285073416083 2327.6398032236593
52 44000.72727272727 39628.0 52920.0 4076.6699422668275 2409.1579819575454
53 44767.27272727273 40000.0 53908.0 4220.144004436557 2493.9457344553302
54 45598.181818181816 40000.0 54804.0 4322.767396429787 2554.592283589149
55 46522.181818181816 40640.0 55932.0 4398.931638891012 2599.602474569481
56 47456.36363636364 41920.0 56908.0 4386.027799107691 2591.976792566242
57 48278.90909090909 42932.0 57920.0 4455.576314115727 2633.0773384622225
58 49170.181818181816 43908.0 58920.0 4538.116036819284 2681.8551974981365
59 50160.72727272727 44628.0 59920.0 4555.411311636066 2692.076051765242
60 51113.09090909091 45524.0 60920.0 4596.471721974268 2716.3412036440145
61 52065.454545454544 46676.0 61804.0 4498.767928302956 2658.6019513316505
62 52916.36363636364 47664.0 62920.0 4614.057287739875 2726.733608899147
63 53828.72727272727 48652.0 63920.0 4672.2088371756045 2761.098978544055
64 54716.72727272727 49000.0 64792.0 4741.697187524928 2802.163969398833
65 55600.36363636364 49000.0 65920.0 4912.405017356107 2903.045850111441
66 56551.63636363636 49512.0 66920.0 4948.649093898804 2924.4647306041215
67 57531.63636363636 50536.0 67908.0 5001.112981581746 2955.4689069455603
68 58446.181818181816 51548.0 68920.0 5045.569736277199 2981.741170077789
69 59513.818181818184 52676.0 69920.0 5007.40742936266 2959.188687876604
70 60425.818181818184 53640.0 70920.0 5078.730979648003 3001.3382125879275
71 61238.545454545456 54000.0 71920.0 5071.335689217119 2996.9678752236637
72 62082.181818181816 54384.0 72908.0 5139.091083415078 3037.008754437429
73 63136.36363636364 55536.0 73908.0 5104.727990260152 3016.701464092284
74 64115.27272727273 56548.0 74804.0 5069.400538345912 2995.8242741390327
75 64987.27272727273 57664.0 75956.0 5217.600005575535 3083.404562574052
76 65778.54545454546 58628.0 76792.0 5309.868329132774 3137.931657317504
77 66661.45454545454 59652.0 77896.0 5393.874532534778 3187.5761510651014
78 67618.54545454546 60664.0 78920.0 5268.358764617998 3113.4010722825155
79 68572.0 61676.0 79792.0 5170.606154021016 3055.632971010634
80 69565.45454545454 62652.0 80920.0 5206.579306293843 3076.8917454911757
81 70399.27272727272 63384.0 81804.0 5207.737879173818 3077.5764183101683
82 71173.09090909091 64408.0 82932.0 5306.075036305941 3135.6899645091357
83 72027.27272727272 65408.0 83932.0 5363.494030777122 3169.622421834662
84 72895.27272727272 66420.0 84920.0 5323.524792670906 3146.0021115372797
85 73848.72727272728 67500.0 85920.0 5261.406600727777 3109.2926059692754
86 74760.0 67500.0 86804.0 5337.691186271458 3154.3739151666273
87 75720.72727272728 68396.0 87932.0 5369.833313817276 3173.368698710729
88 76636.36363636363 69420.0 88920.0 5420.7212670036315 3203.441557279265
89 77600.36363636363 70408.0 89792.0 5448.84147819933 3220.059540146619
90 78536.0 71408.0 90920.0 5450.050715360363 3220.7741536423987
91 79461.81818181818 72000.0 91780.0 5429.403315617322 3208.5723201356236
92 80301.09090909091 72000.0 92908.0 5562.065829429664 3286.970855848289
93 81256.72727272728 72128.0 93920.0 5695.692356349825 3365.93908690208
94 82169.09090909091 72756.0 94548.0 5729.0446228764085 3385.649016883366
95 83132.0 73780.0 95780.0 5822.915008825047 3441.122869998845
96 84051.63636363637 74664.0 96676.0 5829.402015176639 3444.956445773257
97 84916.36363636363 75920.0 97956.0 5761.521036544556 3404.841350901574
98 85787.27272727272 76780.0 98908.0 5784.621769673608 3418.4930117902604
