time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.003                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.006                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
3.008                         510.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
4.009                         2557.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
5.011                         2554.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
6.011                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
7.013                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
8.013                         512.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
9.013                         1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
10.014                        2557.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
11.015                        1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
12.016                        511.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
13.017                        511.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
14.017                        512.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
15.018                        511.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
16.018                        2560.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
17.02                         510.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
18.02                         1476.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
19.021                        511.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
20.021                        1476.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1534.0                        
21.022                        963.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           512.0                         
22.023                        1474.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        
23.023                        964.0                         512.0                         0.0                           0.0                           1536.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
24.024                        963.0                         0.0                           0.0                           0.0                           2045.0                        0.0                           0.0                           511.0                         0.0                           0.0                           1022.0                        
25.024                        512.0                         1536.0                        0.0                           0.0                           1536.0                        512.0                         0.0                           0.0                           0.0                           3072.0                        2560.0                        
26.025                        903.0                         0.0                           0.0                           511.0                         0.0                           511.0                         0.0                           1022.0                        0.0                           1534.0                        1022.0                        
27.026                        1022.0                        2557.0                        0.0                           511.0                         1022.0                        2045.0                        0.0                           0.0                           0.0                           0.0                           511.0                         
28.026                        1988.0                        0.0                           512.0                         0.0                           512.0                         2048.0                        0.0                           1536.0                        0.0                           512.0                         512.0                         
29.027                        0.0                           2045.0                        1022.0                        1022.0                        1022.0                        0.0                           0.0                           1534.0                        511.0                         1534.0                        0.0                           
30.028                        0.0                           0.0                           2045.0                        2045.0                        511.0                         0.0                           0.0                           511.0                         0.0                           1022.0                        1534.0                        
31.03                         1984.0                        0.0                           1532.0                        1532.0                        1532.0                        510.0                         0.0                           1021.0                        1532.0                        1532.0                        2043.0                        
