time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20003] Optional[local:sl-20004] Optional[local:sl-20005] Optional[local:sl-20006] Optional[local:sl-20007] Optional[local:sl-20008] Optional[local:sl-20009] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.004 256.0 192.0 64.0 64.0 64.0 128.0 128.0 128.0 64.0 64.0 
2.006 320.0 320.0 192.0 192.0 192.0 192.0 192.0 192.0 256.0 192.0 
3.008 384.0 448.0 256.0 256.0 320.0 256.0 320.0 320.0 384.0 256.0 
4.009 512.0 576.0 320.0 320.0 384.0 384.0 384.0 384.0 448.0 512.0 
5.01 576.0 640.0 448.0 448.0 448.0 448.0 512.0 512.0 576.0 640.0 
6.011 640.0 832.0 576.0 512.0 512.0 576.0 576.0 576.0 704.0 704.0 
7.012 768.0 896.0 640.0 640.0 640.0 640.0 640.0 768.0 832.0 768.0 
8.013 896.0 960.0 704.0 768.0 704.0 704.0 704.0 896.0 960.0 896.0 
9.014 1024.0 1152.0 768.0 896.0 768.0 896.0 832.0 960.0 960.0 896.0 
10.015 1088.0 1280.0 896.0 960.0 896.0 960.0 960.0 1088.0 1088.0 1024.0 
11.015 1152.0 1344.0 960.0 1152.0 1024.0 1024.0 1024.0 1216.0 1152.0 1152.0 
12.016 1344.0 1408.0 1088.0 1280.0 1152.0 1152.0 1088.0 1280.0 1216.0 1216.0 
13.016 1472.0 1472.0 1152.0 1344.0 1280.0 1280.0 1152.0 1344.0 1344.0 1408.0 
14.017 1536.0 1600.0 1216.0 1472.0 1344.0 1408.0 1280.0 1408.0 1344.0 1536.0 
15.018 1600.0 1728.0 1344.0 1600.0 1472.0 1472.0 1280.0 1600.0 1472.0 1664.0 
16.019 1664.0 1792.0 1408.0 1728.0 1600.0 1536.0 1472.0 1664.0 1600.0 1728.0 
17.02 1728.0 1920.0 1536.0 1792.0 1664.0 1664.0 1536.0 1856.0 1664.0 1856.0 
18.021 1856.0 1984.0 1600.0 1984.0 1728.0 1728.0 1600.0 1984.0 1792.0 1984.0 
19.021 1920.0 2048.0 1664.0 2176.0 1856.0 1792.0 1728.0 1984.0 1920.0 2048.0 
20.022 2048.0 2240.0 1792.0 2240.0 1856.0 1920.0 1856.0 2112.0 1984.0 2176.0 
21.022 2112.0 2368.0 1920.0 2304.0 2048.0 1984.0 1920.0 2240.0 2112.0 2240.0 
22.023 2240.0 2432.0 1984.0 2432.0 2176.0 2048.0 2048.0 2304.0 2176.0 2368.0 
23.024 2368.0 2496.0 2048.0 2496.0 2240.0 2112.0 2112.0 2368.0 2304.0 2432.0 
24.026 2884.0 2628.0 2368.0 2756.0 2560.0 2432.0 2752.0 2624.0 2560.0 2692.0 
25.027 3332.0 3268.0 3136.0 3204.0 3200.0 3264.0 3200.0 3204.0 3200.0 3268.0 
26.027 3780.0 3972.0 4032.0 3844.0 3968.0 3840.0 3712.0 3972.0 3972.0 3908.0 
27.028 4740.0 4804.0 4740.0 4804.0 4932.0 4804.0 4864.0 4868.0 4932.0 4804.0 
28.029 5892.0 5956.0 6148.0 6084.0 6084.0 6084.0 5828.0 5828.0 6084.0 5700.0 
29.03 6852.0 6980.0 7236.0 7108.0 7172.0 7236.0 7044.0 6980.0 6852.0 7236.0 
30.031 7940.0 8068.0 8324.0 8260.0 8388.0 8260.0 8132.0 8004.0 8004.0 8388.0 
31.032 9220.0 9220.0 9220.0 9540.0 9284.0 9476.0 9348.0 8964.0 9220.0 9412.0 
32.032 10244.0 10116.0 10436.0 10436.0 10372.0 10564.0 10436.0 10180.0 10500.0 10436.0 
33.033 11460.0 11140.0 11396.0 11524.0 11588.0 11652.0 11652.0 11076.0 11524.0 11460.0 
34.034 12420.0 12228.0 12484.0 12804.0 12804.0 12740.0 12548.0 12228.0 12612.0 12548.0 
35.036 13572.0 13252.0 13316.0 13892.0 13956.0 13828.0 13764.0 13380.0 13572.0 13700.0 
36.037 14532.0 14596.0 14596.0 14980.0 15044.0 14916.0 14724.0 14468.0 14788.0 14660.0 
37.037 15620.0 15620.0 15748.0 16196.0 16132.0 16132.0 15876.0 15428.0 15748.0 15812.0 
38.038 16836.0 16580.0 16772.0 16900.0 17092.0 17220.0 17156.0 16772.0 16708.0 17284.0 
39.04 17924.0 17796.0 17924.0 18180.0 18180.0 18308.0 18180.0 17860.0 17924.0 18180.0 
40.04 18820.0 18948.0 18948.0 19460.0 19268.0 19524.0 19012.0 19076.0 18948.0 19332.0 
41.041 20100.0 19844.0 20164.0 20420.0 20548.0 20548.0 20036.0 20228.0 19972.0 20420.0 
42.042 21060.0 20868.0 21380.0 21508.0 21828.0 21764.0 21252.0 21188.0 20996.0 21444.0 
43.042 22340.0 22020.0 22596.0 22468.0 22724.0 22852.0 22596.0 22148.0 22084.0 22468.0 
44.043 23364.0 23236.0 23556.0 23620.0 23812.0 24068.0 23684.0 23108.0 23172.0 23748.0 
45.043 24644.0 24324.0 24648.0 24836.0 25156.0 24844.0 24584.0 24260.0 24140.0 24776.0 
46.043 25608.0 25800.0 25868.0 25872.0 26188.0 25560.0 25620.0 25484.0 25296.0 25556.0 
47.043 26580.0 26452.0 26780.0 26712.0 26904.0 26200.0 26264.0 26388.0 26392.0 26260.0 
48.044 27356.0 27160.0 27292.0 27420.0 27364.0 26780.0 26912.0 27356.0 27224.0 27224.0 
49.045 28008.0 28072.0 27748.0 27944.0 27880.0 27492.0 27496.0 27940.0 27748.0 28072.0 
50.046 28780.0 28652.0 28584.0 28460.0 28524.0 28200.0 28008.0 28524.0 28392.0 28588.0 
51.047 29228.0 29356.0 29228.0 29292.0 29228.0 28904.0 28904.0 29228.0 29480.0 29548.0 
52.048 30060.0 30124.0 30124.0 30124.0 30252.0 29928.0 29800.0 29868.0 30124.0 30252.0 
53.049 30892.0 31084.0 31212.0 30956.0 31084.0 30696.0 30952.0 30828.0 31084.0 31148.0 
54.05 31916.0 31916.0 32108.0 31660.0 32044.0 31784.0 31784.0 31852.0 31916.0 31980.0 
55.051 33004.0 33196.0 33004.0 32812.0 33004.0 32684.0 32876.0 32684.0 32748.0 33004.0 
56.052 34156.0 34028.0 34092.0 33900.0 34220.0 33772.0 34156.0 33900.0 33964.0 34156.0 
57.052 35116.0 35308.0 35116.0 35116.0 35244.0 35052.0 35180.0 34924.0 34988.0 35244.0 
58.053 36332.0 36268.0 36396.0 36076.0 36268.0 36076.0 36140.0 36140.0 36268.0 36332.0 
59.054 37356.0 37420.0 37420.0 37292.0 37356.0 37100.0 37484.0 37036.0 37420.0 37484.0 
60.054 38508.0 38636.0 38572.0 38316.0 38444.0 38060.0 38572.0 38124.0 38444.0 38572.0 
61.055 39404.0 39532.0 39596.0 39468.0 39788.0 39404.0 39660.0 39340.0 39532.0 39596.0 
62.056 40620.0 40748.0 40620.0 40492.0 40812.0 40492.0 40556.0 40428.0 40684.0 40684.0 
63.056 41772.0 41644.0 41836.0 41580.0 41964.0 41516.0 41836.0 41452.0 41964.0 41644.0 
64.057 42604.0 42924.0 42988.0 42668.0 43308.0 42860.0 42860.0 42540.0 42860.0 42860.0 
65.058 43756.0 43884.0 44268.0 43884.0 44524.0 43756.0 44012.0 43436.0 44076.0 43820.0 
66.059 44780.0 44908.0 45228.0 44908.0 45612.0 44844.0 45036.0 44972.0 44972.0 45100.0 
67.06 45996.0 45932.0 46380.0 45868.0 46828.0 45740.0 46252.0 45868.0 46064.0 46316.0 
68.06 46896.0 46896.0 47664.0 47212.0 47984.0 47024.0 47344.0 47024.0 47024.0 47152.0 
69.061 48048.0 47728.0 48688.0 48108.0 48816.0 48304.0 48368.0 47728.0 48240.0 48304.0 
70.062 49072.0 48752.0 49584.0 49324.0 49848.0 49264.0 49268.0 48944.0 49396.0 48948.0 
71.062 50036.0 49656.0 50488.0 50680.0 50556.0 50236.0 50168.0 50040.0 50172.0 49912.0 
72.063 50944.0 50560.0 51204.0 51328.0 51200.0 50888.0 50820.0 50944.0 50760.0 50624.0 
73.065 51648.0 51204.0 51848.0 52040.0 51720.0 51592.0 51588.0 51840.0 51592.0 51400.0 
74.065 52296.0 52228.0 52488.0 52744.0 52364.0 52424.0 52680.0 52680.0 52424.0 52424.0 
75.066 52940.0 52936.0 53708.0 53580.0 53388.0 53068.0 53324.0 53320.0 53192.0 52812.0 
76.067 54028.0 54092.0 54416.0 54480.0 54284.0 54156.0 54224.0 54352.0 54156.0 54220.0 
77.068 55124.0 55188.0 55252.0 55508.0 55508.0 55248.0 55120.0 55380.0 55508.0 55316.0 
78.069 56084.0 56020.0 56084.0 56340.0 56276.0 56144.0 56272.0 56404.0 56212.0 56340.0 
79.07 57044.0 57044.0 56916.0 57236.0 57044.0 57168.0 57168.0 57300.0 57108.0 57044.0 
80.072 57876.0 57876.0 58068.0 58004.0 58004.0 58132.0 58384.0 58452.0 58004.0 57940.0 
81.072 59092.0 58900.0 59156.0 59092.0 59092.0 59284.0 59348.0 59412.0 59092.0 59220.0 
82.073 59988.0 60244.0 60372.0 60244.0 60308.0 60436.0 60500.0 60564.0 59988.0 60180.0 
83.073 61204.0 61140.0 61396.0 61332.0 61268.0 61460.0 61716.0 61780.0 61076.0 61588.0 
84.074 62164.0 62420.0 62612.0 62612.0 62420.0 62420.0 62740.0 62676.0 62036.0 62676.0 
85.075 63444.0 63380.0 63572.0 63764.0 63444.0 63380.0 63892.0 63764.0 63444.0 63892.0 
86.075 64532.0 64468.0 64788.0 64788.0 64532.0 64468.0 64852.0 64852.0 64532.0 64980.0 
87.075 65428.0 65556.0 65876.0 65812.0 65620.0 65876.0 65876.0 66196.0 65556.0 66004.0 
88.075 66644.0 66900.0 66836.0 66836.0 66580.0 66836.0 67092.0 67284.0 66900.0 67092.0 
89.076 67604.0 67860.0 68052.0 67860.0 67860.0 67988.0 68116.0 68436.0 67924.0 68052.0 
90.076 68756.0 68948.0 69012.0 68820.0 68756.0 69140.0 69140.0 69396.0 68948.0 69268.0 
