time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.003 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.015 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4.016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
5.017 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
6.018 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1022.0 0.0 
7.018 1024.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
8.019 0.0 0.0 1022.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
9.019 0.0 1024.0 0.0 1024.0 0.0 1024.0 1024.0 0.0 0.0 0.0 
10.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1022.0 1022.0 0.0 
11.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
12.021 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1022.0 
13.022 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
14.023 0.0 0.0 0.0 0.0 1022.0 0.0 0.0 0.0 0.0 0.0 
15.024 0.0 0.0 0.0 1022.0 0.0 0.0 0.0 0.0 0.0 0.0 
16.024 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
17.025 1022.0 0.0 1022.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
18.025 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
19.026 0.0 0.0 0.0 0.0 1022.0 0.0 0.0 0.0 0.0 0.0 
20.027 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
21.028 0.0 1022.0 0.0 0.0 0.0 0.0 0.0 1022.0 0.0 1022.0 
22.028 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
23.028 0.0 0.0 0.0 1024.0 0.0 0.0 0.0 0.0 0.0 0.0 
24.029 0.0 0.0 1022.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
25.03 1022.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
26.03 0.0 0.0 0.0 0.0 0.0 1024.0 1024.0 0.0 1024.0 0.0 
27.031 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1022.0 
28.032 0.0 0.0 0.0 0.0 1022.0 0.0 0.0 0.0 0.0 0.0 
29.032 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
30.032 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1024.0 0.0 0.0 
31.033 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
32.034 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
33.035 1022.0 1022.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
34.035 0.0 0.0 1024.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
35.036 0.0 0.0 0.0 0.0 0.0 1022.0 0.0 0.0 0.0 0.0 
36.037 0.0 0.0 0.0 0.0 1022.0 0.0 0.0 0.0 0.0 0.0 
37.037 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1024.0 0.0 
38.037 904.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
39.038 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
40.038 0.0 0.0 0.0 0.0 904.0 0.0 0.0 0.0 0.0 0.0 
41.039 0.0 0.0 903.0 0.0 0.0 0.0 0.0 1022.0 0.0 1022.0 
42.039 0.0 1024.0 0.0 1024.0 0.0 0.0 0.0 0.0 0.0 0.0 
43.039 0.0 0.0 0.0 0.0 0.0 2048.0 1024.0 0.0 0.0 0.0 
44.04 1022.0 0.0 1022.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
45.04 0.0 1024.0 0.0 1928.0 0.0 0.0 0.0 0.0 1024.0 0.0 
46.04 0.0 1024.0 0.0 0.0 0.0 0.0 1024.0 0.0 0.0 1024.0 
47.041 0.0 1022.0 0.0 0.0 0.0 0.0 1022.0 0.0 1022.0 1022.0 
48.042 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1022.0 0.0 
49.043 0.0 0.0 1022.0 1022.0 1022.0 1926.0 0.0 0.0 1022.0 0.0 
50.043 1024.0 0.0 0.0 0.0 1024.0 0.0 0.0 2048.0 0.0 0.0 
51.043 0.0 1928.0 2048.0 1024.0 0.0 1024.0 1024.0 1024.0 0.0 904.0 
52.043 1024.0 1024.0 0.0 0.0 1024.0 0.0 1024.0 1928.0 1928.0 2048.0 
53.044 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1022.0 
54.045 1022.0 1022.0 0.0 1022.0 1022.0 0.0 2045.0 0.0 0.0 0.0 
55.045 0.0 1024.0 0.0 2048.0 0.0 0.0 0.0 0.0 1024.0 0.0 
56.045 2048.0 0.0 1024.0 0.0 2048.0 1024.0 0.0 1024.0 0.0 0.0 
57.045 2048.0 1024.0 1024.0 0.0 0.0 0.0 1928.0 1024.0 0.0 0.0 
58.047 0.0 0.0 1021.0 2043.0 1021.0 1021.0 3065.0 3065.0 0.0 0.0 
59.047 0.0 3072.0 2048.0 0.0 1024.0 1024.0 1024.0 0.0 1024.0 2048.0 
60.048 1022.0 1022.0 2045.0 1022.0 4091.0 5114.0 3068.0 1022.0 2045.0 1022.0 
61.048 1024.0 1024.0 0.0 3072.0 0.0 0.0 1024.0 2048.0 2048.0 2048.0 
