time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.001                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.003                         0.0                           0.0                           510.0                         0.0                           0.0                           510.0                         510.0                         0.0                           0.0                           0.0                           
3.005                         0.0                           510.0                         0.0                           511.0                         511.0                         0.0                           0.0                           0.0                           0.0                           0.0                           
4.005                         512.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           512.0                         0.0                           0.0                           
5.006                         0.0                           0.0                           0.0                           0.0                           0.0                           511.0                         0.0                           0.0                           0.0                           0.0                           
6.007                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           511.0                         0.0                           0.0                           0.0                           
7.007                         0.0                           0.0                           511.0                         0.0                           0.0                           0.0                           0.0                           0.0                           511.0                         511.0                         
8.008                         0.0                           0.0                           0.0                           0.0                           512.0                         0.0                           0.0                           0.0                           0.0                           0.0                           
9.009                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
10.01                         0.0                           0.0                           511.0                         0.0                           0.0                           0.0                           511.0                         511.0                         0.0                           0.0                           
11.012                        0.0                           0.0                           0.0                           510.0                         0.0                           510.0                         0.0                           0.0                           0.0                           0.0                           
12.013                        0.0                           511.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           511.0                         511.0                         
13.013                        512.0                         0.0                           512.0                         0.0                           512.0                         0.0                           512.0                         512.0                         0.0                           0.0                           
14.015                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
15.015                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
16.016                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
17.016                        512.0                         0.0                           452.0                         0.0                           0.0                           512.0                         0.0                           0.0                           512.0                         0.0                           
18.018                        0.0                           510.0                         0.0                           510.0                         510.0                         0.0                           451.0                         510.0                         0.0                           510.0                         
19.019                        0.0                           511.0                         0.0                           511.0                         511.0                         0.0                           0.0                           511.0                         0.0                           0.0                           
20.02                         0.0                           0.0                           0.0                           0.0                           0.0                           963.0                         0.0                           451.0                         0.0                           1022.0                        
21.022                        510.0                         510.0                         0.0                           510.0                         451.0                         0.0                           510.0                         0.0                           510.0                         0.0                           
22.022                        512.0                         1024.0                        512.0                         1024.0                        1536.0                        0.0                           0.0                           512.0                         512.0                         512.0                         
23.023                        0.0                           1022.0                        0.0                           0.0                           511.0                         511.0                         511.0                         0.0                           1534.0                        963.0                         
24.023                        512.0                         512.0                         512.0                         512.0                         512.0                         512.0                         0.0                           512.0                         452.0                         0.0                           
