time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.014 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4.016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
5.017 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
6.018 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1024.0 0.0 
7.018 1024.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1024.0 0.0 
8.019 1024.0 0.0 1024.0 0.0 0.0 0.0 0.0 0.0 1024.0 0.0 
9.019 1024.0 1024.0 1024.0 1024.0 0.0 1024.0 1024.0 0.0 1024.0 0.0 
10.02 1024.0 1024.0 1024.0 1024.0 0.0 1024.0 1024.0 1024.0 2048.0 0.0 
11.02 1024.0 1024.0 1024.0 1024.0 0.0 1024.0 1024.0 1024.0 2048.0 0.0 
12.021 1024.0 1024.0 1024.0 1024.0 0.0 1024.0 1024.0 1024.0 2048.0 1024.0 
13.022 1024.0 1024.0 1024.0 1024.0 0.0 1024.0 1024.0 1024.0 2048.0 1024.0 
14.023 1024.0 1024.0 1024.0 1024.0 1024.0 1024.0 1024.0 1024.0 2048.0 1024.0 
15.024 1024.0 1024.0 1024.0 2048.0 1024.0 1024.0 1024.0 1024.0 2048.0 1024.0 
16.024 1024.0 1024.0 1024.0 2048.0 1024.0 1024.0 1024.0 1024.0 2048.0 1024.0 
17.025 2048.0 1024.0 2048.0 2048.0 1024.0 1024.0 1024.0 1024.0 2048.0 1024.0 
18.025 2048.0 1024.0 2048.0 2048.0 1024.0 1024.0 1024.0 1024.0 2048.0 1024.0 
19.026 2048.0 1024.0 2048.0 2048.0 2048.0 1024.0 1024.0 1024.0 2048.0 1024.0 
20.027 2048.0 1024.0 2048.0 2048.0 2048.0 1024.0 1024.0 1024.0 2048.0 1024.0 
21.028 2048.0 2048.0 2048.0 2048.0 2048.0 1024.0 1024.0 2048.0 2048.0 2048.0 
