time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 56.0 60.0 0.0 62.0 62.0 0.0 62.0 0.0 0.0 63.0 
1.002 0.0 0.0 127.0 127.0 255.0 127.0 0.0 127.0 127.0 0.0 
2.002 128.0 127.0 127.0 0.0 0.0 127.0 127.0 255.0 255.0 127.0 
3.004 0.0 255.0 255.0 0.0 127.0 127.0 0.0 0.0 127.0 0.0 
4.005 127.0 127.0 0.0 127.0 0.0 127.0 127.0 0.0 127.0 127.0 
5.006 127.0 0.0 127.0 0.0 383.0 0.0 0.0 255.0 0.0 255.0 
6.007 0.0 0.0 127.0 127.0 0.0 0.0 383.0 0.0 127.0 0.0 
7.007 128.0 128.0 256.0 0.0 128.0 128.0 0.0 256.0 128.0 128.0 
8.008 127.0 255.0 127.0 0.0 127.0 255.0 127.0 0.0 0.0 0.0 
9.009 127.0 0.0 127.0 127.0 0.0 127.0 0.0 127.0 127.0 127.0 
10.01 127.0 255.0 0.0 255.0 127.0 0.0 127.0 0.0 127.0 0.0 
11.011 127.0 0.0 0.0 127.0 0.0 127.0 255.0 0.0 0.0 127.0 
12.012 127.0 127.0 127.0 0.0 127.0 0.0 255.0 127.0 255.0 127.0 
13.013 127.0 255.0 255.0 0.0 127.0 0.0 0.0 127.0 127.0 0.0 
14.013 128.0 128.0 0.0 0.0 128.0 127.0 127.0 0.0 127.0 127.0 
15.014 127.0 0.0 127.0 255.0 0.0 0.0 128.0 384.0 0.0 128.0 
16.014 128.0 128.0 0.0 0.0 0.0 128.0 256.0 128.0 0.0 0.0 
17.014 0.0 128.0 128.0 128.0 256.0 128.0 0.0 0.0 256.0 128.0 
18.015 0.0 0.0 255.0 0.0 0.0 0.0 127.0 383.0 127.0 127.0 
19.016 127.0 127.0 0.0 0.0 0.0 127.0 0.0 127.0 0.0 127.0 
20.017 0.0 127.0 255.0 255.0 255.0 0.0 383.0 0.0 127.0 0.0 
21.018 127.0 0.0 127.0 0.0 127.0 0.0 127.0 127.0 127.0 127.0 
22.018 0.0 128.0 128.0 128.0 0.0 128.0 0.0 128.0 128.0 128.0 
23.019 127.0 0.0 0.0 255.0 0.0 255.0 383.0 127.0 0.0 0.0 
24.02 127.0 127.0 127.0 127.0 0.0 0.0 127.0 0.0 127.0 0.0 
25.02 256.0 0.0 128.0 0.0 256.0 256.0 0.0 256.0 0.0 128.0 
26.021 0.0 0.0 0.0 127.0 0.0 127.0 127.0 127.0 127.0 127.0 
27.022 127.0 127.0 127.0 127.0 127.0 0.0 0.0 127.0 127.0 255.0 
