Time Mean Min Max StDev ConfidenceInterval
0 69.81818181818181 0.0 768.0 231.5607126357225 136.8436363636364
1 151.27272727272728 0.0 1664.0 501.71487737739864 296.49454545454546
2 267.6363636363636 0.0 2944.0 887.6493984369362 524.5672727272728
3 349.09090909090907 0.0 3840.0 1157.8035631786124 684.2181818181818
4 430.54545454545456 0.0 4736.0 1427.9577279202883 843.8690909090909
5 535.2727272727273 0.0 5888.0 1775.2987968738723 1049.1345454545456
6 605.0909090909091 0.0 6656.0 2006.8595095095945 1185.9781818181818
7 721.4545454545455 0.0 7936.0 2392.794030569132 1414.0509090909088
8 814.5454545454545 0.0 8960.0 2701.5416474167623 1596.509090909091
9 896.0 0.0 9856.0 2971.6958121584385 1756.16
10 989.0909090909091 0.0 10880.0 3280.443429006068 1938.6181818181817
11 1058.909090909091 0.0 11648.0 3512.0041416417907 2075.461818181818
12 1175.2727272727273 0.0 12928.0 3897.9386627013278 2303.534545454545
13 1268.3636363636363 0.0 13952.0 4206.686279548959 2485.9927272727277
14 1349.8181818181818 0.0 14848.0 4476.840444290634 2645.643636363636
15 1454.5454545454545 0.0 16000.0 4824.181513244218 2850.909090909091
16 1524.3636363636363 0.0 16768.0 5055.742225879941 2987.7527272727275
17 1629.090909090909 0.0 17920.0 5403.083294833525 3193.018181818182
18 1722.1818181818182 0.0 18944.0 5711.830911681153 3375.4763636363637
19 1780.3636363636363 0.0 19584.0 5904.7981722109225 3489.512727272727
20 1908.3636363636363 0.0 20992.0 6329.3261453764135 3740.3927272727274
21 1989.8181818181818 0.0 21888.0 6599.4803101180905 3900.043636363637
22 2071.2727272727275 0.0 22784.0 6869.634474859767 4059.6945454545457
23 2176.0 0.0 23936.0 7216.97554381335 4264.96
24 2245.818181818182 0.0 24704.0 7448.5362564490715 4401.803636363636
25 2362.181818181818 0.0 25984.0 7834.470777508611 4629.876363636364
26 2432.0 0.0 26752.0 8066.031490144333 4766.72
27 2536.7272727272725 0.0 27904.0 8413.372559097917 4971.9854545454555
28 2629.818181818182 0.0 28928.0 8722.120175945545 5154.443636363636
29 2711.2727272727275 0.0 29824.0 8992.274340687221 5314.0945454545445
30 2816.0 0.0 30976.0 9339.615409640806 5519.36
31 2885.818181818182 0.0 31744.0 9571.176122276527 5656.203636363635
32 2990.5454545454545 0.0 32896.0 9918.517191230112 5861.4690909090905
33 3083.6363636363635 0.0 33920.0 10227.264808077742 6043.927272727272
34 3153.4545454545455 0.0 34688.0 10458.825520713464 6180.770909090909
35 3269.818181818182 0.0 35968.0 10844.760041773001 6408.843636363636
36 3351.2727272727275 0.0 36864.0 11114.914206514679 6568.494545454545
37 3444.3636363636365 0.0 37888.0 11423.661823362307 6750.952727272727
38 3537.4545454545455 0.0 38912.0 11732.40944020994 6933.41090909091
39 3607.2727272727275 0.0 39680.0 11963.97015284566 7070.254545454546
40 3723.6363636363635 0.0 40960.0 12349.9046739052 7298.327272727274
41 3793.4545454545455 0.0 41728.0 12581.465386540922 7435.17090909091
42 3886.5454545454545 0.0 42752.0 12890.213003388551 7617.629090909092
43 3991.2727272727275 0.0 43904.0 13237.554072342135 7822.8945454545465
44 4049.4545454545455 0.0 44544.0 13430.521332871904 7936.930909090909
45 4189.818181818182 0.0 45960.0 13853.655270853116 8186.98708694222
46 4352.727272727273 0.0 46856.0 14100.087695407494 8332.61934342512
47 4538.909090909091 0.0 47880.0 14387.738011616319 8502.609817297469
48 4901.818181818182 0.0 48800.0 14587.59806012067 8620.71955832324
49 5414.545454545455 0.0 49960.0 14835.724588732674 8767.352966326987
50 6008.727272727273 0.0 50864.0 14979.150717520064 8852.112392005996
51 6626.909090909091 0.0 51648.0 15070.97035664622 8906.374331195078
52 7500.363636363636 0.0 52936.0 15246.287149812753 9009.979935183097
53 8314.90909090909 0.0 53832.0 15280.148385762132 9029.990646872213
54 9362.181818181818 0.0 54856.0 15313.126851287961 9049.47967457851
55 10188.363636363636 0.0 55880.0 15411.86051891677 9107.827543506948
56 11130.90909090909 0.0 56648.0 15385.508099861672 9092.254259034677
57 12096.727272727272 0.0 57928.0 15540.23606700303 9183.692644371164
58 12923.636363636364 128.0 58960.0 15647.869268834827 9247.299801925974
59 14005.818181818182 896.0 59984.0 15644.783755732655 9245.476380205842
60 14960.0 2048.0 60880.0 15618.083467570532 9229.697518228468
61 15984.0 3072.0 61776.0 15570.107976504209 9201.345814784823
62 16973.090909090908 4224.0 62928.0 15619.312465371484 9230.423809516185
63 17938.909090909092 5248.0 63824.0 15594.511146262621 9215.767166535426
64 18997.81818181818 6144.0 64976.0 15632.945351520819 9238.480330389573
65 19963.636363636364 7168.0 65744.0 15564.90672810298 9198.272073402906
66 20941.090909090908 7936.0 66384.0 15472.661525765665 9143.758642427265
67 21965.090909090908 9216.0 67664.0 15533.77173422183 9179.872467820594
68 22861.090909090908 10240.0 68688.0 15564.289495216575 9197.90731207661
69 23943.272727272728 10880.0 69584.0 15536.972762355665 9181.764154562055
70 24920.727272727272 12160.0 70736.0 15573.74506720146 9203.495198033523
71 25979.636363636364 13184.0 71504.0 15484.462556205994 9150.732605755979
72 26957.090909090908 14208.0 72656.0 15535.459217252288 9180.869706564428
73 27888.0 15232.0 73680.0 15550.7341048582 9189.896588289079
74 28935.272727272728 16128.0 74576.0 15525.157680944236 9174.78188764005
75 29959.272727272728 17152.0 75728.0 15559.167671125015 9194.880507462278
76 30960.0 18048.0 76496.0 15491.17157609456 9154.697383146486
77 31960.727272727272 19200.0 77648.0 15530.380633396651 9177.868455296573
78 32914.90909090909 20224.0 78672.0 15543.090152569697 9185.379301157585
79 33962.181818181816 20992.0 79568.0 15526.415618668603 9175.525281329603
80 34928.0 22144.0 80720.0 15564.31940047492 9197.92498495493
81 35975.27272727273 23040.0 81616.0 15530.116890036012 9177.712592930606
82 36941.09090909091 24192.0 82512.0 15497.274608488717 9158.304044812687
83 37872.0 25216.0 83664.0 15547.362271459426 9187.903962086437
84 38966.545454545456 26240.0 84432.0 15457.193667439355 9134.617722294324
85 39909.818181818184 27136.0 85712.0 15566.673362142483 9199.316087403975
86 40945.454545454544 27904.0 86736.0 15573.779736233824 9203.515686122386
87 41957.818181818184 29184.0 87632.0 15520.95382261143 9172.297566122506
88 42902.545454545456 30208.0 88656.0 15544.226789156393 9186.051010455665
89 43975.27272727273 31232.0 89424.0 15450.846948247912 9130.86705093367
90 44914.181818181816 32128.0 90704.0 15562.777373066685 9197.013704990755
91 45861.818181818184 33024.0 91472.0 15488.092186051721 9152.877579923184
92 46794.181818181816 34176.0 92624.0 15534.734486422238 9180.441418013057
93 47446.545454545456 35072.0 93648.0 15594.599606040782 9215.819442923668
94 48189.818181818184 36224.0 94424.0 15566.495339787834 9199.210882915326
95 48792.72727272727 37128.0 95704.0 15762.05649711299 9314.780141600217
96 49382.545454545456 37896.0 96624.0 15859.059570880212 9372.10529491169
97 50094.545454545456 39184.0 97656.0 15959.926142458406 9431.713629525892
98 50781.818181818184 40208.0 98688.0 16087.521461170965 9507.117644295322
