Time Mean Min Max StDev ConfidenceInterval
0 76.8 0.0 128.0 66.09891577527326 40.96853244462959
1 204.8 128.0 384.0 89.49835504385294 55.471655160290844
2 320.0 128.0 512.0 138.25580156603436 85.6918336054648
3 396.8 256.0 640.0 140.86463163067032 87.3088032318493
4 524.8 384.0 640.0 112.07616457867688 69.46552649096287
5 601.6 384.0 768.0 148.41623151723593 91.98933333333333
6 716.8 512.0 896.0 137.59586557096193 85.28280103801052
7 819.2 640.0 1152.0 210.75778620123253 130.62902924609742
8 908.8 640.0 1280.0 229.37053961754643 142.1653333333333
9 1024.0 768.0 1408.0 225.7707785441784 139.93417830457923
10 1088.0 768.0 1536.0 257.7716474366842 159.76852233430992
11 1216.0 896.0 1664.0 257.7716474366842 159.76852233430992
12 1318.4 896.0 1664.0 256.3553089843166 158.89066666666665
13 1408.0 896.0 1664.0 289.37941261334475 179.35921815668624
14 1523.2 1024.0 1792.0 298.36174911227033 184.92652799783303
15 1612.8 1152.0 1920.0 277.82520484010166 172.19784598472123
16 1689.6 1280.0 2048.0 275.19173114192387 170.56560207602104
17 1817.6 1408.0 2176.0 232.1317633490849 143.87675753304362
18 1881.6 1536.0 2176.0 226.1735813239223 140.18383805401945
19 1996.8 1536.0 2432.0 271.19357580067333 168.08751972178723
20 2086.4 1664.0 2432.0 270.18479272938777 167.46226949641192
21 2188.8 1792.0 2560.0 266.111421943683 164.93756812671745
22 2291.2 1792.0 2688.0 310.3248477178569 192.3413333333333
23 2380.8 1792.0 2688.0 308.85480227590585 191.4301897286725
24 2496.0 1920.0 2816.0 297.13894991326123 184.168629202213
25 2598.4 2048.0 3072.0 330.7698763658975 205.01329337495275
26 2675.2 2048.0 3200.0 343.724954643163 213.0429340808509
27 2790.4 2304.0 3328.0 355.9535550227492 220.6222991207673
28 2880.0 2432.0 3456.0 378.02762979561277 234.30395241129744
29 2995.2 2432.0 3456.0 377.7867711347824 234.15466666666666
30 3097.6 2432.0 3584.0 394.75314367898886 244.67053331731177
31 3187.2 2560.0 3584.0 364.2943864513973 225.792
32 3289.6 2560.0 3968.0 443.6102393367904 274.9524749366293
33 3379.2 2688.0 3968.0 431.7563098683227 267.6053333333333
34 3494.4 2944.0 4224.0 447.6951343641489 277.48431910530246
35 3584.0 2944.0 4224.0 451.5415570883568 279.86835660915847
36 3699.2 3072.0 4352.0 445.24869455170784 275.968
37 3788.8 3328.0 4352.0 368.0231876752696 228.10313494265412
38 3878.4 3328.0 4480.0 395.9043655564645 245.38406802941927
39 3993.6 3456.0 4608.0 421.51557240246507 261.25805849219483
40 4096.0 3456.0 4736.0 430.9122107034487 267.0821552506519
41 4198.4 3456.0 4864.0 450.7345116584706 279.36814466935914
42 4288.0 3584.0 4992.0 456.5532705926975 282.9746488213309
43 4468.0 3712.0 5000.0 450.362816700787 279.13776574778745
44 4672.8 3968.0 5128.0 424.4014870641033 263.04676693107047
45 4864.8 4096.0 5504.0 456.06159428061665 282.6699046858563
46 5160.8 4352.0 5632.0 437.19428683875145 270.9758263789923
47 5557.6 4864.0 6280.0 442.13703255388543 274.0393719125451
48 6007.2 5248.0 6664.0 440.2577023113218 272.87455096028606
49 6647.2 6272.0 7176.0 288.5044964024728 178.81693947100698
50 7300.0 6912.0 7944.0 332.2382010278502 205.92337042912072
51 7916.0 7560.0 8584.0 356.4217227449029 220.91247248124714
52 8760.8 8448.0 9096.0 252.62919686986123 156.58119845129696
53 9516.0 8840.0 10504.0 487.5881686651371 302.21027793390624
54 10400.0 9608.0 11528.0 552.8688813814719 342.6716828686024
55 11321.6 10376.0 12040.0 451.5541557283639 279.8761653271357
56 12153.6 11016.0 13576.0 625.261403112508 387.54103269833104
57 13178.4 12552.0 14216.0 465.4697030360241 288.5011109056216
58 14216.0 13448.0 15624.0 647.072037892399 401.059404189565
59 15278.4 14472.0 16776.0 696.0030651273504 431.3871690751438
60 16481.6 15880.0 17544.0 519.2377318938044 321.82688045731805
61 17505.6 16648.0 18440.0 505.019075547317 313.01406595018483
62 18632.0 18184.0 19336.0 353.12950095459945 218.87193227496707
63 19745.6 18824.0 20744.0 552.3644529555544 342.3590348910855
64 20782.4 19464.0 21640.0 661.1268494858691 409.7706666666666
65 21985.6 20744.0 23048.0 690.7521182659441 428.13259849205076
66 23009.6 21640.0 24200.0 756.1756409723868 468.6825179756547
67 24174.4 22536.0 25608.0 804.5806637276615 498.6842619070485
68 25224.0 24072.0 26632.0 690.6203330661822 428.05091717899376
69 26312.0 25224.0 27656.0 737.1585085086291 456.89557715813646
70 27464.0 26760.0 28552.0 573.2278972818946 355.2903316569266
71 28475.2 27784.0 29832.0 553.6811758082845 343.1751481704025
72 29704.0 29064.0 31496.0 713.9498893090778 442.5107259465896
73 30728.0 29960.0 32392.0 726.5871516128598 450.34338227130144
74 31841.6 30984.0 33800.0 800.6113219839505 496.22403840559303
75 32955.2 32264.0 34440.0 664.2858822324416 411.72865544838305
76 34017.6 33416.0 35720.0 674.7541445264012 418.2169516390054
77 35182.4 34056.0 36872.0 767.5257795163769 475.71740672892014
78 36244.8 35080.0 37768.0 769.0659269529498 476.67199999999985
79 37384.0 36360.0 38920.0 698.4834365331158 432.9245191998767
80 38459.2 37000.0 40328.0 870.6509442174095 539.6350460178311
81 39483.2 38024.0 41480.0 866.4590520554846 537.036884338083
82 40686.4 38920.0 42888.0 1046.5081833305355 648.6324920685912
83 41697.6 40072.0 43912.0 995.2405850959968 616.8565054734275
84 42785.6 40968.0 45320.0 1075.6739696064458 666.7096336873764
85 43976.8 42248.0 45960.0 944.8918574219075 585.6500407520595
86 44954.4 43400.0 47384.0 1088.9019137543005 674.9083984120447
87 46185.6 44944.0 48664.0 1062.6979501877913 658.6670135275739
88 47160.0 45840.0 49688.0 1095.2243808665166 678.8271041272421
89 48150.4 46736.0 50584.0 1031.1059003699754 639.086058185524
90 49208.8 47904.0 50856.0 828.6123339656488 513.579245437352
91 50056.0 48672.0 51496.0 859.2296291187563 532.556041578933
92 50870.4 49832.0 52400.0 763.3172050697898 473.1089052620149
93 51543.2 50216.0 52920.0 767.0776869247194 475.43967606323207
94 52291.2 51112.0 53568.0 698.5974520423046 432.99518674461035
95 53240.8 52656.0 53832.0 416.62261100425167 258.2253695979541
96 54052.8 53440.0 54840.0 412.4325668787835 255.6283533430689
97 54760.0 53952.0 55488.0 422.98410792316486 262.1682662379683
98 55624.0 54600.0 56264.0 508.68370438919226 315.2854264384011
99 56715.2 56256.0 57544.0 457.3344995126045 283.45885952246715
100 57714.4 57168.0 58312.0 381.4740998926256 236.44009670856497
101 58793.6 58064.0 59224.0 428.5093542347316 265.59284938165536
102 59805.6 58704.0 60632.0 546.5567369145373 338.759375195236
103 60780.8 60112.0 61400.0 464.982867067881 288.19936684640146
104 61742.4 60888.0 62168.0 443.8506255236977 275.10146783888865
