time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 128.0 128.0 128.0 0.0 128.0 0.0 0.0 0.0 128.0 128.0 
1.001 384.0 256.0 256.0 128.0 256.0 128.0 128.0 128.0 128.0 256.0 
2.002 384.0 256.0 256.0 384.0 512.0 128.0 256.0 384.0 128.0 512.0 
3.003 384.0 256.0 384.0 384.0 640.0 256.0 384.0 384.0 256.0 640.0 
4.004 640.0 512.0 512.0 512.0 640.0 384.0 384.0 640.0 384.0 640.0 
5.006 640.0 768.0 512.0 768.0 640.0 512.0 384.0 640.0 384.0 768.0 
6.006 768.0 896.0 640.0 768.0 768.0 640.0 512.0 768.0 512.0 896.0 
7.007 768.0 1152.0 640.0 768.0 768.0 640.0 640.0 1024.0 640.0 1152.0 
8.008 768.0 1152.0 768.0 1024.0 896.0 640.0 640.0 1152.0 768.0 1280.0 
9.009 896.0 1408.0 1024.0 1152.0 1024.0 768.0 768.0 1152.0 768.0 1280.0 
10.01 1024.0 1536.0 1024.0 1152.0 1024.0 896.0 768.0 1280.0 768.0 1408.0 
11.01 1152.0 1664.0 1152.0 1280.0 1152.0 896.0 896.0 1408.0 1024.0 1536.0 
12.011 1408.0 1664.0 1408.0 1280.0 1408.0 896.0 1024.0 1536.0 1024.0 1536.0 
13.012 1408.0 1664.0 1408.0 1536.0 1664.0 896.0 1024.0 1664.0 1152.0 1664.0 
14.013 1664.0 1792.0 1664.0 1536.0 1792.0 1024.0 1152.0 1664.0 1152.0 1792.0 
15.014 1664.0 1920.0 1792.0 1664.0 1920.0 1152.0 1280.0 1664.0 1280.0 1792.0 
16.014 1792.0 2048.0 1920.0 1664.0 1920.0 1280.0 1408.0 1792.0 1280.0 1792.0 
17.015 1792.0 2048.0 1920.0 1664.0 2176.0 1408.0 1664.0 1792.0 1664.0 2048.0 
18.015 1920.0 2048.0 2048.0 1664.0 2176.0 1536.0 1792.0 1792.0 1664.0 2176.0 
19.016 1920.0 2176.0 2176.0 1792.0 2432.0 1536.0 1920.0 1920.0 1792.0 2304.0 
20.017 2048.0 2304.0 2304.0 1920.0 2432.0 1664.0 1920.0 2048.0 1792.0 2432.0 
21.018 2176.0 2432.0 2304.0 2048.0 2560.0 1792.0 2048.0 2048.0 1920.0 2560.0 
22.018 2304.0 2432.0 2688.0 2048.0 2560.0 1792.0 2304.0 2176.0 1920.0 2688.0 
23.019 2304.0 2560.0 2688.0 2176.0 2560.0 1792.0 2688.0 2304.0 2048.0 2688.0 
24.02 2432.0 2688.0 2816.0 2432.0 2688.0 1920.0 2688.0 2304.0 2176.0 2816.0 
25.02 2560.0 2816.0 3072.0 2432.0 2816.0 2048.0 2688.0 2432.0 2176.0 2944.0 
26.02 2560.0 2816.0 3200.0 2560.0 2816.0 2048.0 2816.0 2560.0 2304.0 3072.0 
27.021 2816.0 2944.0 3200.0 2560.0 3328.0 2304.0 2816.0 2560.0 2304.0 3072.0 
28.022 2816.0 3072.0 3456.0 2560.0 3328.0 2432.0 2944.0 2560.0 2432.0 3200.0 
29.022 3072.0 3328.0 3456.0 2688.0 3456.0 2432.0 3072.0 2688.0 2560.0 3200.0 
30.023 3072.0 3456.0 3456.0 2816.0 3584.0 2432.0 3200.0 2816.0 2688.0 3456.0 
31.024 3200.0 3456.0 3584.0 2944.0 3584.0 2560.0 3200.0 2944.0 2816.0 3584.0 
32.025 3200.0 3584.0 3584.0 3072.0 3968.0 2560.0 3456.0 2944.0 2816.0 3712.0 
33.026 3328.0 3584.0 3584.0 3072.0 3968.0 2688.0 3584.0 3072.0 2944.0 3968.0 
34.027 3328.0 3712.0 3712.0 3200.0 4224.0 2944.0 3584.0 3200.0 2944.0 4096.0 
35.028 3584.0 3840.0 3840.0 3328.0 4224.0 3072.0 3584.0 3200.0 2944.0 4224.0 
36.028 3712.0 3968.0 3840.0 3456.0 4352.0 3200.0 3712.0 3328.0 3072.0 4352.0 
