time Optional[local:s-0] Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 768.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.002 2048.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.003 3200.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.004 3968.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4.005 5248.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
5.006 6016.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
6.007 7168.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
7.008 8192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
8.009 9088.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
9.01 10240.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
10.011 10880.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
11.011 12160.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
12.012 13184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
13.013 14080.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
14.014 15232.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
15.015 16128.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
16.015 16896.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
17.016 18176.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
18.016 18816.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
19.017 19968.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
20.018 20864.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
21.019 21888.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
22.019 22912.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
23.02 23808.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
24.021 24960.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
25.021 25984.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
26.021 26752.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
27.022 27904.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
28.023 28800.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
29.023 29952.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
30.024 30976.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
31.025 31872.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
32.026 32896.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
33.027 33792.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
34.028 34944.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
35.029 35840.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
36.029 36992.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
37.029 37888.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
38.029 38784.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
39.031 39936.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
40.031 40960.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
41.031 41984.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
42.031 42880.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
43.032 43912.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 768.0 
44.033 44936.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1792.0 
45.033 45832.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2816.0 
46.033 47000.0 0.0 384.0 0.0 0.0 256.0 0.0 0.0 0.0 0.0 3968.0 
47.033 47896.0 0.0 1536.0 0.0 0.0 1280.0 0.0 0.0 0.0 0.0 4864.0 
48.034 48808.0 0.0 2688.0 384.0 0.0 2176.0 0.0 256.0 0.0 0.0 5760.0 
49.035 49960.0 0.0 3456.0 1536.0 0.0 3328.0 0.0 1280.0 0.0 0.0 6912.0 
50.035 50984.0 0.0 4736.0 2688.0 0.0 4480.0 0.0 2304.0 0.0 0.0 7808.0 
51.036 51896.0 512.0 5504.0 3328.0 0.0 5376.0 0.0 3456.0 128.0 0.0 8960.0 
52.036 52920.0 1536.0 6656.0 4736.0 0.0 6400.0 0.0 4480.0 1024.0 0.0 9856.0 
53.037 53688.0 2688.0 7680.0 5504.0 0.0 7424.0 0.0 5376.0 2048.0 0.0 10752.0 
54.038 54976.0 3456.0 8704.0 6656.0 0.0 8320.0 0.0 6400.0 3200.0 384.0 11904.0 
55.039 56000.0 4736.0 9728.0 7552.0 0.0 9472.0 0.0 7424.0 4224.0 1280.0 12800.0 
56.04 56768.0 5504.0 10624.0 8704.0 0.0 10368.0 0.0 8192.0 5120.0 2304.0 13952.0 
57.04 57928.0 6656.0 11648.0 9600.0 640.0 11392.0 0.0 9472.0 6144.0 3328.0 14976.0 
58.041 58704.0 7680.0 12672.0 10496.0 1792.0 12416.0 640.0 10496.0 7168.0 4480.0 15616.0 
59.041 59984.0 8576.0 13440.0 11520.0 2816.0 13184.0 1664.0 11392.0 7936.0 5376.0 16896.0 
60.041 60880.0 9728.0 14720.0 12672.0 3968.0 14464.0 2560.0 12416.0 9216.0 6400.0 17792.0 
61.042 61648.0 10496.0 15488.0 13696.0 4864.0 15488.0 3712.0 13184.0 10112.0 7424.0 18944.0 
62.042 62928.0 11648.0 16640.0 14592.0 5760.0 16384.0 4608.0 14464.0 11136.0 8192.0 19968.0 
63.043 63824.0 12672.0 17536.0 15744.0 6912.0 17280.0 5504.0 15488.0 12160.0 9472.0 20864.0 
64.043 64976.0 13440.0 18688.0 16640.0 7808.0 18176.0 6656.0 16384.0 12800.0 10368.0 21888.0 
65.044 66000.0 14720.0 19712.0 17664.0 8960.0 19456.0 7680.0 17408.0 14208.0 11392.0 22656.0 
66.045 66768.0 15488.0 20608.0 18688.0 9856.0 20352.0 8576.0 18176.0 15232.0 12416.0 23936.0 
67.045 67920.0 16640.0 21632.0 19712.0 10880.0 21376.0 9728.0 19456.0 16128.0 13312.0 24960.0 
68.045 68688.0 17664.0 22656.0 20480.0 11904.0 22400.0 10624.0 20480.0 17152.0 14464.0 25728.0 
69.046 69968.0 18688.0 23424.0 21632.0 12928.0 23296.0 11648.0 21376.0 17920.0 15360.0 26880.0 
70.047 70992.0 19712.0 24704.0 22656.0 13952.0 24448.0 12544.0 22400.0 19200.0 16384.0 27648.0 
71.047 71760.0 20608.0 25472.0 23552.0 14976.0 25344.0 13696.0 22912.0 20096.0 17408.0 28928.0 
72.048 72912.0 21632.0 26624.0 24704.0 16000.0 26496.0 14720.0 24448.0 21248.0 18432.0 29824.0 
73.049 73936.0 22656.0 27648.0 25472.0 16896.0 27392.0 15488.0 25344.0 22144.0 19456.0 30848.0 
74.049 74960.0 23552.0 28544.0 26624.0 17920.0 28160.0 16640.0 26496.0 23040.0 20480.0 32000.0 
75.05 75856.0 24704.0 29696.0 27520.0 18944.0 29440.0 17664.0 27392.0 24192.0 21376.0 32768.0 
76.05 76624.0 25600.0 30592.0 28672.0 19968.0 30464.0 18688.0 28160.0 25088.0 22400.0 33920.0 
77.051 77904.0 26624.0 31744.0 29696.0 20864.0 31488.0 19712.0 29440.0 26240.0 23168.0 34944.0 
78.052 78928.0 27648.0 32640.0 30592.0 21888.0 32384.0 20736.0 30336.0 27136.0 24448.0 35712.0 
79.052 79952.0 28672.0 33664.0 31744.0 22912.0 33152.0 21632.0 31488.0 28160.0 25472.0 36992.0 
