time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 0.005 0.005 0.005 0.005 0.005 0.005 0.005 0.005 0.005 0.005 
1.003 0.005 0.015 0.015 0.005 0.01 0.015 0.005 0.005 0.005 0.005 
2.003 0.04 0.035 0.025 0.025 0.025 0.025 0.02 0.02 0.03 0.03 
3.004 0.06 0.07 0.06 0.06 0.06 0.05 0.055 0.055 0.055 0.055 
4.005 0.065 0.085 0.07 0.06 0.07 0.06 0.065 0.07 0.065 0.06 
5.006 0.085 0.1 0.09 0.095 0.085 0.095 0.08 0.08 0.085 0.08 
6.006 0.115 0.125 0.125 0.11 0.115 0.11 0.12 0.115 0.11 0.115 
7.008 0.15 0.15 0.14 0.15 0.145 0.155 0.15 0.13 0.145 0.145 
8.008 0.17 0.185 0.175 0.17 0.175 0.17 0.17 0.17 0.165 0.165 
9.009 0.2 0.2 0.195 0.19 0.19 0.195 0.195 0.2 0.195 0.2 
10.01 0.215 0.235 0.225 0.215 0.215 0.22 0.225 0.215 0.22 0.22 
11.01 0.24 0.245 0.24 0.245 0.235 0.25 0.25 0.25 0.245 0.24 
12.01 0.265 0.275 0.27 0.27 0.26 0.265 0.27 0.28 0.28 0.265 
13.011 0.3 0.29 0.29 0.3 0.295 0.295 0.29 0.295 0.29 0.29 
14.012 0.325 0.315 0.315 0.305 0.305 0.31 0.32 0.31 0.33 0.315 
15.012 0.345 0.335 0.335 0.34 0.335 0.335 0.34 0.33 0.34 0.335 
16.013 0.375 0.365 0.37 0.36 0.355 0.375 0.375 0.36 0.365 0.365 
17.014 0.385 0.39 0.39 0.38 0.39 0.385 0.405 0.385 0.39 0.39 
18.016 0.415 0.405 0.4 0.41 0.41 0.405 0.415 0.41 0.415 0.405 
19.016 0.44 0.44 0.445 0.44 0.435 0.435 0.45 0.435 0.45 0.435 
20.017 0.455 0.46 0.465 0.46 0.46 0.455 0.465 0.46 0.465 0.455 
21.018 0.49 0.48 0.49 0.48 0.485 0.49 0.49 0.49 0.49 0.49 
22.019 0.52 0.515 0.505 0.51 0.515 0.52 0.515 0.515 0.515 0.505 
23.019 0.54 0.535 0.535 0.54 0.53 0.535 0.54 0.535 0.54 0.53 
24.021 0.565 0.57 0.56 0.58 0.565 0.565 0.565 0.57 0.565 0.56 
25.021 0.59 0.58 0.58 0.595 0.575 0.575 0.585 0.59 0.585 0.585 
26.022 0.62 0.61 0.615 0.635 0.615 0.61 0.615 0.615 0.615 0.615 
27.023 0.64 0.64 0.64 0.645 0.635 0.635 0.64 0.645 0.655 0.65 
28.023 0.65 0.66 0.665 0.665 0.655 0.655 0.655 0.655 0.66 0.665 
29.024 0.69 0.695 0.695 0.69 0.68 0.69 0.685 0.69 0.695 0.69 
30.025 0.7 0.715 0.72 0.71 0.72 0.715 0.71 0.72 0.72 0.72 
31.025 0.745 0.74 0.755 0.74 0.74 0.74 0.75 0.745 0.74 0.755 
32.025 0.76 0.76 0.765 0.76 0.765 0.765 0.765 0.755 0.76 0.765 
33.026 0.79 0.785 0.79 0.79 0.79 0.785 0.79 0.795 0.79 0.795 
34.027 0.81 0.805 0.825 0.81 0.815 0.81 0.81 0.815 0.82 0.815 
35.027 0.835 0.83 0.845 0.825 0.835 0.835 0.83 0.825 0.83 0.83 
36.028 0.865 0.865 0.87 0.865 0.865 0.87 0.86 0.86 0.865 0.855 
37.029 0.895 0.89 0.9 0.895 0.895 0.9 0.89 0.885 0.89 0.89 
38.03 0.915 0.905 0.905 0.9 0.905 0.91 0.905 0.905 0.91 0.91 
39.031 0.945 0.955 0.955 0.945 0.94 0.955 0.945 0.935 0.95 0.945 
40.033 0.96 0.97 0.965 0.96 0.96 0.965 0.955 0.96 0.965 0.96 
41.034 0.985 1.0 0.995 0.995 0.99 1.0 0.99 0.99 0.995 1.0 
42.034 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
43.035 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
44.035 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
