Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 0.0075 0.0 0.015 0.004249182927993987 0.0026336708644441927
2 0.0315 0.02 0.045 0.007472170590486631 0.004631299313727555
3 0.063 0.05 0.075 0.008232726023485645 0.00510269645492568
4 0.0905 0.08 0.11 0.008959786703810408 0.005553333333333334
5 0.124 0.11 0.135 0.00737864787372622 0.004573333333333334
6 0.145 0.125 0.165 0.010801234497346433 0.006694674500426937
7 0.1805 0.17 0.19 0.007619419633774971 0.004722565216301645
8 0.20800000000000002 0.195 0.23 0.012292725943057182 0.007619110475931191
9 0.2395 0.22 0.265 0.01423024947075771 0.00882
10 0.2695 0.255 0.29 0.009846036991827949 0.006102636952808002
11 0.2955 0.28 0.315 0.009846036991827952 0.006102636952808004
12 0.33399999999999996 0.315 0.35 0.010219806477837254 0.006334301680357332
13 0.3555 0.34 0.375 0.010658851303546322 0.006606424482611183
14 0.3885 0.365 0.405 0.012703892666773015 0.007873954251553388
15 0.417 0.4 0.445 0.013581032524975575 0.008417611168127082
16 0.449 0.42 0.47 0.016633299933166205 0.010309426107532209
17 0.48250000000000004 0.465 0.5 0.011118053386771935 0.006891040882511462
18 0.5065000000000001 0.49 0.52 0.012703892666773015 0.007873954251553388
19 0.539 0.515 0.56 0.01791957340762083 0.011106666666666676
20 0.5725 0.555 0.595 0.014191155304938639 0.008795769184986339
21 0.595 0.57 0.625 0.019436506316151018 0.012046871424196047
22 0.623 0.6 0.645 0.0178263226094946 0.011048869223188014
23 0.645 0.615 0.67 0.018408935028645452 0.011409976141761024
24 0.669 0.64 0.7 0.020520991962161846 0.012719042591502099
25 0.698 0.67 0.72 0.016193277068654793 0.010036697110548293
26 0.719 0.69 0.745 0.020385179801894228 0.012634865342464973
27 0.7464999999999999 0.725 0.765 0.01528434202414718 0.00947333333333334
28 0.7675 0.735 0.79 0.02031009601158992 0.012588327927091837
29 0.795 0.755 0.835 0.02449489742783176 0.015182094717133061
30 0.8215 0.795 0.85 0.018566696588844793 0.011507757769821554
31 0.843 0.8 0.88 0.024060109910158115 0.014912610621737411
32 0.8714999999999999 0.845 0.895 0.01732852497409339 0.010740331052212093
33 0.892 0.855 0.92 0.021239376429432008 0.013164301897345135
34 0.9205 0.89 0.955 0.022292250771163584 0.013816880175270298
35 0.9475 0.925 0.975 0.018295415333416762 0.011339615905703706
36 0.977 0.945 1.0 0.017669811040931446 0.01095186234797028
37 1.0 1.0 1.0 0.0 0.0
38 1.0 1.0 1.0 0.0 0.0
39 1.0 1.0 1.0 0.0 0.0
