time Optional[local:s-0] 
0.0 0.0 
1.004 1984.0 
2.007 3912.0 
3.008 5968.0 
4.01 7912.0 
5.01 9952.0 
6.011 11968.0 
7.012 13912.0 
8.012 15912.0 
9.013 17928.0 
10.014 19968.0 
11.014 21896.0 
12.016 23912.0 
13.016 25968.0 
14.017 27912.0 
15.017 29968.0 
16.019 31952.0 
17.02 33968.0 
18.021 35968.0 
19.022 37968.0 
20.023 40000.0 
21.024 40000.0 
22.024 40000.0 
23.024 40000.0 
24.025 40000.0 
25.026 40000.0 
26.027 40000.0 
27.027 40000.0 
28.028 40000.0 
29.029 40000.0 
30.03 40000.0 
31.031 40000.0 
32.032 40000.0 
33.033 40000.0 
34.033 40000.0 
35.034 40000.0 
36.034 40000.0 
37.035 40000.0 
38.035 40000.0 
39.035 40000.0 
40.036 40000.0 
