Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 508.0 256.0 1128.0 250.67375876492005 155.36920535721785
2 1693.6 1296.0 1912.0 177.0493967481643 109.73635300826957
3 2834.4 2440.0 3240.0 318.3747617021313 197.33072171244788
4 4070.4 3184.0 4712.0 497.657445773027 308.451280544162
5 5328.8 4440.0 6424.0 494.94439642807913 306.7697151386072
6 6538.4 5712.0 7056.0 426.7508250333755 264.50290169044774
7 7683.2 7040.0 8512.0 462.6985579786861 286.78353740447204
8 8885.6 7912.0 9640.0 505.4026337705634 313.251797799931
9 10107.2 9168.0 11168.0 580.6258692135582 359.8756421654569
10 11355.2 10096.0 12368.0 612.0473474785717 379.3508761637729
11 12537.6 11552.0 13584.0 627.2598610889536 388.77968978501605
12 13717.6 12368.0 14712.0 662.4726744888761 410.60481764560154
13 14909.6 13640.0 15896.0 651.0386914598685 403.517961542124
14 16131.2 14912.0 17056.0 586.4508694018812 363.48601468679493
15 17331.2 15768.0 18040.0 770.3778005339689 477.4851076695714
16 18556.8 16968.0 19768.0 748.4569014534727 463.89839365677193
17 19729.6 17968.0 20840.0 835.4781997288871 517.8347531258296
18 20854.4 19112.0 21712.0 797.8709447300637 494.5255349865947
19 22122.4 20824.0 23168.0 655.480010713099 406.2707197347327
20 23314.4 21256.0 24312.0 839.3186654794604 520.2150984591748
21 24323.2 22840.0 25312.0 680.9687217486571 422.06878650760234
22 25299.2 23712.0 26912.0 885.7926519351028 549.0199736921132
23 26280.0 24568.0 28040.0 1034.9346731933267 641.4591561674922
24 27321.6 25456.0 29112.0 972.0049382590605 602.4549023586744
25 28321.6 26368.0 29840.0 1010.4365613161691 626.2750691140258
26 29318.4 27440.0 31040.0 982.932031107837 609.2275846735037
27 30271.2 28040.0 31968.0 1038.2717263692475 643.5274831544579
28 31301.6 29440.0 32784.0 942.5982059063012 584.2284208142489
29 32325.6 30624.0 34096.0 956.2374414571124 592.6821065915334
30 33308.8 30912.0 34896.0 1179.729234471481 731.2037550304748
31 34300.0 32184.0 36240.0 1149.9441532333453 712.742770417366
32 35250.4 33112.0 37096.0 1092.2143867696793 676.9614904576674
33 36296.0 33984.0 37984.0 1080.490423629731 669.6949028193525
34 37274.4 35240.0 38912.0 1044.2242415624464 647.2168902946419
35 38276.0 36240.0 39312.0 900.8933837524221 558.3795042402214
36 39298.4 37912.0 40000.0 629.4242872127936 390.1212149952029
37 40000.0 40000.0 40000.0 0.0 0.0
38 40000.0 40000.0 40000.0 0.0 0.0
39 40000.0 40000.0 40000.0 0.0 0.0
