Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0 0
1 1984.0 1984.0 1984.0 0 0
2 3928.0 3928.0 3928.0 0 0
3 5968.0 5968.0 5968.0 0 0
4 7912.0 7912.0 7912.0 0 0
5 9968.0 9968.0 9968.0 0 0
6 11968.0 11968.0 11968.0 0 0
7 13984.0 13984.0 13984.0 0 0
8 15984.0 15984.0 15984.0 0 0
9 17984.0 17984.0 17984.0 0 0
10 19896.0 19896.0 19896.0 0 0
11 21968.0 21968.0 21968.0 0 0
12 23912.0 23912.0 23912.0 0 0
13 25968.0 25968.0 25968.0 0 0
14 27984.0 27984.0 27984.0 0 0
15 29984.0 29984.0 29984.0 0 0
16 31968.0 31968.0 31968.0 0 0
17 33968.0 33968.0 33968.0 0 0
18 35984.0 35984.0 35984.0 0 0
19 37912.0 37912.0 37912.0 0 0
20 40000.0 40000.0 40000.0 0 0
21 40000.0 40000.0 40000.0 0 0
22 40000.0 40000.0 40000.0 0 0
23 40000.0 40000.0 40000.0 0 0
24 40000.0 40000.0 40000.0 0 0
25 40000.0 40000.0 40000.0 0 0
26 40000.0 40000.0 40000.0 0 0
27 40000.0 40000.0 40000.0 0 0
28 40000.0 40000.0 40000.0 0 0
29 40000.0 40000.0 40000.0 0 0
30 40000.0 40000.0 40000.0 0 0
31 40000.0 40000.0 40000.0 0 0
32 40000.0 40000.0 40000.0 0 0
33 40000.0 40000.0 40000.0 0 0
34 40000.0 40000.0 40000.0 0 0
35 40000.0 40000.0 40000.0 0 0
36 40000.0 40000.0 40000.0 0 0
37 40000.0 40000.0 40000.0 0 0
38 40000.0 40000.0 40000.0 0 0
39 40000.0 40000.0 40000.0 0 0
