time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.006 200.0 856.0 1000.0 328.0 1000.0 800.0 0.0 856.0 0.0 456.0 
2.009 912.0 1856.0 1528.0 1456.0 1600.0 1728.0 1168.0 1912.0 1096.0 1440.0 
3.011 2240.0 2912.0 2712.0 2440.0 2184.0 2840.0 2056.0 2856.0 2184.0 2384.0 
4.011 3056.0 3984.0 3728.0 3384.0 3240.0 3856.0 3224.0 3984.0 3168.0 3312.0 
5.013 4240.0 4912.0 4712.0 4384.0 4224.0 4840.0 4112.0 4984.0 4112.0 4456.0 
6.014 5240.0 5984.0 5624.0 5440.0 5240.0 5840.0 5096.0 5840.0 5240.0 5368.0 
7.014 6184.0 6784.0 6512.0 6440.0 6312.0 6856.0 5968.0 6784.0 6184.0 6440.0 
8.016 7168.0 7984.0 7696.0 7296.0 7240.0 7840.0 7128.0 7968.0 7112.0 7440.0 
9.016 8240.0 8984.0 8712.0 8440.0 8312.0 8856.0 8240.0 8984.0 8224.0 8496.0 
10.017 9240.0 9968.0 9712.0 9384.0 9312.0 9840.0 9184.0 9984.0 9128.0 9440.0 
11.017 10184.0 10968.0 10640.0 10440.0 10312.0 10784.0 10168.0 10968.0 10184.0 10496.0 
12.019 11184.0 11840.0 11512.0 11312.0 11184.0 11840.0 11184.0 11912.0 11184.0 11456.0 
13.02 12168.0 12912.0 12640.0 12496.0 12256.0 12840.0 11968.0 12968.0 12184.0 12440.0 
14.021 13184.0 13968.0 13712.0 13440.0 13256.0 13840.0 13184.0 13912.0 13224.0 13440.0 
15.022 14184.0 14912.0 14656.0 14440.0 14312.0 14840.0 13912.0 14984.0 14184.0 14384.0 
16.023 15224.0 15912.0 15696.0 15440.0 15312.0 15840.0 15168.0 15968.0 15112.0 15440.0 
17.023 16184.0 16912.0 16696.0 16456.0 16240.0 16840.0 16112.0 16912.0 16224.0 16456.0 
18.024 17224.0 17952.0 17696.0 17496.0 17184.0 17840.0 17240.0 17896.0 17184.0 17440.0 
19.025 18112.0 18984.0 18656.0 18440.0 18184.0 18840.0 18240.0 18896.0 18240.0 18496.0 
20.026 19112.0 19968.0 19640.0 19496.0 19184.0 19712.0 19112.0 19840.0 19184.0 19440.0 
21.027 20224.0 20984.0 20696.0 20440.0 20240.0 20840.0 20096.0 20896.0 20184.0 20496.0 
22.027 21184.0 21784.0 21640.0 21368.0 21112.0 21856.0 21240.0 21856.0 21240.0 21384.0 
23.03 22240.0 22968.0 22384.0 22312.0 22168.0 22840.0 22240.0 22840.0 22056.0 22240.0 
24.03 23240.0 23984.0 23640.0 23440.0 23328.0 23840.0 23168.0 23912.0 23224.0 23224.0 
25.031 24112.0 24912.0 24712.0 24296.0 24328.0 24784.0 24168.0 24728.0 24112.0 24240.0 
26.031 25224.0 25952.0 25696.0 25440.0 25256.0 25840.0 25096.0 25840.0 25240.0 25184.0 
27.032 26184.0 26928.0 26712.0 26440.0 26240.0 26784.0 26040.0 26984.0 26240.0 26240.0 
28.032 27240.0 27896.0 27712.0 27424.0 27184.0 27896.0 27112.0 27984.0 27184.0 27168.0 
29.032 28184.0 28968.0 28712.0 28440.0 28256.0 28784.0 28168.0 28984.0 28224.0 28168.0 
30.033 29184.0 29984.0 29712.0 29496.0 29296.0 29712.0 29240.0 29840.0 29040.0 29240.0 
31.034 30224.0 30968.0 30696.0 30440.0 30312.0 30840.0 30224.0 30912.0 30240.0 30240.0 
32.035 31240.0 31928.0 31712.0 31440.0 31184.0 31640.0 31112.0 31784.0 31224.0 31240.0 
33.036 32224.0 32712.0 32640.0 32424.0 32312.0 32784.0 32168.0 32968.0 32184.0 32184.0 
34.037 33056.0 33984.0 33656.0 33384.0 33328.0 33840.0 33168.0 33984.0 33240.0 33040.0 
35.038 34240.0 34912.0 34712.0 34312.0 34256.0 34784.0 34184.0 34856.0 34184.0 34168.0 
36.038 35184.0 35928.0 35656.0 35400.0 35328.0 35856.0 35200.0 35968.0 35000.0 35184.0 
37.039 36000.0 36600.0 36200.0 35800.0 35800.0 36400.0 35600.0 36800.0 35000.0 35800.0 
38.04 36000.0 36600.0 36200.0 35800.0 35800.0 36400.0 35600.0 36800.0 35000.0 35800.0 
39.04 36000.0 36600.0 36200.0 35800.0 35800.0 36400.0 35600.0 36800.0 35000.0 35800.0 
