time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 19.0 24.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 
1.069 179.0 179.0 127.0 306.0 179.0 306.0 119.0 59.0 246.0 119.0 
2.302 421.0 268.0 454.0 579.0 463.0 342.0 463.0 417.0 115.0 419.0 
3.807 926.0 1098.0 1122.0 513.0 981.0 925.0 917.0 933.0 1495.0 918.0 
4.808 719.0 663.0 791.0 999.0 719.0 855.0 399.0 1101.0 670.0 862.0 
5.846 1032.0 1217.0 1025.0 1017.0 955.0 1140.0 1664.0 840.0 1350.0 1172.0 
6.847 1006.0 623.0 615.0 615.0 895.0 751.0 663.0 679.0 735.0 599.0 
7.849 782.0 1117.0 1485.0 1301.0 846.0 1245.0 910.0 1181.0 982.0 1245.0 
8.849 768.0 808.0 840.0 632.0 1080.0 632.0 896.0 1160.0 952.0 1416.0 
9.851 1556.0 1245.0 846.0 1173.0 790.0 1037.0 974.0 774.0 1037.0 782.0 
10.859 880.0 944.0 1071.0 809.0 1174.0 1079.0 1198.0 1063.0 944.0 1182.0 
11.861 1005.0 1125.0 1181.0 1045.0 1013.0 926.0 1013.0 1141.0 1397.0 1085.0 
12.862 1126.0 799.0 751.0 1270.0 807.0 863.0 855.0 991.0 799.0 927.0 
13.862 1064.0 1008.0 1112.0 944.0 1048.0 1128.0 1248.0 1128.0 928.0 680.0 
14.864 990.0 1181.0 1005.0 1053.0 1069.0 1325.0 814.0 806.0 934.0 1309.0 
15.866 1133.0 878.0 1061.0 886.0 1005.0 806.0 1061.0 1269.0 670.0 614.0 
16.868 479.0 662.0 670.0 870.0 1125.0 542.0 750.0 526.0 798.0 654.0 
17.869 1246.0 1390.0 927.0 975.0 727.0 1174.0 983.0 999.0 1110.0 1070.0 
18.871 878.0 862.0 1141.0 926.0 1061.0 1021.0 1149.0 1061.0 1005.0 1189.0 
19.873 1181.0 1293.0 934.0 878.0 1277.0 1045.0 1245.0 934.0 1013.0 878.0 
20.873 880.0 1056.0 1056.0 1008.0 816.0 872.0 880.0 872.0 992.0 912.0 
21.875 862.0 798.0 614.0 1253.0 1045.0 998.0 1261.0 790.0 942.0 1093.0 
22.876 863.0 1126.0 1382.0 743.0 1062.0 743.0 791.0 1254.0 847.0 1238.0 
23.877 1062.0 1206.0 951.0 1254.0 1206.0 999.0 799.0 1134.0 1390.0 623.0 
24.878 1134.0 999.0 855.0 535.0 791.0 1190.0 1006.0 1070.0 1278.0 1110.0 
25.878 944.0 984.0 1272.0 1536.0 928.0 1064.0 728.0 880.0 1072.0 936.0 
26.879 919.0 543.0 663.0 999.0 871.0 935.0 1190.0 1390.0 663.0 999.0 
27.879 1072.0 1256.0 1128.0 1064.0 992.0 800.0 1000.0 664.0 920.0 1064.0 
28.88 919.0 799.0 727.0 1070.0 1326.0 871.0 1190.0 1190.0 807.0 863.0 
29.88 744.0 1264.0 1136.0 856.0 872.0 1464.0 880.0 928.0 1264.0 816.0 
30.881 1062.0 1006.0 1318.0 1070.0 943.0 1318.0 919.0 871.0 863.0 1118.0 
31.882 999.0 671.0 815.0 791.0 1190.0 815.0 1150.0 1022.0 1190.0 1118.0 
32.883 1254.0 1206.0 919.0 1006.0 1126.0 727.0 1070.0 1310.0 1022.0 1126.0 
33.884 623.0 919.0 1030.0 1134.0 1198.0 1134.0 727.0 743.0 927.0 831.0 
34.885 1510.0 1006.0 903.0 935.0 871.0 855.0 1182.0 847.0 1198.0 1126.0 
35.885 624.0 864.0 1016.0 864.0 672.0 1272.0 944.0 1000.0 792.0 992.0 
36.887 1389.0 1061.0 918.0 1061.0 1341.0 606.0 1125.0 894.0 894.0 870.0 
37.887 728.0 1248.0 1152.0 736.0 656.0 1176.0 800.0 1112.0 1320.0 992.0 
38.888 1142.0 751.0 1246.0 1046.0 807.0 951.0 1006.0 623.0 1062.0 943.0 
39.888 1184.0 1176.0 872.0 944.0 1184.0 1008.0 992.0 1248.0 800.0 1256.0 
40.889 1070.0 943.0 1390.0 1214.0 1006.0 719.0 1062.0 991.0 1054.0 1014.0 
41.89 935.0 743.0 695.0 975.0 927.0 1326.0 1062.0 1206.0 615.0 1054.0 
42.89 224.0 616.0 272.0 368.0 416.0 552.0 288.0 344.0 536.0 224.0 
43.891 0.0 7.0 0.0 135.0 15.0 15.0 79.0 79.0 79.0 71.0 
44.891 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
45.892 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
