Time Mean Min Max StDev ConfidenceInterval
0 29.1 19.0 31.0 4.175324338699131 2.587892836524212
1 181.9 59.0 306.0 82.30492087354195 51.01311846966425
2 394.1 115.0 579.0 127.21412395380213 78.84813091845191
4 982.8 513.0 1495.0 243.4218103986941 150.8744011922205
5 777.8 399.0 1101.0 194.88332691923935 120.7899374469763
6 1141.2 840.0 1664.0 233.29942610778585 144.6004824089079
7 718.1 599.0 1006.0 135.23678822306042 83.82062974921838
8 1109.4 782.0 1485.0 224.17909507058562 138.9476426668213
9 918.4 632.0 1416.0 244.65994541176715 151.64180522387468
10 1021.4 774.0 1556.0 250.40864379827005 155.20488539848077
11 1034.4 809.0 1198.0 134.6495038568241 83.45662712784143
12 1093.1 926.0 1397.0 130.93208587321564 81.15254759059904
13 918.8 751.0 1270.0 166.03132234611638 102.90727974249442
14 1028.8 680.0 1248.0 154.8137231930325 95.95453975480032
15 1048.6 806.0 1325.0 180.9021835136326 112.1243349857648
16 938.3 614.0 1269.0 206.25229965047933 127.83649975044077
17 707.6 479.0 1125.0 191.3671282581671 118.61057493795023
18 1060.1 727.0 1390.0 183.95195628810862 114.01460373517459
19 1029.3 862.0 1189.0 113.78835128820916 70.52675080815474
20 1067.8 878.0 1293.0 166.6898650521714 103.31544874046884
21 934.4 816.0 1056.0 85.98087642674452 53.29149932629446
22 965.6 614.0 1261.0 207.44005827654834 128.57268017394327
23 1004.9 743.0 1382.0 236.76544886823706 146.74874557252988
24 1062.4 623.0 1390.0 228.34729884298804 141.53112213063088
25 996.8 535.0 1278.0 218.37928269666773 135.3528817145924
26 1034.4 728.0 1536.0 226.0241874962353 140.09124280030258
27 917.2 543.0 1390.0 254.52736155034054 157.75769310911943
28 996.0 664.0 1256.0 168.1586552435923 104.22581433279056
29 976.2 727.0 1326.0 203.26818628490676 125.98692712429421
30 1022.4 744.0 1464.0 241.35322201656595 149.5922768297585
31 1048.8 863.0 1318.0 165.44807846169343 102.54578143769086
32 976.1 671.0 1190.0 189.66898065372268 117.55805214824245
33 1076.6 727.0 1310.0 170.82752835665696 105.87999902615118
34 926.6 623.0 1198.0 195.87365542330824 121.40374941308671
35 1043.3 847.0 1510.0 211.9486573048608 131.3671388031776
36 904.0 624.0 1272.0 186.93314312876677 115.86236248238684
37 1015.9 606.0 1389.0 233.20779956463244 144.5436916890914
38 992.0 656.0 1320.0 243.12045482755158 150.68761907410382
39 957.7 623.0 1246.0 187.3238728334788 116.10453926239634
40 1066.4 800.0 1256.0 163.73637347883334 101.48485569778379
41 1046.3 719.0 1390.0 173.41091212621092 107.48119687544317
42 953.8 615.0 1326.0 224.00535707879843 138.83995874387168
43 384.0 224.0 616.0 141.81051520328887 87.89506794404842
44 48.0 0.0 135.0 46.485362092694174 28.8119259258307
45 0.0 0.0 0.0 0.0 0.0
46 0.0 0.0 0.0 0.0 0.0
