time Optional[local:s-0] Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 255.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.031 962.0 387.0 776.0 0.0 0.0 194.0 309.0 0.0 193.0 363.0 315.0 
2.365 569.0 149.0 149.0 341.0 299.0 299.0 679.0 343.0 150.0 346.0 649.0 
3.522 1023.0 1037.0 1120.0 919.0 1120.0 1037.0 1002.0 1092.0 1050.0 1175.0 670.0 
4.568 504.0 0.0 290.0 76.0 99.0 0.0 489.0 267.0 489.0 435.0 298.0 
5.572 988.0 844.0 900.0 645.0 653.0 844.0 900.0 1035.0 972.0 940.0 709.0 
6.573 1078.0 751.0 1094.0 1094.0 1038.0 951.0 711.0 1150.0 983.0 711.0 1086.0 
7.576 925.0 709.0 965.0 965.0 701.0 199.0 1028.0 1036.0 1020.0 1028.0 893.0 
8.576 952.0 992.0 992.0 1016.0 968.0 1024.0 504.0 752.0 880.0 712.0 1096.0 
9.577 1110.0 295.0 1038.0 959.0 999.0 775.0 959.0 903.0 807.0 1022.0 903.0 
10.578 927.0 991.0 903.0 999.0 1054.0 847.0 391.0 311.0 0.0 1014.0 815.0 
11.579 999.0 607.0 1038.0 1053.0 1013.0 750.0 710.0 710.0 966.0 958.0 982.0 
12.58 935.0 711.0 967.0 656.0 960.0 968.0 1032.0 1032.0 632.0 1040.0 992.0 
13.581 1086.0 927.0 1038.0 1030.0 967.0 1054.0 711.0 655.0 391.0 695.0 999.0 
14.581 1048.0 1104.0 1024.0 768.0 1032.0 952.0 1040.0 1024.0 1088.0 1096.0 1016.0 
15.583 950.0 910.0 974.0 590.0 958.0 878.0 950.0 966.0 966.0 510.0 974.0 
16.584 1046.0 1038.0 959.0 1006.0 1078.0 999.0 1046.0 1030.0 1006.0 911.0 967.0 
17.585 951.0 967.0 1046.0 967.0 991.0 343.0 999.0 1022.0 727.0 1006.0 1038.0 
18.586 975.0 983.0 943.0 1030.0 999.0 1230.0 943.0 999.0 1070.0 1078.0 1014.0 
19.586 1064.0 352.0 1096.0 968.0 968.0 568.0 992.0 864.0 864.0 656.0 928.0 
20.586 808.0 576.0 912.0 944.0 992.0 712.0 968.0 1000.0 1072.0 1040.0 1064.0 
21.586 936.0 1128.0 832.0 888.0 1056.0 976.0 1040.0 800.0 920.0 504.0 1008.0 
22.587 927.0 295.0 903.0 0.0 671.0 311.0 1030.0 687.0 799.0 967.0 999.0 
23.589 998.0 974.0 1037.0 1221.0 1077.0 958.0 526.0 598.0 287.0 630.0 1021.0 
24.59 1062.0 1022.0 711.0 967.0 959.0 839.0 1158.0 967.0 1038.0 967.0 919.0 
25.591 999.0 967.0 903.0 1022.0 1030.0 1190.0 839.0 831.0 983.0 831.0 1062.0 
26.591 1024.0 1032.0 1072.0 976.0 896.0 1008.0 968.0 712.0 976.0 1000.0 808.0 
27.592 911.0 959.0 999.0 1038.0 711.0 991.0 991.0 975.0 959.0 959.0 991.0 
28.592 1016.0 1088.0 872.0 1008.0 912.0 984.0 1040.0 512.0 1088.0 840.0 752.0 
29.594 1037.0 966.0 1101.0 558.0 1085.0 918.0 702.0 0.0 942.0 966.0 934.0 
30.595 959.0 1014.0 959.0 711.0 967.0 1022.0 1038.0 1214.0 975.0 1054.0 967.0 
31.595 1048.0 992.0 1048.0 1032.0 1016.0 1056.0 648.0 584.0 816.0 1016.0 632.0 
32.596 951.0 575.0 687.0 967.0 975.0 623.0 1094.0 967.0 1070.0 999.0 919.0 
33.596 976.0 968.0 1048.0 1032.0 944.0 1232.0 312.0 432.0 992.0 1008.0 1024.0 
34.597 1062.0 1022.0 503.0 255.0 1062.0 967.0 903.0 967.0 551.0 799.0 1030.0 
35.598 991.0 999.0 911.0 1166.0 887.0 455.0 1022.0 959.0 959.0 951.0 983.0 
36.598 960.0 1032.0 1048.0 952.0 544.0 1024.0 976.0 1024.0 840.0 1040.0 1008.0 
37.599 1086.0 1006.0 1038.0 1030.0 799.0 767.0 983.0 1030.0 655.0 823.0 1014.0 
38.599 992.0 1008.0 896.0 1024.0 712.0 1032.0 1016.0 968.0 1024.0 1032.0 968.0 
39.599 992.0 760.0 1080.0 976.0 1008.0 1040.0 944.0 648.0 504.0 896.0 952.0 
40.601 766.0 654.0 910.0 886.0 982.0 998.0 1037.0 974.0 1109.0 966.0 1053.0 
41.602 0.0 1030.0 1094.0 1158.0 999.0 1006.0 511.0 623.0 943.0 839.0 1006.0 
42.602 0.0 112.0 976.0 0.0 496.0 72.0 0.0 0.0 1008.0 400.0 1000.0 
43.603 0.0 0.0 439.0 0.0 0.0 0.0 0.0 0.0 151.0 0.0 431.0 
44.604 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
45.606 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
