Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 0.007000000000000001 0.005 0.015 0.003496029493900505 0.0021668615296988607
2 0.0165 0.01 0.025 0.005797509043642029 0.0035933333333333334
4 0.0395 0.025 0.05 0.007619419633774973 0.0047225652163016465
5 0.056499999999999995 0.045 0.065 0.006258327785172861 0.003878951748432385
6 0.075 0.07 0.085 0.004714045207910317 0.002921795490599725
7 0.1015 0.095 0.11 0.004743416490252567 0.002939999999999999
8 0.11950000000000001 0.11 0.13 0.006851601597031488 0.004246666666666666
9 0.1495 0.14 0.16 0.005986094998689324 0.003710220119256179
10 0.165 0.16 0.17 0.0033333333333333366 0.002066021404643343
11 0.1935 0.18 0.205 0.007472170590486634 0.004631299313727557
12 0.2145 0.205 0.225 0.005502524673073064 0.0034105001262441158
13 0.23900000000000002 0.225 0.245 0.005676462121975465 0.0035183076739945408
14 0.265 0.26 0.275 0.0052704627669473035 0.0032666666666666695
15 0.2885 0.28 0.295 0.005296749527356886 0.0032829593695661483
16 0.3195 0.315 0.325 0.004377975178854569 0.0027134971285532397
17 0.34550000000000003 0.34 0.35 0.003689323936863094 0.0022866666666666573
18 0.371 0.365 0.38 0.004594682917363411 0.0028478139764465758
19 0.4 0.39 0.405 0.004714045207910321 0.0029217954905997275
20 0.42400000000000004 0.415 0.435 0.006582805886043839 0.004080065358953623
21 0.4485 0.44 0.455 0.005797509043642035 0.0035933333333333364
22 0.4715 0.46 0.485 0.006687467549246282 0.004144935329880169
23 0.49450000000000005 0.485 0.505 0.005986094998689329 0.0037102201192561815
24 0.519 0.51 0.525 0.004594682917363411 0.0028478139764465758
25 0.543 0.535 0.555 0.006749485577105536 0.004183374501789465
26 0.57 0.56 0.58 0.00527046276694728 0.0032666666666666547
27 0.6005 0.59 0.61 0.007245688373094726 0.004490924181056727
28 0.6165 0.61 0.635 0.007090682462060889 0.004394850522044082
29 0.6525000000000001 0.645 0.66 0.004249182927993991 0.0026336708644441953
30 0.6695 0.665 0.675 0.0036893239368631127 0.0022866666666666686
31 0.6904999999999999 0.68 0.7 0.006433419688539559 0.003987474834472988
32 0.7205 0.715 0.73 0.00497214463005877 0.00308176716980516
33 0.7474999999999999 0.74 0.75 0.0035355339059327407 0.0021913466179497958
34 0.7665 0.755 0.775 0.005797509043642035 0.0035933333333333364
35 0.7975000000000001 0.79 0.81 0.005892556509887901 0.0036522443632496593
36 0.825 0.815 0.83 0.0052704627669473035 0.0032666666666666695
37 0.842 0.83 0.85 0.005868938953886341 0.0036376060503822837
38 0.8744999999999999 0.865 0.885 0.006851601597031495 0.00424666666666667
39 0.8895 0.88 0.895 0.005502524673073064 0.0034105001262441158
40 0.9259999999999999 0.915 0.935 0.005676462121975472 0.0035183076739945455
41 0.9455 0.93 0.955 0.008959786703810374 0.005553333333333311
42 0.978 0.97 0.985 0.004216370213557843 0.0026133333333333356
43 0.992 0.985 1.0 0.004830458915396484 0.0029939494540378174
44 1.0 1.0 1.0 0.0 0.0
45 1.0 1.0 1.0 0.0 0.0
46 1.0 1.0 1.0 0.0 0.0
