time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 128.0 128.0 264.0 264.0 64.0 392.0 264.0 200.0 192.0 200.0 
1.115 392.0 584.0 392.0 520.0 520.0 464.0 720.0 392.0 600.0 528.0 
2.128 976.0 1192.0 1312.0 1048.0 1312.0 1376.0 1584.0 1320.0 1320.0 1120.0 
3.359 1848.0 2048.0 1912.0 1984.0 2184.0 2048.0 2584.0 1984.0 2376.0 2248.0 
4.714 2976.0 3056.0 2992.0 2984.0 3448.0 3256.0 3056.0 2992.0 3192.0 3184.0 
5.807 4712.0 4064.0 4120.0 3976.0 4320.0 4448.0 4320.0 4440.0 4040.0 4248.0 
6.809 5576.0 4712.0 5296.0 5048.0 5168.0 5304.0 5296.0 5040.0 5224.0 5368.0 
7.81 6192.0 6048.0 6320.0 6448.0 5912.0 5848.0 6192.0 5896.0 6048.0 5976.0 
8.811 6848.0 6904.0 7040.0 6832.0 6768.0 6384.0 6776.0 6776.0 7096.0 6704.0 
9.813 7656.0 7840.0 8040.0 7704.0 7704.0 7776.0 7840.0 7648.0 7712.0 7912.0 
10.813 9104.0 8784.0 8848.0 8632.0 8712.0 8712.0 8832.0 9168.0 8912.0 8568.0 
11.815 10112.0 10032.0 9960.0 9312.0 9520.0 9776.0 9888.0 10104.0 10232.0 10024.0 
12.815 11176.0 10992.0 11192.0 10240.0 10968.0 10632.0 10656.0 10840.0 10712.0 10656.0 
13.815 11976.0 11712.0 11648.0 11440.0 11792.0 11776.0 12048.0 12352.0 11976.0 12168.0 
14.816 12712.0 12912.0 12840.0 12512.0 13040.0 12976.0 12720.0 12720.0 12904.0 12912.0 
15.818 13776.0 13984.0 14040.0 13640.0 14184.0 13968.0 13712.0 14488.0 13704.0 13576.0 
16.818 14776.0 15032.0 14912.0 14776.0 15384.0 14904.0 14568.0 15120.0 14848.0 14792.0 
17.824 15792.0 15920.0 15776.0 15904.0 15920.0 15656.0 15648.0 16040.0 15576.0 15984.0 
18.826 16584.0 16776.0 16648.0 16784.0 16896.0 16560.0 16712.0 16904.0 16848.0 17104.0 
19.827 17776.0 17768.0 17896.0 17976.0 17840.0 17832.0 17776.0 18096.0 17768.0 18032.0 
20.828 18656.0 18792.0 18848.0 18984.0 19192.0 18576.0 18776.0 18920.0 18912.0 18848.0 
21.829 19904.0 20112.0 19704.0 19968.0 20248.0 19640.0 20160.0 19824.0 19896.0 20040.0 
22.829 20864.0 21120.0 20784.0 20984.0 20984.0 20912.0 20920.0 21104.0 20712.0 21248.0 
23.83 21768.0 21912.0 21840.0 21840.0 21784.0 21512.0 22040.0 21976.0 22048.0 22104.0 
24.83 22576.0 22704.0 23048.0 22984.0 22912.0 22776.0 22656.0 22912.0 22840.0 22848.0 
25.831 23832.0 23968.0 23976.0 23848.0 23912.0 23696.0 23784.0 23696.0 23704.0 23720.0 
26.833 24648.0 24848.0 24784.0 25200.0 24776.0 24840.0 24784.0 24848.0 25104.0 24856.0 
27.833 25640.0 25848.0 26032.0 25904.0 25776.0 25976.0 25640.0 25896.0 25848.0 26168.0 
28.834 26248.0 26712.0 26896.0 26912.0 26712.0 26776.0 27096.0 26840.0 27088.0 26992.0 
29.835 27560.0 27760.0 28032.0 27832.0 27712.0 27704.0 27768.0 27840.0 27712.0 27840.0 
30.835 28576.0 28912.0 28912.0 28720.0 28792.0 28928.0 28648.0 28848.0 28920.0 28840.0 
31.835 29440.0 30032.0 29920.0 29840.0 29776.0 29720.0 29776.0 29960.0 29976.0 29840.0 
32.836 30976.0 30984.0 30792.0 30704.0 30784.0 30848.0 30448.0 30712.0 30904.0 31040.0 
33.837 31648.0 32040.0 31904.0 31448.0 31696.0 31912.0 32040.0 32168.0 31648.0 31984.0 
34.837 33168.0 32712.0 32848.0 32560.0 32840.0 32952.0 32976.0 32968.0 32776.0 33096.0 
35.838 33464.0 33904.0 33784.0 33784.0 33984.0 33784.0 33784.0 33840.0 33720.0 33904.0 
36.838 34656.0 34520.0 35104.0 34632.0 34576.0 34896.0 34976.0 35032.0 34768.0 34960.0 
37.839 35848.0 35776.0 35904.0 35824.0 35792.0 35904.0 35768.0 35640.0 35824.0 35768.0 
38.84 37040.0 36648.0 36840.0 36576.0 36840.0 36904.0 37176.0 36704.0 37040.0 36896.0 
39.84 38040.0 37648.0 37656.0 37856.0 37848.0 37656.0 37848.0 37592.0 37584.0 37984.0 
40.841 38896.0 38680.0 38624.0 38712.0 39040.0 39024.0 39152.0 38560.0 38712.0 38704.0 
41.841 39584.0 39456.0 39520.0 39664.0 39712.0 39856.0 39792.0 39856.0 39592.0 39784.0 
42.842 39928.0 39992.0 40000.0 39992.0 40000.0 40000.0 40000.0 39992.0 39992.0 40000.0 
43.842 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 
44.843 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 
45.844 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 
