time Optional[local:s-0] Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 712.0 0.0 0.0 464.0 0.0 0.0 0.0 200.0 400.0 0.0 0.0 
1.119 1944.0 0.0 0.0 800.0 0.0 0.0 968.0 200.0 800.0 200.0 200.0 
2.127 2888.0 0.0 728.0 1520.0 712.0 800.0 1600.0 1168.0 1520.0 1224.0 400.0 
3.363 3832.0 712.0 1784.0 2528.0 1744.0 1400.0 2328.0 2200.0 2192.0 1800.0 1432.0 
4.717 4960.0 1600.0 2400.0 3584.0 2200.0 2000.0 3000.0 3200.0 3296.0 3024.0 2000.0 
5.811 6104.0 2384.0 3312.0 4400.0 3400.0 3240.0 3976.0 4448.0 4200.0 4000.0 3232.0 
6.813 6960.0 3496.0 4000.0 5360.0 4040.0 4232.0 4992.0 5424.0 5040.0 5024.0 4000.0 
7.814 7888.0 4384.0 4400.0 6448.0 4888.0 5000.0 6048.0 6424.0 5800.0 5600.0 4000.0 
8.815 8688.0 5288.0 5424.0 7160.0 5648.0 5200.0 6648.0 7160.0 6256.0 6192.0 4464.0 
9.817 9696.0 6240.0 6200.0 7600.0 6576.0 5912.0 7680.0 8000.0 7248.0 7240.0 5440.0 
10.817 10688.0 7296.0 6856.0 8824.0 7600.0 6944.0 8456.0 9200.0 8224.0 7784.0 6400.0 
11.819 11744.0 8232.0 7888.0 9792.0 8576.0 7904.0 9496.0 9800.0 9240.0 8888.0 7400.0 
12.819 12688.0 9288.0 8592.0 10784.0 9600.0 8856.0 9800.0 10768.0 10240.0 9592.0 7856.0 
13.819 13688.0 10240.0 9600.0 11848.0 10320.0 9896.0 10704.0 11800.0 11248.0 10656.0 8888.0 
14.82 14744.0 11264.0 10000.0 12768.0 11000.0 10840.0 11744.0 12776.0 12256.0 11256.0 9600.0 
15.822 15688.0 12256.0 10904.0 13800.0 11968.0 11832.0 12776.0 13720.0 13000.0 12296.0 10832.0 
16.822 16744.0 13288.0 12000.0 14768.0 12200.0 12848.0 13784.0 14768.0 13656.0 13256.0 11800.0 
17.828 17688.0 14192.0 12392.0 15600.0 12400.0 13848.0 14712.0 15768.0 14656.0 14200.0 12760.0 
18.83 18688.0 15288.0 13432.0 15992.0 13624.0 14200.0 15800.0 16776.0 15448.0 14776.0 13792.0 
19.831 19744.0 16240.0 14256.0 17056.0 14640.0 15160.0 16776.0 17760.0 16432.0 15904.0 14792.0 
20.832 20704.0 17232.0 15256.0 18056.0 15608.0 16200.0 17600.0 18792.0 16800.0 16464.0 15792.0 
21.833 21688.0 18248.0 16288.0 19000.0 16632.0 17096.0 18440.0 19760.0 18000.0 17496.0 16848.0 
22.833 22744.0 19240.0 17192.0 20000.0 17632.0 18000.0 19400.0 20776.0 19048.0 17800.0 17800.0 
