Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 397.0 127.0 725.0 173.43907031321146 107.49864950056089
2 998.2 654.0 1435.0 248.92872697041437 154.28762344544828
3 1248.2 998.0 1652.0 169.41061228729313 105.00178534778453
4 1207.1 815.0 1726.0 282.98545310080283 175.3962009926859
5 1134.0 215.0 1852.0 465.0560300771415 288.2447137493495
6 1257.5 471.0 1982.0 426.54275544454185 264.3739388231921
7 1184.8 928.0 1800.0 275.0793016972055 170.49591758423094
8 1202.3 927.0 1598.0 228.93232867183943 141.8937273752594
9 1210.4 488.0 1968.0 434.7247404967884 269.44518569831604
10 1134.4 527.0 1926.0 515.388354113241 319.4410113905573
11 1259.2 728.0 1856.0 394.0030456735075 244.2056177568403
12 1198.4 871.0 1726.0 269.6273972231556 167.1167921823936
13 1187.7 743.0 1510.0 228.21726977207976 141.45052927751416
14 1204.7 543.0 1870.0 398.64243237378645 247.0811394249985
15 1152.8 399.0 2125.0 521.1312054879589 323.00046754971316
16 1259.2 744.0 2184.0 442.41277859784594 274.2102810812655
17 1186.4 784.0 1582.0 245.2514356057201 152.0084146442777
18 1191.6 928.0 1598.0 198.3908600045207 122.96392897648208
19 1207.2 871.0 1670.0 278.4476012945105 172.58361130381607
20 1197.6 600.0 1944.0 475.81957364810734 294.9160271715775
21 1071.2 327.0 1654.0 452.66686303383074 280.56582846019495
22 946.4 600.0 1272.0 235.45473733465914 145.93635814742441
23 989.6 616.0 1328.0 197.5872240584171 122.46583025662484
24 1038.4 616.0 1528.0 321.5031363247747 199.26970839208516
25 992.9 415.0 1654.0 444.64229068619494 275.59214699019753
26 1017.0 359.0 1782.0 418.52810870690365 259.4064093100074
27 957.6 544.0 1400.0 279.42925958301345 173.19204941464386
28 1019.3 455.0 1310.0 266.00169172394374 164.86955663190219
29 1005.6 272.0 1600.0 394.1627413476148 244.30459816112074
30 986.4 416.0 1728.0 458.2641644777 284.03507183757745
31 1028.2 383.0 1598.0 408.43190646939206 253.14871833151534
32 936.0 488.0 1328.0 259.83242462958486 161.04580527152999
33 969.7 655.0 1198.0 193.58033072718013 119.98233204008736
34 1007.2 456.0 1528.0 292.2026693923243 181.1090908375391
35 1024.9 527.0 2053.0 526.4492061601638 326.29659851531807
36 1023.5 655.0 1670.0 357.1492840691566 221.36341966197674
37 884.2 0.0 1614.0 551.0756753840619 341.5602422765272
38 41.2 0.0 199.0 64.76418763483412 40.141259372371465
39 0.0 0.0 0.0 0.0 0.0
40 0.0 0.0 0.0 0.0 0.0
