Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 248.4 0.0 653.0 256.1827472723329 158.78371180949256
2 803.5 326.0 1139.0 239.6234314270808 148.52014151473043
3 1043.0 910.0 1157.0 77.15784686817882 47.82292894975519
4 1012.9 911.0 1086.0 62.076028653042336 38.475121173731644
5 934.6 814.0 1125.0 106.54075902364002 66.03464658293653
6 1057.7 983.0 1166.0 71.18996496073805 44.123997421408276
7 986.4 744.0 1144.0 115.50392008739597 71.59007136623221
8 995.5 743.0 1254.0 138.93263755423985 86.11134089718445
9 1016.0 872.0 1216.0 113.5135821535614 70.35644713409947
10 934.8 671.0 1070.0 114.45018324338517 70.93695850385592
11 1053.6 872.0 1200.0 97.98321851782126 60.73062802609935
12 998.6 927.0 1110.0 54.50626875262453 33.78333537904943
13 988.4 943.0 1054.0 32.54808408766602 20.1735115215748
14 1009.0 911.0 1142.0 59.16079783099616 36.66824239038462
15 961.6 872.0 1088.0 57.91027542673235 35.89316057412609
16 1051.9 999.0 1182.0 58.369417410908675 36.177739724249705
17 988.8 888.0 1112.0 60.48103467662863 37.48653366506727
18 984.4 871.0 1070.0 61.63548761333306 38.20207100843268
19 1018.5 943.0 1126.0 65.58666869960015 40.65103841778761
20 990.4 928.0 1072.0 57.78734963448123 35.81697037873403
21 1016.8 871.0 1070.0 62.79915073735737 38.923316885041196
22 946.4 816.0 1128.0 98.12826073846186 60.820526125825495
23 989.6 816.0 1184.0 120.564597715176 74.72671185653019
24 1038.4 856.0 1200.0 125.52042773101826 77.79836712368139
25 993.1 799.0 1142.0 100.39416760394445 62.224949751330094
26 1018.4 928.0 1144.0 64.44842899559306 39.94555014015954
27 956.4 855.0 1070.0 79.41900136477277 49.22440702650577
28 1019.5 927.0 1182.0 87.8436110368876 54.446034199012146
29 1005.6 872.0 1128.0 85.17067831386835 52.78933333333333
30 986.4 816.0 1072.0 73.71295679865244 45.687763963669745
31 1028.1 887.0 1182.0 88.33327044022919 54.74952824149872
32 936.0 656.0 1128.0 132.3161197872563 82.01038069794714
33 969.8 711.0 1126.0 124.91668334445075 77.42416247600687
34 1007.2 872.0 1128.0 73.55844237369661 45.591994930884276
35 1024.6 871.0 1070.0 65.05928919924588 40.324165216957
36 1023.4 943.0 1142.0 56.224154556165225 34.848092031303835
37 884.3 671.0 1014.0 133.86315566444878 82.9692434687564
38 41.3 0.0 199.0 73.0556104773769 45.280336492664105
39 0.0 0.0 0.0 0.0 0.0
40 0.0 0.0 0.0 0.0 0.0
