Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 576.8 0.0 1200.0 389.3050218016716 241.29375239321882
2 1622.4 1224.0 2112.0 308.7995394354654 191.3959374653031
3 2508.0 1856.0 3096.0 392.79284899578073 243.45553008483677
4 3569.6 2840.0 4184.0 394.60900479673126 244.58119511251607
5 4533.6 3856.0 5184.0 409.14088852944855 253.58814996499075
6 5541.6 4896.0 6040.0 400.30299635262395 248.1103676422159
7 6540.8 5656.0 7056.0 415.0450577949339 257.2475919887298
8 7563.2 6840.0 8168.0 413.51737837994455 256.3007264774895
9 8591.2 7896.0 9240.0 377.2452193939051 233.81900942015434
10 9546.4 8856.0 10112.0 375.8212340994053 232.93641419065415
11 10565.6 9896.0 11240.0 395.11776022401784 244.89652499326684
12 11572.0 10784.0 12184.0 409.94308548057415 254.0853567865203
13 12516.0 11712.0 13224.0 430.6852421174631 266.94147866360356
14 13607.2 12840.0 14240.0 413.8482813785748 256.50582228089877
15 14543.2 13840.0 15184.0 408.0688395084557 252.92368709773132
16 15582.4 14840.0 16168.0 418.55285077142753 259.42174460047784
17 16568.8 15784.0 17184.0 404.88483959433864 250.95022350524678
18 17548.0 16824.0 18224.0 427.7694082875336 265.1342261320983
19 18605.6 17840.0 19240.0 415.45348716793796 257.50073913680325
20 19552.0 18840.0 20112.0 403.2931109420707 249.96365986545592
21 20584.0 19840.0 21240.0 420.79290234825334 260.81014295204596
22 21553.6 20856.0 22112.0 373.2914262193667 231.3684230217156
23 22556.0 21896.0 23240.0 388.69811193549964 240.91758576095867
24 23600.0 22840.0 24240.0 413.0493648194823 256.010648667416
25 24576.0 23840.0 25240.0 403.4341471803188 250.05107503157117
26 25612.0 24840.0 26240.0 404.5123264156758 250.71933744505804
27 26535.2 25800.0 26984.0 381.3137524110267 236.34071230981579
28 27569.6 26768.0 28168.0 391.3881846851168 242.5849101251857
29 28590.4 27784.0 29240.0 422.9303068407896 262.13491998163425
30 29532.0 28840.0 30184.0 406.0213459084797 251.65463741670513
31 30568.0 29840.0 31240.0 406.4720845956775 251.93400814940057
32 31583.2 30784.0 32184.0 408.81748168752927 253.38770032764677
33 32560.0 31840.0 33040.0 361.94044936824747 224.3330146803086
34 33596.0 32856.0 34240.0 410.70562585763435 254.55798420879367
35 34579.2 33840.0 35184.0 380.0762496599275 235.57370015819296
36 35576.0 34856.0 36200.0 410.80517144856987 254.61968320527686
37 35965.6 35400.0 36856.0 480.8444423904448 298.0304730847352
38 36000.0 35400.0 37200.0 557.7733510227171 345.7115046457732
39 36000.0 35400.0 37200.0 557.7733510227171 345.7115046457732
40 36000.0 35400.0 37200.0 557.7733510227171 345.7115046457732
