time Optional[local:s-0] 
0.0 0.0 
1.02 1945.0 
2.022 1996.0 
3.022 2000.0 
4.023 1998.0 
5.024 1982.0 
6.024 1928.0 
7.025 2069.0 
8.026 1942.0 
9.027 1998.0 
10.027 2056.0 
11.027 2016.0 
12.036 1966.0 
13.037 2013.0 
14.038 1998.0 
15.038 2000.0 
16.039 1996.0 
17.055 1899.0 
18.056 2053.0 
19.057 1942.0 
20.058 2085.0 
21.059 0.0 
22.06 0.0 
23.06 0.0 
24.061 0.0 
25.062 0.0 
26.063 0.0 
27.063 0.0 
28.064 0.0 
29.065 0.0 
30.065 0.0 
31.066 0.0 
32.066 0.0 
33.067 0.0 
34.068 0.0 
35.068 0.0 
36.068 0.0 
37.069 0.0 
38.069 0.0 
39.07 0.0 
