time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.004 964.0 996.0 454.0 199.0 398.0 326.0 0.0 398.0 398.0 852.0 
2.006 958.0 654.0 942.0 838.0 1053.0 1109.0 966.0 910.0 798.0 1141.0 
3.006 1056.0 1184.0 1040.0 1128.0 856.0 744.0 1032.0 1056.0 656.0 784.0 
4.007 871.0 999.0 943.0 943.0 1142.0 1310.0 911.0 1070.0 1182.0 1142.0 
5.008 983.0 1070.0 855.0 1054.0 983.0 759.0 1070.0 1014.0 1014.0 999.0 
6.008 1128.0 1056.0 1216.0 1072.0 1000.0 1184.0 984.0 856.0 1128.0 984.0 
7.009 1014.0 943.0 983.0 999.0 887.0 1054.0 799.0 1126.0 967.0 927.0 
8.01 911.0 927.0 911.0 983.0 1126.0 815.0 1214.0 943.0 1030.0 943.0 
9.011 943.0 999.0 1086.0 959.0 855.0 1054.0 999.0 1054.0 983.0 1110.0 
10.011 1144.0 1128.0 1000.0 984.0 1128.0 1016.0 800.0 1000.0 872.0 1032.0 
11.011 928.0 1016.0 1000.0 1016.0 1000.0 1112.0 1200.0 1056.0 1128.0 968.0 
12.02 919.0 919.0 721.0 903.0 991.0 880.0 991.0 864.0 1006.0 1022.0 
13.021 1070.0 983.0 1270.0 1142.0 983.0 1054.0 983.0 1070.0 927.0 839.0 
14.022 999.0 1086.0 927.0 927.0 959.0 999.0 1014.0 999.0 1054.0 1054.0 
15.022 1054.0 927.0 999.0 943.0 983.0 815.0 855.0 943.0 871.0 943.0 
16.024 999.0 1070.0 1086.0 1110.0 1070.0 1110.0 1054.0 1054.0 1070.0 1086.0 
17.039 1000.0 969.0 969.0 819.0 985.0 1056.0 1071.0 930.0 1056.0 1040.0 
18.04 855.0 999.0 999.0 1182.0 983.0 999.0 983.0 1054.0 943.0 999.0 
19.041 1142.0 887.0 999.0 943.0 959.0 1014.0 999.0 943.0 911.0 911.0 
20.042 983.0 1054.0 943.0 1054.0 999.0 983.0 999.0 999.0 1142.0 1086.0 
21.043 1014.0 1054.0 999.0 999.0 1054.0 999.0 983.0 999.0 983.0 927.0 
22.044 927.0 1014.0 1054.0 927.0 999.0 999.0 903.0 1054.0 1014.0 1054.0 
23.044 928.0 784.0 1056.0 928.0 984.0 1056.0 984.0 944.0 928.0 1016.0 
24.045 1142.0 1086.0 959.0 1086.0 1030.0 871.0 1142.0 1054.0 983.0 855.0 
25.046 983.0 1054.0 1038.0 871.0 983.0 1070.0 999.0 943.0 1086.0 1070.0 
26.047 959.0 1070.0 943.0 1182.0 983.0 1054.0 983.0 1054.0 999.0 1014.0 
27.047 912.0 1000.0 1016.0 872.0 960.0 1000.0 888.0 1000.0 984.0 1040.0 
28.048 1142.0 967.0 1038.0 1054.0 1054.0 887.0 1110.0 943.0 1014.0 1014.0 
29.049 983.0 831.0 943.0 1014.0 999.0 1070.0 943.0 1054.0 911.0 927.0 
30.049 1016.0 1112.0 928.0 800.0 944.0 984.0 1000.0 928.0 888.0 1000.0 
31.05 983.0 1086.0 1086.0 1254.0 1038.0 1054.0 999.0 1070.0 1198.0 1086.0 
32.05 1016.0 928.0 1040.0 944.0 960.0 872.0 984.0 1000.0 984.0 896.0 
33.051 967.0 1054.0 999.0 1038.0 1054.0 1070.0 1086.0 999.0 943.0 959.0 
34.052 1030.0 815.0 943.0 887.0 943.0 999.0 983.0 999.0 1054.0 1110.0 
35.052 984.0 1128.0 1000.0 1128.0 984.0 1000.0 1016.0 944.0 960.0 1032.0 
36.052 1032.0 1072.0 960.0 960.0 1072.0 1016.0 944.0 1072.0 1056.0 1000.0 
37.053 199.0 215.0 0.0 799.0 759.0 543.0 1070.0 543.0 415.0 471.0 
38.053 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
39.054 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
