Time Mean Min Max StDev ConfidenceInterval
0 93.0909090909091 0.0 1024.0 308.74761684762996 182.4581818181818
1 492.3636363636364 0.0 2352.0 719.6742697536536 425.30031519363075
2 1008.7272727272727 0.0 2968.0 840.3081685797289 496.59039370557815
4 1787.6363636363637 976.0 3824.0 806.0361372453809 476.33691745747836
5 2683.6363636363635 1992.0 4984.0 926.5531040072417 547.5578935353709
6 3434.909090909091 2600.0 5696.0 961.1544573631705 568.0059866615014
7 4375.272727272727 3600.0 6688.0 988.5647263491744 584.2044204936295
8 5265.454545454545 4312.0 7688.0 1080.5972759207164 638.5921817154507
9 6171.636363636364 5128.0 8688.0 1145.7684995431907 677.1059137093438
10 7162.909090909091 6096.0 9688.0 1147.6488534865928 678.2171318790281
11 8088.0 7128.0 10704.0 1144.8500338472284 676.563135168545
12 9045.09090909091 8000.0 11688.0 1170.5849353673962 691.7714900979923
13 9965.818181818182 8200.0 12696.0 1277.828612778867 755.1484534306335
14 10808.0 8592.0 13696.0 1424.3550119264507 841.7400218119606
15 11781.09090909091 9696.0 14696.0 1368.3661391999917 808.6527124295505
16 12741.09090909091 10664.0 15744.0 1408.9554609387378 832.6394687365303
17 13582.545454545454 11640.0 16696.0 1357.8185713589546 802.4194981604692
18 14501.09090909091 12600.0 17744.0 1455.0514392656676 859.880451130291
19 15404.363636363636 12992.0 18704.0 1532.4014665046018 905.5913961335291
20 16261.818181818182 14040.0 19688.0 1634.4847394932642 965.9187553330415
21 17116.363636363636 15048.0 20696.0 1755.2166403454173 1037.266749341391
22 18077.090909090908 15912.0 21744.0 1834.3889148457833 1084.054573659646
23 18963.636363636364 16592.0 22696.0 1831.9034512073652 1082.5857585119493
24 19953.454545454544 17688.0 23688.0 1808.661182401854 1068.850455383518
25 20818.18181818182 18456.0 24688.0 1851.6953214922705 1094.2820064177179
26 21748.363636363636 19488.0 25696.0 1806.5670910723063 1067.6129264903345
27 22610.18181818182 20064.0 26688.0 1882.215174637683 1112.3180870557687
28 23405.090909090908 21088.0 27744.0 1852.5045454489689 1094.7602272160852
29 24348.363636363636 22056.0 28696.0 1872.6882961522065 1106.6880616498702
30 25303.272727272728 23080.0 29744.0 1863.7886731552528 1101.4287205496187
31 26162.909090909092 23800.0 30696.0 1915.1481120031135 1131.7802093386235
32 27119.272727272728 24776.0 31744.0 1903.4468256775176 1124.8651910149165
33 28037.81818181818 25800.0 32696.0 1942.5248424759884 1147.9588231760617
34 28933.81818181818 26720.0 33744.0 1946.1390401603796 1150.0946775187074
35 29778.909090909092 27656.0 34696.0 1995.8942584488514 1179.498132539905
36 30766.545454545456 28640.0 35744.0 2033.0416800270655 1201.450855834088
37 31583.272727272728 28800.0 36688.0 2124.4555580623046 1255.4730055418545
38 32482.909090909092 29448.0 37712.0 2190.0378743092756 1294.2296777520653
39 33482.90909090909 30496.0 38696.0 2187.1399340026446 1292.5171044704828
40 34330.90909090909 31000.0 39696.0 2274.7061988109785 1344.2654600648286
41 35240.0 31968.0 40000.0 2120.3018653012596 1253.0183299827372
42 36053.818181818184 32400.0 40000.0 2022.643311025541 1195.30581244472
43 36325.818181818184 32400.0 40000.0 2024.1868401005781 1196.2179798372663
44 36363.63636363636 32400.0 40000.0 2033.358171731054 1201.637890478954
45 36363.63636363636 32400.0 40000.0 2033.358171731054 1201.637890478954
46 36363.63636363636 32400.0 40000.0 2033.358171731054 1201.637890478954
