Time Mean Min Max StDev ConfidenceInterval
0 135.2 64.0 200.0 48.3616009292956 29.9748308048232
1 500.0 320.0 792.0 134.7788311766107 83.53678503110669
2 943.2 720.0 1312.0 170.35179286797464 105.58513511538133
3 1620.8 1384.0 1928.0 222.02942747903185 137.61526488971586
4 2159.2 1896.0 2568.0 205.08903215703933 127.11549908820892
5 3404.0 2992.0 3984.0 312.47257657450695 193.67250947009603
6 4452.8 4240.0 5240.0 303.25522803957284 187.9595376599265
7 5538.4 5248.0 5920.0 199.7349354630893 123.79699557653964
8 6569.6 6288.0 6968.0 187.9498751144984 116.49253949597897
9 7534.4 7368.0 8040.0 207.1023364855592 128.36335803924385
10 8568.8 8360.0 8840.0 166.2533541850443 103.04489650201562
11 9569.6 9312.0 9984.0 211.85487695327876 131.30901313906654
12 10496.0 10288.0 10768.0 168.9076013025399 104.69001590940326
13 11503.2 11256.0 11928.0 266.3851847732277 165.10724808640796
14 12581.6 12312.0 12848.0 212.93462742249216 131.97824941338712
15 13558.4 13176.0 13904.0 232.43790090640934 144.06650355690286
16 14607.2 14304.0 14960.0 214.8098901095778 133.14054926864148
17 15569.6 15368.0 15720.0 113.56368746703812 70.38750272913825
18 16555.2 16184.0 16912.0 264.6644836182008 164.0407464612239
19 17538.4 17168.0 17760.0 195.8520983917314 121.39038822648922
20 18591.2 18240.0 18920.0 212.01090118723192 131.40571796116365
21 19585.6 19248.0 19784.0 182.57613328265128 113.16185980169192
22 20594.4 20376.0 20776.0 154.66896550015744 95.86481800721032
23 21585.6 21048.0 22032.0 282.5861520551447 175.14871164051803
24 22577.6 22256.0 22912.0 214.92076059174306 133.20926750543046
25 23572.8 23104.0 23904.0 273.17914350192336 169.31818733313256
26 24591.2 24248.0 24840.0 172.0134361677082 106.61503230262085
27 25672.8 25424.0 25904.0 190.86516473969553 118.29945472589654
28 26643.2 26440.0 26848.0 155.50119685141405 96.38064034280374
29 27586.4 27368.0 28112.0 234.69848269168205 145.46762666349895
30 28632.0 28312.0 29112.0 257.9095448666709 159.85399204690927
31 29611.2 29200.0 30184.0 292.65861796069953 181.391690688043
32 30595.2 30368.0 30840.0 150.33946772406625 93.18136748418227
33 31649.6 31112.0 31976.0 241.50049459346639 149.6835573186165
34 32672.8 32432.0 32912.0 164.74950682778993 102.11280225319447
35 33701.6 33512.0 33904.0 134.92648203950014 83.62829998404978
36 34666.4 34384.0 34840.0 142.31358176771306 88.20687183106665
37 35722.4 35592.0 35784.0 65.21622156760967 40.42143290659328
38 36646.4 36432.0 37168.0 218.95265850559264 135.70826372283548
39 37716.0 37304.0 38168.0 252.08816799771552 156.24586528218202
40 38752.8 38248.0 39120.0 311.81647023707893 193.26585054904152
41 39588.0 39176.0 39920.0 294.6938147373379 182.6531187190018
42 39984.8 39928.0 40000.0 30.03997336882974 18.618968392475452
43 40000.0 40000.0 40000.0 0.0 0.0
44 40000.0 40000.0 40000.0 0.0 0.0
45 40000.0 40000.0 40000.0 0.0 0.0
