Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 43.01 0.0 253.0 95.51386752136513 18.720718034187563
2 112.4 0.0 281.0 138.35483586077 27.117547828710922
3 119.95 0.0 914.0 210.87419654304975 41.33134252243775
4 98.02 0.0 624.0 195.7943148750079 38.37568571550155
5 94.51 0.0 624.0 184.01347639493554 36.066641373407364
6 99.32 0.0 624.0 220.70643603912168 43.25846146366785
7 99.0 0.0 625.0 211.47390411398783 41.448885206341615
8 99.84 0.0 1248.0 276.5127253359731 54.19649416585072
9 96.07 0.0 624.0 215.22711776684235 42.184515082301104
10 96.75 0.0 625.0 225.03240507387673 44.10635139447984
11 74.88 0.0 624.0 203.79754659956043 39.944319133513844
12 93.08 0.0 624.0 214.45499068639793 42.033178174533994
13 102.57 0.0 1248.0 242.78548768471117 47.58595558620339
14 103.0 0.0 625.0 230.92042444149982 45.260403190533964
15 102.57 0.0 624.0 226.00577694413306 44.29713228105008
16 96.07 0.0 624.0 215.22711776684235 42.184515082301104
17 99.24 0.0 624.0 220.51441786161845 43.220825900877216
18 102.54 0.0 1248.0 246.411842985755 48.296721225207975
19 100.0 0.0 625.0 230.28309323591915 45.13548627424015
20 90.09 0.0 624.0 213.6378080544336 41.87301037866899
21 99.58 0.0 1248.0 242.18234135594292 47.46773890576481
22 96.59 0.0 624.0 224.66761509556127 44.03485255873001
23 99.75 0.0 625.0 225.72819871910045 44.242726948943684
24 102.83 0.0 624.0 230.54647661325876 45.187109416198716
25 105.56 0.0 624.0 226.61212891126763 44.41597726660846
26 99.58 0.0 624.0 225.3577259524613 44.17011428668241
27 105.91 0.0 623.0 235.19817970676078 46.09884322252511
28 99.84 0.0 624.0 229.91464028674167 45.063269496201364
29 96.59 0.0 624.0 224.66761509556127 44.03485255873001
30 105.82 0.0 624.0 231.13751995578983 45.302953911334804
31 93.5 0.0 1250.0 236.89436336464274 46.43129521946998
32 99.84 0.0 624.0 229.91464028674167 45.063269496201364
33 99.84 0.0 624.0 229.91464028674167 45.063269496201364
34 99.84 0.0 624.0 229.91464028674167 45.063269496201364
35 96.44 0.0 623.0 224.3119364824013 43.96513955055066
36 96.59 0.0 624.0 224.66761509556127 44.03485255873001
37 99.8 0.0 624.0 229.8225929764614 45.04522822338644
38 99.88 0.0 625.0 230.00681939824514 45.08133660205605
39 99.84 0.0 624.0 229.91464028674167 45.063269496201364
40 96.59 0.0 624.0 224.66761509556127 44.03485255873001
41 106.08 0.0 624.0 235.5757048748294 46.17283815546656
42 99.84 0.0 624.0 229.91464028674167 45.063269496201364
43 99.85 0.0 625.0 229.9376891879426 45.067787080836744
44 102.95 0.0 625.0 230.82055538421784 45.240828855306695
