Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0 0
1 5128.0 5128.0 5128.0 0 0
2 10239.0 10239.0 10239.0 0 0
3 9955.0 9955.0 9955.0 0 0
4 11869.0 11869.0 11869.0 0 0
5 9465.0 9465.0 9465.0 0 0
6 9950.0 9950.0 9950.0 0 0
7 9890.0 9890.0 9890.0 0 0
8 9990.0 9990.0 9990.0 0 0
9 9615.0 9615.0 9615.0 0 0
10 9675.0 9675.0 9675.0 0 0
11 7500.0 7500.0 7500.0 0 0
12 9306.0 9306.0 9306.0 0 0
13 10275.0 10275.0 10275.0 0 0
14 10289.0 10289.0 10289.0 0 0
15 10264.0 10264.0 10264.0 0 0
16 9615.0 9615.0 9615.0 0 0
17 9940.0 9940.0 9940.0 0 0
18 10264.0 10264.0 10264.0 0 0
19 9990.0 9990.0 9990.0 0 0
20 9015.0 9015.0 9015.0 0 0
21 9965.0 9965.0 9965.0 0 0
22 9665.0 9665.0 9665.0 0 0
23 9975.0 9975.0 9975.0 0 0
24 10289.0 10289.0 10289.0 0 0
25 10564.0 10564.0 10564.0 0 0
26 9965.0 9965.0 9965.0 0 0
27 10603.0 10603.0 10603.0 0 0
28 9990.0 9990.0 9990.0 0 0
29 9665.0 9665.0 9665.0 0 0
30 10589.0 10589.0 10589.0 0 0
31 9350.0 9350.0 9350.0 0 0
32 9990.0 9990.0 9990.0 0 0
33 9990.0 9990.0 9990.0 0 0
34 9990.0 9990.0 9990.0 0 0
35 9655.0 9655.0 9655.0 0 0
36 9665.0 9665.0 9665.0 0 0
37 9990.0 9990.0 9990.0 0 0
38 9990.0 9990.0 9990.0 0 0
39 9990.0 9990.0 9990.0 0 0
40 9665.0 9665.0 9665.0 0 0
41 10625.0 10625.0 10625.0 0 0
42 9980.0 9980.0 9980.0 0 0
43 10000.0 10000.0 10000.0 0 0
44 10289.0 10289.0 10289.0 0 0
45 10000.0 10000.0 10000.0 0 0
46 9990.0 9990.0 9990.0 0 0
47 10614.0 10614.0 10614.0 0 0
48 10000.0 10000.0 10000.0 0 0
49 9990.0 9990.0 9990.0 0 0
50 9990.0 9990.0 9990.0 0 0
51 9990.0 9990.0 9990.0 0 0
52 9990.0 9990.0 9990.0 0 0
53 9990.0 9990.0 9990.0 0 0
54 9990.0 9990.0 9990.0 0 0
55 9990.0 9990.0 9990.0 0 0
56 9990.0 9990.0 9990.0 0 0
57 10000.0 10000.0 10000.0 0 0
58 9990.0 9990.0 9990.0 0 0
59 9990.0 9990.0 9990.0 0 0
60 9980.0 9980.0 9980.0 0 0
61 9990.0 9990.0 9990.0 0 0
62 9990.0 9990.0 9990.0 0 0
63 9990.0 9990.0 9990.0 0 0
64 9990.0 9990.0 9990.0 0 0
65 9990.0 9990.0 9990.0 0 0
66 9990.0 9990.0 9990.0 0 0
67 9990.0 9990.0 9990.0 0 0
68 9990.0 9990.0 9990.0 0 0
69 9990.0 9990.0 9990.0 0 0
70 10000.0 10000.0 10000.0 0 0
71 10000.0 10000.0 10000.0 0 0
72 9990.0 9990.0 9990.0 0 0
73 9990.0 9990.0 9990.0 0 0
