Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 51.0 0.0 300.0 113.25755042059107 22.19847988243585
2 171.0 0.0 300.0 149.2709555868729 29.25710729502709
3 292.5 0.0 925.0 202.2131338839085 39.633774241246066
4 390.75 0.0 925.0 267.9103338240184 52.5104254295076
5 485.5 0.0 925.0 275.10741703758356 53.92105373936638
6 585.0 0.0 1550.0 363.98815054528046 71.34167750687496
7 684.0 0.0 1550.0 394.4136422743529 77.30507388577317
8 784.0 0.0 2175.0 498.4384707172081 97.69394026057277
9 880.25 0.0 2175.0 541.2095390433498 106.07706965249656
10 977.0 0.0 2175.0 572.7027010922716 112.24972941408524
11 1052.0 0.0 2800.0 636.1647236019579 124.68828582598375
12 1145.25 0.0 2800.0 680.1449544699344 133.30841107610715
13 1248.0 0.0 3100.0 721.8599713114852 141.4845543770511
14 1351.0 0.0 3425.0 753.2666234877303 147.64025820359512
15 1453.75 0.0 3425.0 798.9211080380132 156.5885371754506
16 1550.0 0.0 4050.0 822.3058243055735 161.1719415638924
17 1649.5 0.0 4050.0 841.8202680123375 164.99677253041813
18 1752.25 0.0 4050.0 868.3047965414966 170.18774012213333
19 1852.25 0.0 4050.0 925.2497274146089 181.34894657326333
20 1942.5 0.0 4050.0 935.5661873481165 183.37097272023084
21 2042.25 0.0 4050.0 974.1461879279441 190.93265283387706
22 2139.0 0.0 4675.0 1017.3204554568383 199.3948092695403
23 2238.75 0.0 4675.0 1060.0848963048843 207.7766396757573
24 2341.75 0.0 5300.0 1116.5991329646345 218.85343006106837
25 2447.5 0.0 5300.0 1092.1176491550532 214.0550592343904
26 2547.25 0.0 5300.0 1091.7556926456773 213.98411575855275
27 2653.5 0.0 5300.0 1095.831288164931 214.78293248032645
28 2753.5 0.0 5600.0 1094.4996781427326 214.52193691597557
29 2850.25 0.0 5600.0 1100.1807415790436 215.63542534949252
30 2956.25 0.0 5600.0 1092.6948373520202 214.16818812099595
31 3049.75 0.0 5600.0 1148.9647019659205 225.19708158532043
32 3149.75 0.0 5600.0 1176.8092400103499 230.6546110420286
33 3249.75 0.0 5925.0 1183.7840317551104 232.02167022400164
34 3349.75 0.0 6225.0 1237.2608176161082 242.5031202527572
35 3446.5 0.0 6225.0 1229.2675613444526 240.9364420235127
36 3543.25 0.0 6850.0 1262.3823827600852 247.42694702097668
37 3643.25 0.0 6850.0 1249.8578454521873 244.97213770862874
38 3743.25 0.0 6850.0 1263.3372061586117 247.6140924070879
39 3843.25 0.0 6850.0 1288.3650619402417 252.5195521402874
40 3940.0 300.0 6850.0 1294.9250202543806 253.80530396985858
41 4046.25 300.0 6850.0 1305.9903504446522 255.97410868715184
42 4146.25 300.0 6850.0 1336.1446450988242 261.88435043936954
43 4246.25 300.0 6850.0 1333.117288367927 261.2909885201137
44 4349.25 925.0 6850.0 1322.133143060788 259.13809603991444
45 4449.25 925.0 7175.0 1348.4299465330303 264.29226952047395
46 4549.25 925.0 7175.0 1365.5827880469571 267.6542264572036
