Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0 0
1 6000.0 6000.0 6000.0 0 0
2 17100.0 17100.0 17100.0 0 0
3 27075.0 27075.0 27075.0 0 0
4 39075.0 39075.0 39075.0 0 0
5 48550.0 48550.0 48550.0 0 0
6 58500.0 58500.0 58500.0 0 0
7 68400.0 68400.0 68400.0 0 0
8 78400.0 78400.0 78400.0 0 0
9 88025.0 88025.0 88025.0 0 0
10 97700.0 97700.0 97700.0 0 0
11 105200.0 105200.0 105200.0 0 0
12 114525.0 114525.0 114525.0 0 0
13 124800.0 124800.0 124800.0 0 0
14 135100.0 135100.0 135100.0 0 0
15 145375.0 145375.0 145375.0 0 0
16 155000.0 155000.0 155000.0 0 0
17 164950.0 164950.0 164950.0 0 0
18 175225.0 175225.0 175225.0 0 0
19 185225.0 185225.0 185225.0 0 0
20 194250.0 194250.0 194250.0 0 0
21 204225.0 204225.0 204225.0 0 0
22 213900.0 213900.0 213900.0 0 0
23 223875.0 223875.0 223875.0 0 0
24 234175.0 234175.0 234175.0 0 0
25 244750.0 244750.0 244750.0 0 0
26 254725.0 254725.0 254725.0 0 0
27 265350.0 265350.0 265350.0 0 0
28 275350.0 275350.0 275350.0 0 0
29 285025.0 285025.0 285025.0 0 0
30 295625.0 295625.0 295625.0 0 0
31 304975.0 304975.0 304975.0 0 0
32 314975.0 314975.0 314975.0 0 0
33 324975.0 324975.0 324975.0 0 0
34 334975.0 334975.0 334975.0 0 0
35 344650.0 344650.0 344650.0 0 0
36 354325.0 354325.0 354325.0 0 0
37 364325.0 364325.0 364325.0 0 0
38 374325.0 374325.0 374325.0 0 0
39 384325.0 384325.0 384325.0 0 0
40 394000.0 394000.0 394000.0 0 0
41 404625.0 404625.0 404625.0 0 0
42 414625.0 414625.0 414625.0 0 0
43 424625.0 424625.0 424625.0 0 0
44 434925.0 434925.0 434925.0 0 0
45 444925.0 444925.0 444925.0 0 0
46 454925.0 454925.0 454925.0 0 0
47 465550.0 465550.0 465550.0 0 0
