time Optional[local:ss-10000] 
0.0 0.0 
1.17 6000.0 
2.254 17100.0 
3.256 27075.0 
4.267 39075.0 
5.268 48550.0 
6.268 58500.0 
7.269 68400.0 
8.27 78400.0 
9.271 88025.0 
10.271 97700.0 
11.271 105200.0 
12.273 114525.0 
13.273 124800.0 
14.274 135100.0 
15.275 145375.0 
16.276 155000.0 
17.277 164950.0 
18.278 175225.0 
19.279 185225.0 
20.28 194250.0 
21.281 204225.0 
22.282 213900.0 
23.282 223875.0 
24.283 234175.0 
25.284 244750.0 
26.285 254725.0 
27.287 265350.0 
28.288 275350.0 
29.289 285025.0 
30.29 295625.0 
31.29 304975.0 
32.291 314975.0 
33.292 324975.0 
34.293 334975.0 
35.295 344650.0 
36.296 354325.0 
37.297 364325.0 
38.298 374325.0 
39.299 384325.0 
40.3 394000.0 
41.3 404625.0 
42.302 414625.0 
43.302 424625.0 
44.303 434925.0 
45.303 444925.0 
46.304 454925.0 
47.305 465550.0 
48.305 475550.0 
49.306 485550.0 
50.307 495550.0 
51.308 505550.0 
52.309 515550.0 
53.31 525550.0 
54.311 535550.0 
55.312 545550.0 
56.313 555550.0 
57.313 565550.0 
58.314 575550.0 
59.315 585550.0 
60.317 595550.0 
61.318 605550.0 
62.319 615550.0 
63.32 625550.0 
64.321 635550.0 
65.322 645550.0 
66.323 655550.0 
67.324 665550.0 
68.325 675550.0 
69.326 685550.0 
70.326 695550.0 
71.326 705550.0 
72.327 715550.0 
73.328 725550.0 
74.328 736175.0 
75.33 746175.0 
76.331 756175.0 
77.331 766175.0 
78.333 776175.0 
79.333 786175.0 
80.334 796175.0 
81.334 806175.0 
82.335 816175.0 
83.336 826175.0 
84.336 836175.0 
85.337 846175.0 
86.339 856175.0 
87.34 866175.0 
88.341 876175.0 
89.342 886175.0 
90.343 896175.0 
91.344 906175.0 
92.345 916175.0 
93.346 926175.0 
94.348 936175.0 
95.348 946175.0 
96.349 956175.0 
97.35 966175.0 
98.352 976175.0 
99.353 986175.0 
100.354 996175.0 
101.355 1006175.0 
102.356 1016175.0 
103.357 1026175.0 
104.359 1036175.0 
105.36 1046175.0 
106.361 1056175.0 
107.361 1066175.0 
108.361 1076175.0 
109.362 1086175.0 
110.363 1096175.0 
111.364 1106175.0 
112.365 1116175.0 
113.366 1126175.0 
114.367 1136175.0 
115.367 1146175.0 
116.368 1156175.0 
117.368 1166175.0 
118.369 1176175.0 
119.37 1186175.0 
120.37 1196175.0 
121.372 1206800.0 
122.372 1216800.0 
123.373 1226800.0 
124.374 1236800.0 
125.375 1246800.0 
126.375 1256800.0 
127.375 1266800.0 
128.376 1276800.0 
129.377 1286800.0 
130.378 1296800.0 
131.379 1306800.0 
132.379 1316800.0 
133.38 1326800.0 
134.38 1336800.0 
135.382 1346800.0 
136.383 1356800.0 
137.383 1364300.0 
138.384 1374300.0 
139.385 1384300.0 
140.385 1394300.0 
141.386 1404925.0 
142.386 1414925.0 
143.388 1424925.0 
144.388 1434925.0 
145.389 1444925.0 
146.39 1454925.0 
147.391 1464925.0 
148.391 1474925.0 
149.391 1484925.0 
150.392 1494925.0 
151.392 1504925.0 
152.393 1514925.0 
153.395 1524925.0 
154.396 1534925.0 
155.397 1544925.0 
156.398 1554925.0 
157.399 1564925.0 
158.399 1574925.0 
159.401 1584925.0 
160.402 1594925.0 
161.402 1604925.0 
162.403 1614925.0 
163.403 1624925.0 
164.404 1634925.0 
165.405 1644925.0 
166.406 1654925.0 
167.407 1664925.0 
168.408 1674925.0 
169.408 1684925.0 
170.409 1694925.0 
171.411 1704925.0 
172.412 1714925.0 
173.412 1724925.0 
174.413 1734925.0 
175.413 1744925.0 
176.414 1754925.0 
177.415 1764925.0 
178.415 1774925.0 
179.416 1784925.0 
180.416 1794925.0 
181.417 1804925.0 
182.418 1814925.0 
183.419 1824925.0 
184.419 1834925.0 
185.42 1844925.0 
186.42 1854925.0 
187.421 1864925.0 
188.422 1874925.0 
189.422 1884925.0 
190.423 1894925.0 
191.424 1904925.0 
192.424 1914925.0 
193.424 1924925.0 
194.425 1934925.0 
195.426 1944925.0 
196.426 1954925.0 
197.427 1964925.0 
198.427 1974925.0 
199.428 1984925.0 
200.429 1992425.0 
201.431 2002425.0 
202.431 2012425.0 
203.432 2022425.0 
204.432 2032425.0 
205.433 2042425.0 
206.434 2052425.0 
207.435 2062425.0 
208.435 2072425.0 
209.437 2082425.0 
210.437 2092425.0 
211.438 2102425.0 
212.439 2112425.0 
213.44 2122425.0 
214.44 2132425.0 
215.442 2142425.0 
216.442 2152425.0 
217.443 2162425.0 
218.443 2172425.0 
219.445 2182425.0 
220.446 2192425.0 
221.447 2202425.0 
222.447 2212425.0 
223.448 2222425.0 
224.448 2232425.0 
225.45 2242425.0 
226.451 2252425.0 
227.451 2262425.0 
228.452 2272425.0 
229.453 2282425.0 
230.453 2292425.0 
231.454 2302425.0 
232.455 2312425.0 
233.456 2322425.0 
234.456 2332425.0 
235.457 2342425.0 
236.458 2352425.0 
237.458 2362425.0 
238.459 2372425.0 
239.46 2382425.0 
240.46 2392425.0 
241.46 2402100.0 
242.461 2412100.0 
243.461 2422100.0 
244.462 2431775.0 
245.463 2441775.0 
246.463 2451775.0 
247.464 2461775.0 
248.464 2471425.0 
249.464 2481425.0 
250.466 2491425.0 
251.466 2501425.0 
252.467 2511425.0 
253.468 2521425.0 
254.469 2531725.0 
255.47 2541725.0 
256.471 2551725.0 
257.471 2561400.0 
258.471 2571075.0 
259.472 2581075.0 
260.472 2590425.0 
261.473 2600425.0 
262.474 2610725.0 
263.474 2621650.0 
264.474 2631000.0 
265.474 2641300.0 
266.475 2651300.0 
267.477 2661300.0 
268.477 2671300.0 
269.478 2680625.0 
270.478 2690625.0 
271.479 2699975.0 
272.48 2710250.0 
273.48 2720525.0 
274.481 2730500.0 
275.482 2740500.0 
276.482 2749850.0 
277.483 2760475.0 
278.484 2770775.0 
279.484 2780750.0 
280.485 2791350.0 
281.486 2801350.0 
282.487 2811025.0 
283.487 2821025.0 
284.487 2830375.0 
285.488 2839075.0 
286.488 2849700.0 
287.489 2859975.0 
288.489 2869650.0 
289.495 2879600.0 
290.496 2889575.0 
291.496 2898925.0 
292.497 2909525.0 
293.498 2918875.0 
294.498 2929150.0 
295.499 2938825.0 
296.503 2949400.0 
297.504 2958725.0 
298.505 2969025.0 
299.506 2979000.0 
300.507 2989250.0 
301.507 2999825.0 
302.509 3009500.0 
303.509 3019475.0 
304.509 3029400.0 
305.51 3039075.0 
306.511 3048425.0 
307.512 3058675.0 
308.512 3068625.0 
309.513 3079200.0 
310.514 3089125.0 
311.514 3099700.0 
312.515 3109625.0 
313.515 3118975.0 
314.525 3130175.0 
315.526 3139725.0 
316.526 3149050.0 
317.527 3159300.0 
318.53 3169575.0 
319.531 3179250.0 
320.532 3189500.0 
321.532 3199450.0 
322.532 3209075.0 
323.533 3219650.0 
324.534 3229875.0 
325.535 3239825.0 
326.536 3249175.0 
327.536 3258825.0 
328.537 3268425.0 
329.539 3277775.0 
330.539 3288050.0 
331.539 3299275.0 
332.541 3309200.0 
333.541 3319825.0 
334.541 3329450.0 
335.542 3339125.0 
336.543 3349425.0 
337.544 3359675.0 
338.544 3370300.0 
339.544 3380300.0 
340.545 3389975.0 
341.545 3399975.0 
342.546 3410575.0 
343.548 3420850.0 
344.548 3430500.0 
345.549 3440500.0 
346.549 3450150.0 
347.55 3459800.0 
348.551 3469150.0 
349.551 3478825.0 
350.552 3489100.0 
351.553 3499700.0 
352.553 3509700.0 
353.554 3519975.0 
354.554 3529325.0 
355.554 3539925.0 
356.555 3550225.0 
357.556 3559875.0 
358.556 3569850.0 
359.559 3579525.0 
360.559 3589500.0 
