Time Mean Min Max StDev ConfidenceInterval
0 1023 1023 1023 0 0
1 1023 1023 1023 0 0
2 1022 1022 1022 0 0
3 1021 1021 1021 0 0
4 1021 1021 1021 0 0
5 1021 1021 1021 0 0
6 1021 1021 1021 0 0
7 1021 1021 1021 0 0
8 1021 1021 1021 0 0
9 1021 1021 1021 0 0
10 1021 1021 1021 0 0
11 1020 1020 1020 0 0
12 1019 1019 1019 0 0
13 1019 1019 1019 0 0
14 1018 1018 1018 0 0
15 1018 1018 1018 0 0
16 1018 1018 1018 0 0
17 1018 1018 1018 0 0
18 1017 1017 1017 0 0
19 1017 1017 1017 0 0
20 1016 1016 1016 0 0
21 1015 1015 1015 0 0
22 1015 1015 1015 0 0
23 1015 1015 1015 0 0
24 1015 1015 1015 0 0
25 1015 1015 1015 0 0
26 1014 1014 1014 0 0
27 1014 1014 1014 0 0
28 1014 1014 1014 0 0
29 1014 1014 1014 0 0
30 1011 1011 1011 0 0
31 1011 1011 1011 0 0
32 1010 1010 1010 0 0
33 1009 1009 1009 0 0
34 1008 1008 1008 0 0
35 1008 1008 1008 0 0
36 1008 1008 1008 0 0
37 1008 1008 1008 0 0
38 1008 1008 1008 0 0
39 1008 1008 1008 0 0
40 1007 1007 1007 0 0
41 1006 1006 1006 0 0
42 1006 1006 1006 0 0
43 1006 1006 1006 0 0
44 1005 1005 1005 0 0
45 1004 1004 1004 0 0
46 1004 1004 1004 0 0
47 1004 1004 1004 0 0
48 1004 1004 1004 0 0
49 1003 1003 1003 0 0
50 1002 1002 1002 0 0
51 1002 1002 1002 0 0
52 1002 1002 1002 0 0
53 1001 1001 1001 0 0
54 1001 1001 1001 0 0
55 1001 1001 1001 0 0
56 1000 1000 1000 0 0
57 1000 1000 1000 0 0
58 999 999 999 0 0
59 999 999 999 0 0
60 998 998 998 0 0
61 998 998 998 0 0
62 998 998 998 0 0
63 997 997 997 0 0
64 995 995 995 0 0
65 995 995 995 0 0
66 994 994 994 0 0
67 994 994 994 0 0
68 994 994 994 0 0
69 994 994 994 0 0
70 994 994 994 0 0
71 994 994 994 0 0
72 992 992 992 0 0
73 992 992 992 0 0
74 992 992 992 0 0
75 992 992 992 0 0
76 992 992 992 0 0
77 991 991 991 0 0
78 991 991 991 0 0
79 991 991 991 0 0
80 991 991 991 0 0
81 990 990 990 0 0
82 990 990 990 0 0
83 990 990 990 0 0
84 990 990 990 0 0
85 989 989 989 0 0
86 988 988 988 0 0
87 988 988 988 0 0
88 987 987 987 0 0
89 987 987 987 0 0
90 987 987 987 0 0
91 987 987 987 0 0
92 987 987 987 0 0
93 987 987 987 0 0
94 986 986 986 0 0
95 985 985 985 0 0
96 983 983 983 0 0
97 983 983 983 0 0
98 978 978 978 0 0
99 975 975 975 0 0
