Time Mean Min Max StDev ConfidenceInterval
0 6929400.0 6929400.0 6929400.0 0 0
1 6916200.0 6916200.0 6916200.0 0 0
2 6916200.0 6916200.0 6916200.0 0 0
3 6914100.0 6914100.0 6914100.0 0 0
4 6913500.0 6913500.0 6913500.0 0 0
5 6911700.0 6911700.0 6911700.0 0 0
6 6911100.0 6911100.0 6911100.0 0 0
7 6911100.0 6911100.0 6911100.0 0 0
8 6907500.0 6907500.0 6907500.0 0 0
9 6907500.0 6907500.0 6907500.0 0 0
10 6905700.0 6905700.0 6905700.0 0 0
11 6905100.0 6905100.0 6905100.0 0 0
12 6903900.0 6903900.0 6903900.0 0 0
13 6903900.0 6903900.0 6903900.0 0 0
14 6901800.0 6901800.0 6901800.0 0 0
15 6901500.0 6901500.0 6901500.0 0 0
16 6899700.0 6899700.0 6899700.0 0 0
17 6897300.0 6897300.0 6897300.0 0 0
18 6896400.0 6896400.0 6896400.0 0 0
19 6896100.0 6896100.0 6896100.0 0 0
20 6895500.0 6895500.0 6895500.0 0 0
21 6895200.0 6895200.0 6895200.0 0 0
22 6893700.0 6893700.0 6893700.0 0 0
23 6891000.0 6891000.0 6891000.0 0 0
24 6889800.0 6889800.0 6889800.0 0 0
25 6889200.0 6889200.0 6889200.0 0 0
26 6889200.0 6889200.0 6889200.0 0 0
27 6888600.0 6888600.0 6888600.0 0 0
28 6888600.0 6888600.0 6888600.0 0 0
29 6888600.0 6888600.0 6888600.0 0 0
30 6888600.0 6888600.0 6888600.0 0 0
31 6888300.0 6888300.0 6888300.0 0 0
32 6886800.0 6886800.0 6886800.0 0 0
33 6885900.0 6885900.0 6885900.0 0 0
34 6885600.0 6885600.0 6885600.0 0 0
35 6883800.0 6883800.0 6883800.0 0 0
36 6882900.0 6882900.0 6882900.0 0 0
37 6882600.0 6882600.0 6882600.0 0 0
38 6881400.0 6881400.0 6881400.0 0 0
39 6880200.0 6880200.0 6880200.0 0 0
40 6880200.0 6880200.0 6880200.0 0 0
41 6879900.0 6879900.0 6879900.0 0 0
42 6879600.0 6879600.0 6879600.0 0 0
43 6879000.0 6879000.0 6879000.0 0 0
44 6878700.0 6878700.0 6878700.0 0 0
45 6878700.0 6878700.0 6878700.0 0 0
46 6878400.0 6878400.0 6878400.0 0 0
47 6878400.0 6878400.0 6878400.0 0 0
48 6878400.0 6878400.0 6878400.0 0 0
49 6878100.0 6878100.0 6878100.0 0 0
50 6877500.0 6877500.0 6877500.0 0 0
51 6877500.0 6877500.0 6877500.0 0 0
52 6877500.0 6877500.0 6877500.0 0 0
53 6877200.0 6877200.0 6877200.0 0 0
54 6876900.0 6876900.0 6876900.0 0 0
55 6875100.0 6875100.0 6875100.0 0 0
56 6873000.0 6873000.0 6873000.0 0 0
57 6872100.0 6872100.0 6872100.0 0 0
58 6870900.0 6870900.0 6870900.0 0 0
59 6870900.0 6870900.0 6870900.0 0 0
60 6870300.0 6870300.0 6870300.0 0 0
61 6869700.0 6869700.0 6869700.0 0 0
62 6868800.0 6868800.0 6868800.0 0 0
63 6868500.0 6868500.0 6868500.0 0 0
64 6868200.0 6868200.0 6868200.0 0 0
65 6868200.0 6868200.0 6868200.0 0 0
66 6867600.0 6867600.0 6867600.0 0 0
67 6867000.0 6867000.0 6867000.0 0 0
68 6865800.0 6865800.0 6865800.0 0 0
69 6865800.0 6865800.0 6865800.0 0 0
70 6865500.0 6865500.0 6865500.0 0 0
71 6865200.0 6865200.0 6865200.0 0 0
72 6865200.0 6865200.0 6865200.0 0 0
73 6864900.0 6864900.0 6864900.0 0 0
74 6864600.0 6864600.0 6864600.0 0 0
75 6864300.0 6864300.0 6864300.0 0 0
76 6863700.0 6863700.0 6863700.0 0 0
77 6863700.0 6863700.0 6863700.0 0 0
78 6863100.0 6863100.0 6863100.0 0 0
79 6862500.0 6862500.0 6862500.0 0 0
80 6862500.0 6862500.0 6862500.0 0 0
81 6861000.0 6861000.0 6861000.0 0 0
82 6857100.0 6857100.0 6857100.0 0 0
83 6856500.0 6856500.0 6856500.0 0 0
84 6855600.0 6855600.0 6855600.0 0 0
85 6853800.0 6853800.0 6853800.0 0 0
86 6852600.0 6852600.0 6852600.0 0 0
87 6851100.0 6851100.0 6851100.0 0 0
88 6850800.0 6850800.0 6850800.0 0 0
89 6850500.0 6850500.0 6850500.0 0 0
90 6850500.0 6850500.0 6850500.0 0 0
91 6849900.0 6849900.0 6849900.0 0 0
92 6849600.0 6849600.0 6849600.0 0 0
93 6848400.0 6848400.0 6848400.0 0 0
94 6848100.0 6848100.0 6848100.0 0 0
95 6846000.0 6846000.0 6846000.0 0 0
96 6844500.0 6844500.0 6844500.0 0 0
97 6843000.0 6843000.0 6843000.0 0 0
98 6842100.0 6842100.0 6842100.0 0 0
99 6838200.0 6838200.0 6838200.0 0 0
