Time Mean Min Max StDev ConfidenceInterval
0 7578000.0 7578000.0 7578000.0 0 0
1 7483800.0 7483800.0 7483800.0 0 0
2 7474500.0 7474500.0 7474500.0 0 0
3 7407900.0 7407900.0 7407900.0 0 0
4 7388400.0 7388400.0 7388400.0 0 0
5 7266300.0 7266300.0 7266300.0 0 0
6 7236300.0 7236300.0 7236300.0 0 0
7 7223100.0 7223100.0 7223100.0 0 0
8 7213500.0 7213500.0 7213500.0 0 0
9 7205400.0 7205400.0 7205400.0 0 0
10 7202100.0 7202100.0 7202100.0 0 0
11 7194600.0 7194600.0 7194600.0 0 0
12 7173300.0 7173300.0 7173300.0 0 0
13 7153800.0 7153800.0 7153800.0 0 0
14 7146600.0 7146600.0 7146600.0 0 0
15 7128600.0 7128600.0 7128600.0 0 0
16 7104900.0 7104900.0 7104900.0 0 0
17 7101900.0 7101900.0 7101900.0 0 0
18 7101300.0 7101300.0 7101300.0 0 0
19 7098900.0 7098900.0 7098900.0 0 0
20 7094700.0 7094700.0 7094700.0 0 0
21 7050000.0 7050000.0 7050000.0 0 0
22 7039200.0 7039200.0 7039200.0 0 0
23 7037100.0 7037100.0 7037100.0 0 0
24 7016400.0 7016400.0 7016400.0 0 0
25 7016100.0 7016100.0 7016100.0 0 0
26 7005900.0 7005900.0 7005900.0 0 0
27 7003500.0 7003500.0 7003500.0 0 0
28 6987600.0 6987600.0 6987600.0 0 0
29 6979200.0 6979200.0 6979200.0 0 0
30 6966300.0 6966300.0 6966300.0 0 0
31 6965700.0 6965700.0 6965700.0 0 0
32 6955500.0 6955500.0 6955500.0 0 0
33 6951900.0 6951900.0 6951900.0 0 0
34 6942900.0 6942900.0 6942900.0 0 0
35 6936000.0 6936000.0 6936000.0 0 0
36 6920100.0 6920100.0 6920100.0 0 0
37 6918000.0 6918000.0 6918000.0 0 0
38 6912000.0 6912000.0 6912000.0 0 0
39 6889800.0 6889800.0 6889800.0 0 0
40 6882000.0 6882000.0 6882000.0 0 0
41 6880500.0 6880500.0 6880500.0 0 0
42 6864900.0 6864900.0 6864900.0 0 0
43 6863100.0 6863100.0 6863100.0 0 0
44 6861900.0 6861900.0 6861900.0 0 0
45 6851100.0 6851100.0 6851100.0 0 0
46 6841500.0 6841500.0 6841500.0 0 0
47 6838500.0 6838500.0 6838500.0 0 0
48 6834300.0 6834300.0 6834300.0 0 0
49 6829200.0 6829200.0 6829200.0 0 0
50 6818700.0 6818700.0 6818700.0 0 0
51 6813300.0 6813300.0 6813300.0 0 0
52 6796800.0 6796800.0 6796800.0 0 0
53 6773100.0 6773100.0 6773100.0 0 0
54 6767100.0 6767100.0 6767100.0 0 0
55 6751800.0 6751800.0 6751800.0 0 0
56 6748200.0 6748200.0 6748200.0 0 0
57 6746100.0 6746100.0 6746100.0 0 0
58 6733200.0 6733200.0 6733200.0 0 0
59 6728100.0 6728100.0 6728100.0 0 0
60 6723000.0 6723000.0 6723000.0 0 0
61 6721800.0 6721800.0 6721800.0 0 0
62 6719400.0 6719400.0 6719400.0 0 0
63 6713400.0 6713400.0 6713400.0 0 0
64 6711300.0 6711300.0 6711300.0 0 0
65 6711300.0 6711300.0 6711300.0 0 0
66 6710400.0 6710400.0 6710400.0 0 0
67 6693600.0 6693600.0 6693600.0 0 0
68 6687900.0 6687900.0 6687900.0 0 0
69 6676500.0 6676500.0 6676500.0 0 0
70 6665700.0 6665700.0 6665700.0 0 0
71 6643200.0 6643200.0 6643200.0 0 0
72 6630000.0 6630000.0 6630000.0 0 0
73 6618600.0 6618600.0 6618600.0 0 0
74 6602400.0 6602400.0 6602400.0 0 0
75 6591900.0 6591900.0 6591900.0 0 0
76 6581400.0 6581400.0 6581400.0 0 0
77 6574800.0 6574800.0 6574800.0 0 0
78 6572100.0 6572100.0 6572100.0 0 0
79 6570000.0 6570000.0 6570000.0 0 0
80 6564600.0 6564600.0 6564600.0 0 0
81 6563400.0 6563400.0 6563400.0 0 0
82 6561900.0 6561900.0 6561900.0 0 0
83 6552000.0 6552000.0 6552000.0 0 0
84 6512700.0 6512700.0 6512700.0 0 0
85 6487500.0 6487500.0 6487500.0 0 0
86 6467100.0 6467100.0 6467100.0 0 0
87 6400200.0 6400200.0 6400200.0 0 0
88 6399900.0 6399900.0 6399900.0 0 0
89 6380700.0 6380700.0 6380700.0 0 0
90 6336600.0 6336600.0 6336600.0 0 0
91 6328200.0 6328200.0 6328200.0 0 0
92 6318900.0 6318900.0 6318900.0 0 0
93 6309300.0 6309300.0 6309300.0 0 0
94 6292200.0 6292200.0 6292200.0 0 0
95 6289500.0 6289500.0 6289500.0 0 0
96 6273000.0 6273000.0 6273000.0 0 0
97 6270300.0 6270300.0 6270300.0 0 0
98 6242400.0 6242400.0 6242400.0 0 0
99 6137700.0 6137700.0 6137700.0 0 0
