time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20007] Optional[local:sl-20004] Optional[local:sl-20003] Optional[local:sl-20005] Optional[local:sl-20006] Optional[local:sl-20009] Optional[local:sl-20013] Optional[local:sl-20015] Optional[local:sl-20017] Optional[local:sl-20014] Optional[local:sl-20011] Optional[local:sl-20008] Optional[local:sl-20010] Optional[local:sl-20012] Optional[local:sl-20018] Optional[local:sl-20016] Optional[local:sl-20019] Optional[local:sl-20021] Optional[local:sl-20020] Optional[local:sl-20025] Optional[local:sl-20023] Optional[local:sl-20022] Optional[local:sl-20027] Optional[local:sl-20026] Optional[local:sl-20028] Optional[local:sl-20029] Optional[local:sl-20031] Optional[local:sl-20032] Optional[local:sl-20030] Optional[local:sl-20035] Optional[local:sl-20033] Optional[local:sl-20036] Optional[local:sl-20024] Optional[local:sl-20038] Optional[local:sl-20034] Optional[local:sl-20039] Optional[local:sl-20040] Optional[local:sl-20041] Optional[local:sl-20042] Optional[local:sl-20043] Optional[local:sl-20045] Optional[local:sl-20046] Optional[local:sl-20047] Optional[local:sl-20048] Optional[local:sl-20049] Optional[local:sl-20050] Optional[local:sl-20051] Optional[local:sl-20052] Optional[local:sl-20053] Optional[local:sl-20054] Optional[local:sl-20055] Optional[local:sl-20056] Optional[local:sl-20057] Optional[local:sl-20058] Optional[local:sl-20059] Optional[local:sl-20060] Optional[local:sl-20063] Optional[local:sl-20064] Optional[local:sl-20065] Optional[local:sl-20066] Optional[local:sl-20067] Optional[local:sl-20068] Optional[local:sl-20069] Optional[local:sl-20070] Optional[local:sl-20037] Optional[local:sl-20044] Optional[local:sl-20072] Optional[local:sl-20074] Optional[local:sl-20062] Optional[local:sl-20078] Optional[local:sl-20075] Optional[local:sl-20082] Optional[local:sl-20071] Optional[local:sl-20083] Optional[local:sl-20084] Optional[local:sl-20086] Optional[local:sl-20087] Optional[local:sl-20088] Optional[local:sl-20073] Optional[local:sl-20089] Optional[local:sl-20090] Optional[local:sl-20091] Optional[local:sl-20094] Optional[local:sl-20095] Optional[local:sl-20096] Optional[local:sl-20097] Optional[local:sl-20076] Optional[local:sl-20080] Optional[local:sl-20098] Optional[local:sl-20099] Optional[local:sl-20061] Optional[local:sl-20093] Optional[local:sl-20085] Optional[local:sl-20077] Optional[local:sl-20081] Optional[local:sl-20079] Optional[local:sl-20092] 
0.0 8615.0 8902.0 8759.0 9204.0 8475.0 9099.0 9104.0 9105.0 8439.0 9070.0 9412.0 9177.0 9025.0 9019.0 9014.0 8971.0 8490.0 9134.0 8112.0 8953.0 8338.0 9206.0 9274.0 8144.0 6496.0 9248.0 8711.0 9253.0 8769.0 7747.0 8192.0 9306.0 9169.0 7265.0 9365.0 8779.0 8246.0 8437.0 8735.0 8786.0 9227.0 8251.0 8154.0 8692.0 9426.0 9671.0 9379.0 8891.0 9429.0 7328.0 8893.0 9387.0 7041.0 8557.0 8803.0 8852.0 9000.0 9196.0 8120.0 9050.0 8416.0 8709.0 9003.0 8907.0 9396.0 8907.0 8810.0 8097.0 8837.0 7588.0 7653.0 6164.0 9128.0 6475.0 8640.0 8712.0 8787.0 8001.0 8937.0 9381.0 9332.0 8031.0 6974.0 8940.0 8548.0 7176.0 7767.0 7276.0 7377.0 7214.0 8344.0 8508.0 9002.0 5870.0 8797.0 8543.0 5692.0 9178.0 7607.0 9090.0 
1.019 12352.0 9411.0 9696.0 9393.0 9393.0 10263.0 9375.0 9667.0 9951.0 9658.0 9649.0 9347.0 9931.0 9922.0 10214.0 9620.0 9912.0 9912.0 9902.0 9893.0 9602.0 10184.0 9893.0 9602.0 9893.0 9893.0 9311.0 9311.0 9602.0 10184.0 9602.0 9602.0 9893.0 9893.0 9311.0 9602.0 9893.0 9602.0 9311.0 9893.0 9602.0 9893.0 9893.0 9602.0 9311.0 9611.0 9902.0 9320.0 6990.0 9611.0 9902.0 7281.0 7281.0 9902.0 9902.0 9902.0 6990.0 7281.0 9902.0 9902.0 9611.0 9320.0 9611.0 9902.0 9320.0 9611.0 9902.0 9611.0 9611.0 9320.0 9320.0 9611.0 9320.0 7274.0 9602.0 6983.0 9602.0 9602.0 9602.0 10184.0 9893.0 7856.0 9311.0 9893.0 9311.0 6983.0 9602.0 9893.0 9602.0 9602.0 9602.0 9602.0 9893.0 9893.0 9311.0 9602.0 9602.0 9311.0 9602.0 9602.0 
2.038 9430.0 10019.0 9439.0 12401.0 10039.0 10049.0 12426.0 9763.0 9772.0 9772.0 10069.0 10069.0 9772.0 10069.0 9476.0 9476.0 9467.0 9763.0 9763.0 10059.0 9753.0 9458.0 9744.0 9744.0 9734.0 10029.0 10609.0 10019.0 10019.0 10009.0 9715.0 9705.0 9705.0 9696.0 9990.0 9402.0 9980.0 9686.0 9970.0 9384.0 9677.0 9677.0 9384.0 9677.0 9677.0 9384.0 9677.0 10263.0 10557.0 9970.0 9677.0 9677.0 9677.0 9970.0 9667.0 9375.0 9375.0 9667.0 9667.0 9375.0 9960.0 10253.0 9667.0 9667.0 9960.0 9960.0 9667.0 9960.0 9667.0 9960.0 9960.0 9960.0 10253.0 9677.0 9677.0 9970.0 9677.0 9677.0 9970.0 9384.0 9677.0 9384.0 9970.0 9677.0 10263.0 9384.0 9677.0 9677.0 9384.0 9677.0 9384.0 9677.0 9677.0 9677.0 9970.0 10263.0 9677.0 9677.0 9384.0 9970.0 
3.06 9686.0 12328.0 9980.0 9980.0 12035.0 12035.0 9980.0 9686.0 12035.0 9393.0 9696.0 12058.0 9705.0 11776.0 12659.0 10019.0 9439.0 9439.0 9744.0 9753.0 10059.0 10059.0 9476.0 10069.0 9486.0 9486.0 9792.0 9792.0 9792.0 9801.0 9801.0 10109.0 9811.0 9523.0 9821.0 10119.0 9831.0 10427.0 10139.0 10139.0 9840.0 10139.0 10139.0 10139.0 10437.0 10139.0 9840.0 9542.0 9840.0 9542.0 9542.0 9840.0 10437.0 10139.0 9552.0 10149.0 10447.0 10149.0 10149.0 9552.0 9850.0 9850.0 9850.0 9850.0 10149.0 9850.0 10149.0 10149.0 9552.0 9850.0 9850.0 9850.0 9850.0 9552.0 9850.0 11940.0 10149.0 10149.0 10447.0 9850.0 10149.0 12238.0 10149.0 9850.0 9552.0 10447.0 10149.0 9552.0 10447.0 10447.0 10447.0 9850.0 10149.0 9840.0 10139.0 9840.0 9840.0 10139.0 10139.0 9840.0 
4.066 9840.0 10139.0 10139.0 9840.0 9840.0 9840.0 9542.0 10139.0 10139.0 10139.0 10139.0 10139.0 10139.0 9840.0 9840.0 10139.0 10437.0 12226.0 12524.0 9840.0 10139.0 9840.0 9840.0 9840.0 10437.0 9840.0 9840.0 10139.0 9542.0 10139.0 10139.0 9840.0 9840.0 10139.0 9840.0 9840.0 9840.0 9840.0 9840.0 10139.0 10139.0 10139.0 9840.0 9840.0 9542.0 10139.0 10437.0 10139.0 9840.0 10139.0 10437.0 10139.0 11928.0 9542.0 10139.0 10139.0 9840.0 9542.0 9542.0 10139.0 9840.0 9840.0 9840.0 10437.0 10139.0 9542.0 9542.0 9840.0 10139.0 10139.0 9840.0 10139.0 10139.0 10139.0 10139.0 10437.0 9840.0 9840.0 9840.0 10139.0 9542.0 9840.0 10437.0 10139.0 10437.0 12524.0 10139.0 10437.0 9840.0 9840.0 9542.0 10139.0 10139.0 9850.0 9850.0 9552.0 10149.0 9850.0 10149.0 10149.0 
5.069 9870.0 10169.0 9870.0 10468.0 10468.0 10169.0 10468.0 9870.0 9870.0 9870.0 9870.0 10169.0 10169.0 10767.0 9870.0 9870.0 12562.0 10468.0 10169.0 10169.0 9870.0 9870.0 10169.0 10169.0 10169.0 9870.0 9870.0 9571.0 10468.0 10169.0 9870.0 10169.0 10169.0 10169.0 10767.0 10169.0 9860.0 9860.0 9860.0 8665.0 9860.0 9561.0 10159.0 10159.0 10458.0 9561.0 9561.0 9860.0 9860.0 10159.0 10159.0 10159.0 10159.0 9860.0 9860.0 9561.0 10458.0 10756.0 10159.0 10458.0 10159.0 10159.0 9561.0 9561.0 9860.0 9860.0 9860.0 9561.0 9860.0 9860.0 10159.0 9860.0 9860.0 9860.0 9860.0 10159.0 10159.0 9860.0 9860.0 9860.0 10756.0 10458.0 9860.0 10159.0 9860.0 9860.0 10159.0 9561.0 9860.0 10159.0 10458.0 9860.0 9860.0 10458.0 9860.0 10458.0 9860.0 10159.0 9860.0 9561.0 
6.072 8673.0 9870.0 10468.0 6281.0 2392.0 4187.0 6879.0 10468.0 7477.0 9272.0 7178.0 9571.0 9262.0 4183.0 10159.0 10458.0 4482.0 6872.0 2091.0 9561.0 10159.0 10159.0 10159.0 9860.0 9860.0 10756.0 10159.0 10458.0 10159.0 6573.0 10458.0 8964.0 10159.0 10159.0 8665.0 10159.0 8973.0 10169.0 10169.0 897.0 10169.0 9571.0 7477.0 9870.0 5383.0 10468.0 10468.0 10169.0 10468.0 6281.0 10169.0 10169.0 4486.0 10468.0 7178.0 9272.0 9870.0 9870.0 9870.0 10468.0 10169.0 10169.0 10468.0 10468.0 5682.0 6879.0 9571.0 10767.0 10468.0 8075.0 10169.0 9870.0 9870.0 10468.0 10767.0 9571.0 8374.0 9870.0 7178.0 10468.0 9571.0 7178.0 6879.0 8973.0 10169.0 9571.0 9870.0 9870.0 10169.0 10169.0 10169.0 10169.0 10169.0 8973.0 10468.0 10169.0 10169.0 10468.0 10169.0 9571.0 
7.075 1794.0 1495.0 5682.0 0.0 299.0 0.0 598.0 2991.0 299.0 897.0 299.0 598.0 598.0 0.0 2395.0 2095.0 0.0 598.0 0.0 598.0 598.0 1497.0 4491.0 3592.0 299.0 6287.0 4790.0 2095.0 1796.0 299.0 2395.0 299.0 6287.0 4790.0 598.0 2395.0 898.0 2395.0 6886.0 0.0 3892.0 299.0 299.0 4491.0 0.0 6287.0 1197.0 2694.0 1796.0 898.0 1497.0 1497.0 0.0 5988.0 598.0 598.0 1796.0 2395.0 1796.0 3892.0 2095.0 2095.0 6886.0 1497.0 1197.0 299.0 1497.0 2095.0 7485.0 0.0 6886.0 898.0 299.0 2095.0 1197.0 299.0 1497.0 3892.0 299.0 1796.0 4491.0 598.0 299.0 299.0 1796.0 299.0 1796.0 598.0 3892.0 4790.0 3892.0 1796.0 2395.0 1197.0 2095.0 2095.0 2095.0 4191.0 2694.0 299.0 
8.077 0.0 0.0 898.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 299.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 299.0 299.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 299.0 0.0 299.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 299.0 0.0 0.0 0.0 0.0 0.0 299.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 299.0 0.0 0.0 0.0 0.0 0.0 0.0 1196.0 0.0 0.0 598.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 598.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
9.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
