time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20008] Optional[local:sl-20004] Optional[local:sl-20003] Optional[local:sl-20005] Optional[local:sl-20007] Optional[local:sl-20009] Optional[local:sl-20013] Optional[local:sl-20010] Optional[local:sl-20015] Optional[local:sl-20016] Optional[local:sl-20022] Optional[local:sl-20023] Optional[local:sl-20018] Optional[local:sl-20021] Optional[local:sl-20014] Optional[local:sl-20025] Optional[local:sl-20026] Optional[local:sl-20028] Optional[local:sl-20039] Optional[local:sl-20032] Optional[local:sl-20035] Optional[local:sl-20030] Optional[local:sl-20040] Optional[local:sl-20038] Optional[local:sl-20056] Optional[local:sl-20055] Optional[local:sl-20046] Optional[local:sl-20043] Optional[local:sl-20037] Optional[local:sl-20029] Optional[local:sl-20054] Optional[local:sl-20068] Optional[local:sl-20062] Optional[local:sl-20050] Optional[local:sl-20034] Optional[local:sl-20019] Optional[local:sl-20067] Optional[local:sl-20066] Optional[local:sl-20033] Optional[local:sl-20053] Optional[local:sl-20070] Optional[local:sl-20045] Optional[local:sl-20044] Optional[local:sl-20041] Optional[local:sl-20058] Optional[local:sl-20052] Optional[local:sl-20051] Optional[local:sl-20072] Optional[local:sl-20061] Optional[local:sl-20071] Optional[local:sl-20011] Optional[local:sl-20027] Optional[local:sl-20017] Optional[local:sl-20036] Optional[local:sl-20031] Optional[local:sl-20024] Optional[local:sl-20020] Optional[local:sl-20006] Optional[local:sl-20049] Optional[local:sl-20060] Optional[local:sl-20047] Optional[local:sl-20065] Optional[local:sl-20069] Optional[local:sl-20012] Optional[local:sl-20057] Optional[local:sl-20074] Optional[local:sl-20059] Optional[local:sl-20063] Optional[local:sl-20042] Optional[local:sl-20075] Optional[local:sl-20048] Optional[local:sl-20064] Optional[local:sl-20076] Optional[local:sl-20078] Optional[local:sl-20077] Optional[local:sl-20081] Optional[local:sl-20073] Optional[local:sl-20082] Optional[local:sl-20084] Optional[local:sl-20085] Optional[local:sl-20086] Optional[local:sl-20087] Optional[local:sl-20094] Optional[local:sl-20096] Optional[local:sl-20079] Optional[local:sl-20080] Optional[local:sl-20090] Optional[local:sl-20092] Optional[local:sl-20093] Optional[local:sl-20095] Optional[local:sl-20098] Optional[local:sl-20099] Optional[local:sl-20091] Optional[local:sl-20083] Optional[local:sl-20089] Optional[local:sl-20088] Optional[local:sl-20097] 
0.0 50700.0 71100.0 72600.0 42000.0 38700.0 50700.0 77400.0 39900.0 58500.0 58500.0 47700.0 39000.0 66300.0 21000.0 50400.0 47700.0 51600.0 46200.0 54000.0 45000.0 58500.0 53400.0 58500.0 65700.0 50700.0 61200.0 48000.0 75600.0 60600.0 53100.0 50400.0 57300.0 39000.0 52500.0 86700.0 54300.0 10800.0 53400.0 40800.0 39000.0 49200.0 42900.0 35100.0 39300.0 50400.0 59700.0 64500.0 53700.0 53700.0 75900.0 17100.0 46800.0 54600.0 45000.0 63300.0 44400.0 47400.0 69300.0 46500.0 47700.0 49800.0 53100.0 5400.0 47400.0 77700.0 20400.0 41400.0 85200.0 28200.0 47100.0 13500.0 39000.0 49200.0 42900.0 58200.0 6900.0 48000.0 58200.0 51600.0 46800.0 70500.0 51300.0 81000.0 52800.0 64500.0 62100.0 57000.0 49500.0 72600.0 51600.0 76500.0 39000.0 61800.0 89700.0 63000.0 61500.0 39300.0 78900.0 45900.0 46200.0 
1.023 60600.0 80100.0 84300.0 50700.0 48300.0 60600.0 86400.0 48900.0 68100.0 70200.0 60300.0 49200.0 76800.0 32700.0 55500.0 60600.0 63900.0 52200.0 63000.0 51300.0 69900.0 61200.0 72300.0 75600.0 62400.0 69900.0 55800.0 82800.0 71100.0 62700.0 62400.0 65400.0 47700.0 65100.0 96900.0 67500.0 22800.0 67800.0 48000.0 46800.0 61200.0 48900.0 44100.0 48000.0 62100.0 72600.0 75900.0 62700.0 61200.0 84000.0 28200.0 51600.0 63900.0 51900.0 78600.0 48600.0 56100.0 84900.0 51900.0 53700.0 62700.0 64500.0 21900.0 53100.0 87600.0 33900.0 52500.0 95100.0 41100.0 53400.0 27300.0 45300.0 59100.0 49800.0 71400.0 20100.0 57600.0 67200.0 61500.0 58200.0 80100.0 58800.0 93600.0 62100.0 78600.0 73800.0 69900.0 55200.0 81600.0 60300.0 86400.0 48900.0 72600.0 102000.0 79200.0 75300.0 49500.0 89100.0 54000.0 53400.0 
2.046 73500.0 90300.0 94200.0 60900.0 58200.0 69600.0 96600.0 60300.0 76500.0 80100.0 68125.0 57600.0 85200.0 42900.0 69300.0 68400.0 75000.0 65400.0 75300.0 64500.0 77400.0 75000.0 79800.0 85500.0 72000.0 78000.0 67200.0 93900.0 81000.0 70800.0 71700.0 75900.0 58500.0 74700.0 101100.0 78600.0 37800.0 75600.0 61200.0 55200.0 70200.0 59400.0 50100.0 60625.0 69000.0 82200.0 82800.0 75600.0 75000.0 94800.0 42600.0 63600.0 75000.0 65700.0 86100.0 63000.0 69000.0 90600.0 64800.0 68400.0 70800.0 73500.0 35700.0 65400.0 97800.0 42900.0 60300.0 101100.0 48600.0 66600.0 39900.0 53700.0 69900.0 63000.0 82500.0 27900.0 67200.0 75300.0 72600.0 67800.0 87600.0 71100.0 99600.0 73800.0 85500.0 85500.0 78900.0 68400.0 88200.0 72300.0 93000.0 56700.0 80400.0 108625.0 84600.0 85500.0 63300.0 96900.0 66900.0 69000.0 
3.052 79500.0 101400.0 103200.0 75000.0 70500.0 76500.0 110425.0 73200.0 87600.0 91225.0 75325.0 69600.0 97800.0 48600.0 76500.0 78900.0 85500.0 74100.0 81600.0 74425.0 87600.0 83700.0 91500.0 99000.0 79800.0 93000.0 75600.0 103500.0 94500.0 81600.0 78300.0 87900.0 73500.0 83425.0 114000.0 83400.0 46500.0 85200.0 71100.0 67525.0 79800.0 69000.0 65400.0 70525.0 81000.0 94200.0 96600.0 82200.0 81000.0 108625.0 48000.0 75000.0 86400.0 73200.0 96025.0 72600.0 75000.0 101400.0 73200.0 77700.0 80700.0 84300.0 44100.0 75600.0 109800.0 48300.0 73200.0 114900.0 60300.0 73800.0 47400.0 64500.0 76800.0 71400.0 94825.0 45000.0 76200.0 87925.0 79525.0 75600.0 99300.0 78000.0 115200.0 80100.0 93600.0 94800.0 85800.0 75600.0 101725.0 77400.0 106500.0 70800.0 92400.0 122725.0 98100.0 92700.0 72000.0 111000.0 78600.0 75925.0 
4.057 92400.0 109200.0 112800.0 81000.0 78000.0 89700.0 116725.0 79800.0 98100.0 101125.0 90625.0 76500.0 107100.0 63000.0 91200.0 91500.0 97500.0 84325.0 94500.0 84925.0 97825.0 98700.0 103200.0 105300.0 94800.0 99300.0 88200.0 114325.0 101700.0 92400.0 94800.0 99600.0 78000.0 95425.0 124800.0 99300.0 51600.0 97500.0 76200.0 74725.0 89100.0 75600.0 72900.0 77725.0 93300.0 102300.0 105300.0 94525.0 93900.0 115825.0 60000.0 82800.0 98400.0 84300.0 107725.0 81300.0 87900.0 110700.0 83400.0 88200.0 93625.0 96000.0 51300.0 83700.0 118800.0 65100.0 78900.0 122425.0 71700.0 85200.0 59100.0 71100.0 91200.0 80700.0 102925.0 51600.0 87000.0 97825.0 90625.0 85500.0 110400.0 93325.0 122400.0 95400.0 106525.0 106500.0 99300.0 90600.0 111625.0 90000.0 114600.0 77100.0 100825.0 127825.0 108300.0 104700.0 78000.0 119100.0 84600.0 86425.0 
5.06 102325.0 120900.0 123600.0 93000.0 90000.0 100825.0 128425.0 93600.0 106800.0 106225.0 97225.0 86700.0 116100.0 72000.0 101700.0 101400.0 103500.0 95425.0 104700.0 96625.0 105325.0 107100.0 110725.0 116400.0 101100.0 106800.0 100200.0 124225.0 113125.0 101400.0 102300.0 108000.0 91800.0 104450.0 137100.0 108600.0 63300.0 106800.0 92100.0 89450.0 99000.0 90300.0 84925.0 89125.0 100800.0 111300.0 116750.0 105925.0 104700.0 126625.0 72000.0 96000.0 104700.0 94800.0 115825.0 94500.0 98400.0 120025.0 94500.0 99900.0 101425.0 104100.0 62100.0 97800.0 126000.0 72900.0 91500.0 134425.0 78300.0 96300.0 70500.0 83400.0 99000.0 94200.0 111625.0 61200.0 97800.0 105625.0 102325.0 96900.0 117300.0 103525.0 129900.0 104725.0 115825.0 114600.0 108600.0 103200.0 122125.0 99600.0 123900.0 89400.0 112525.0 137425.0 114300.0 112800.0 89700.0 127500.0 97800.0 96625.0 
6.064 111025.0 128400.0 131100.0 102000.0 98425.0 109525.0 136850.0 101100.0 116700.0 117925.0 106825.0 97200.0 126000.0 80100.0 108300.0 108300.0 110400.0 104125.0 113700.0 104125.0 116425.0 113100.0 119425.0 127200.0 109825.0 119100.0 108000.0 133550.0 120625.0 111300.0 110100.0 116100.0 99900.0 112850.0 144000.0 115500.0 72600.0 114000.0 99300.0 98450.0 107400.0 100525.0 94825.0 98425.0 112225.0 119725.0 126050.0 113425.0 110400.0 134125.0 77400.0 103200.0 113725.0 104100.0 126325.0 103200.0 106200.0 131150.0 102900.0 107700.0 110725.0 111900.0 69900.0 105900.0 137100.0 81900.0 101400.0 142825.0 87900.0 104700.0 77700.0 95700.0 108600.0 100200.0 117625.0 67800.0 106800.0 117050.0 110425.0 105300.0 128125.0 109225.0 138900.0 113125.0 125725.0 121800.0 116400.0 108000.0 130825.0 110100.0 133800.0 98700.0 120925.0 145825.0 124200.0 121200.0 97200.0 136500.0 105325.0 107150.0 
7.066 112525.0 131400.0 133500.0 104400.0 102050.0 111325.0 138950.0 102300.0 118500.0 120950.0 108625.0 101425.0 127500.0 81600.0 110700.0 110125.0 113100.0 106525.0 114900.0 106825.0 120650.0 114600.0 121825.0 128100.0 112525.0 123025.0 110425.0 136250.0 122425.0 113700.0 111600.0 118200.0 101100.0 115550.0 146100.0 117000.0 75600.0 116425.0 101400.0 101750.0 109800.0 104125.0 97825.0 101125.0 113725.0 121225.0 126950.0 116750.0 113100.0 136225.0 79500.0 106825.0 115225.0 107100.0 129050.0 104400.0 108600.0 132650.0 106500.0 109200.0 112225.0 113700.0 71700.0 108300.0 138900.0 83100.0 104700.0 145225.0 90000.0 106800.0 79525.0 99000.0 110400.0 105325.0 120325.0 69300.0 108900.0 119150.0 112550.0 107700.0 132025.0 111025.0 140400.0 114325.0 127525.0 123600.0 117300.0 110400.0 133225.0 111600.0 136200.0 101100.0 123625.0 150625.0 127225.0 122400.0 101100.0 139200.0 107125.0 109250.0 
8.068 112525.0 131700.0 133800.0 104400.0 102050.0 111325.0 138950.0 102300.0 118500.0 120950.0 108625.0 101725.0 127800.0 81600.0 110700.0 110750.0 113100.0 106525.0 114900.0 106825.0 120950.0 114600.0 122750.0 128100.0 112825.0 123025.0 110425.0 136250.0 122425.0 114000.0 111900.0 118825.0 101100.0 115850.0 146100.0 117925.0 75600.0 116425.0 102025.0 101750.0 110100.0 104125.0 97825.0 101125.0 113725.0 121225.0 127575.0 116750.0 113100.0 136525.0 79500.0 106825.0 115225.0 107400.0 129050.0 104400.0 108600.0 132650.0 107100.0 109200.0 112225.0 114325.0 71700.0 108600.0 138900.0 83100.0 105325.0 145225.0 90000.0 106800.0 79525.0 99000.0 111025.0 105625.0 120325.0 69300.0 108900.0 119450.0 112850.0 107700.0 132025.0 111025.0 141325.0 114325.0 127825.0 123900.0 117300.0 111025.0 133225.0 111600.0 136200.0 101100.0 124550.0 151550.0 127225.0 122400.0 101100.0 139825.0 107125.0 109250.0 
9.071 112525.0 132325.0 133800.0 104400.0 102050.0 111325.0 138950.0 102300.0 118500.0 120950.0 108625.0 101725.0 127800.0 81600.0 110700.0 110750.0 113100.0 106525.0 114900.0 106825.0 120950.0 114600.0 122750.0 128100.0 112825.0 123025.0 110425.0 136250.0 122425.0 114000.0 111900.0 118825.0 101100.0 115850.0 146100.0 117925.0 75600.0 116425.0 102025.0 102375.0 110100.0 104125.0 97825.0 101125.0 113725.0 121225.0 127575.0 116750.0 113100.0 137150.0 79500.0 106825.0 115225.0 107400.0 129675.0 105025.0 108600.0 132650.0 107725.0 109500.0 112225.0 114325.0 71700.0 108600.0 138900.0 83100.0 105325.0 145225.0 90300.0 106800.0 79525.0 99000.0 111025.0 105625.0 120325.0 69300.0 108900.0 120075.0 113475.0 107700.0 132650.0 111025.0 141325.0 114325.0 128450.0 124200.0 117300.0 111025.0 133850.0 111600.0 136200.0 101100.0 124550.0 151550.0 127225.0 123025.0 101400.0 139825.0 107125.0 109875.0 
