time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20003] Optional[local:sl-20008] Optional[local:sl-20004] Optional[local:sl-20009] Optional[local:sl-20005] Optional[local:sl-20007] Optional[local:sl-20011] Optional[local:sl-20012] Optional[local:sl-20006] Optional[local:sl-20010] Optional[local:sl-20013] Optional[local:sl-20014] Optional[local:sl-20016] Optional[local:sl-20015] Optional[local:sl-20018] Optional[local:sl-20019] Optional[local:sl-20020] Optional[local:sl-20021] Optional[local:sl-20024] Optional[local:sl-20026] Optional[local:sl-20028] Optional[local:sl-20030] Optional[local:sl-20025] Optional[local:sl-20037] Optional[local:sl-20027] Optional[local:sl-20017] Optional[local:sl-20038] Optional[local:sl-20040] Optional[local:sl-20033] Optional[local:sl-20022] Optional[local:sl-20029] Optional[local:sl-20041] Optional[local:sl-20045] Optional[local:sl-20035] Optional[local:sl-20042] Optional[local:sl-20034] Optional[local:sl-20044] Optional[local:sl-20049] Optional[local:sl-20039] Optional[local:sl-20043] Optional[local:sl-20052] Optional[local:sl-20046] Optional[local:sl-20055] Optional[local:sl-20047] Optional[local:sl-20058] Optional[local:sl-20056] Optional[local:sl-20057] Optional[local:sl-20062] Optional[local:sl-20059] Optional[local:sl-20063] Optional[local:sl-20066] Optional[local:sl-20067] Optional[local:sl-20069] Optional[local:sl-20070] Optional[local:sl-20065] Optional[local:sl-20073] Optional[local:sl-20074] Optional[local:sl-20077] Optional[local:sl-20078] Optional[local:sl-20082] Optional[local:sl-20076] Optional[local:sl-20083] Optional[local:sl-20075] Optional[local:sl-20051] Optional[local:sl-20023] Optional[local:sl-20031] Optional[local:sl-20032] Optional[local:sl-20053] Optional[local:sl-20060] Optional[local:sl-20064] Optional[local:sl-20079] Optional[local:sl-20054] Optional[local:sl-20080] Optional[local:sl-20068] Optional[local:sl-20072] Optional[local:sl-20089] Optional[local:sl-20092] Optional[local:sl-20093] Optional[local:sl-20087] Optional[local:sl-20098] Optional[local:sl-20099] Optional[local:sl-20036] Optional[local:sl-20088] Optional[local:sl-20048] Optional[local:sl-20071] Optional[local:sl-20050] Optional[local:sl-20061] Optional[local:sl-20081] Optional[local:sl-20086] Optional[local:sl-20095] Optional[local:sl-20084] Optional[local:sl-20090] Optional[local:sl-20085] Optional[local:sl-20094] Optional[local:sl-20096] Optional[local:sl-20091] Optional[local:sl-20097] 
0.0 1922.0 6177.0 7486.0 10919.0 8507.0 6429.0 822.0 7981.0 11758.0 9920.0 8711.0 10451.0 3727.0 8333.0 6884.0 9311.0 388.0 10438.0 9517.0 8360.0 9289.0 14111.0 7939.0 8137.0 10975.0 7269.0 8152.0 8056.0 8108.0 9967.0 7038.0 391.0 11145.0 6941.0 8750.0 9876.0 9144.0 10022.0 10759.0 14777.0 9835.0 7095.0 6900.0 11209.0 6852.0 10133.0 8518.0 8666.0 8030.0 7983.0 14155.0 6906.0 8229.0 9699.0 9405.0 10926.0 12691.0 8477.0 9751.0 7204.0 6960.0 10049.0 8385.0 7945.0 8043.0 2697.0 7603.0 5984.0 9864.0 8934.0 6676.0 6284.0 10163.0 8397.0 6338.0 14201.0 7714.0 6831.0 14707.0 8509.0 13184.0 8561.0 7872.0 7039.0 11038.0 13161.0 6557.0 7644.0 7349.0 6413.0 8730.0 13221.0 13270.0 8830.0 7254.0 789.0 8836.0 4098.0 7613.0 10001.0 
1.028 7879.0 9046.0 4085.0 10797.0 11089.0 7295.0 12840.0 8754.0 7879.0 10505.0 12840.0 8463.0 15758.0 13715.0 7295.0 12548.0 10505.0 9630.0 11381.0 13424.0 15466.0 11964.0 10214.0 11964.0 9338.0 5836.0 10797.0 9338.0 9046.0 11964.0 7587.0 12827.0 11953.0 6122.0 11953.0 10495.0 12536.0 9046.0 10797.0 9338.0 11089.0 6712.0 6420.0 9338.0 7587.0 14007.0 7879.0 7587.0 12256.0 5836.0 8463.0 6712.0 5544.0 11964.0 12840.0 13132.0 8171.0 10214.0 15758.0 7295.0 8171.0 13715.0 13715.0 12256.0 8754.0 8754.0 6128.0 7879.0 14299.0 10797.0 6712.0 9046.0 9922.0 10214.0 8171.0 7879.0 5544.0 8754.0 8463.0 11673.0 10214.0 4085.0 7587.0 6128.0 11964.0 9630.0 9912.0 6413.0 6122.0 8163.0 8171.0 10505.0 10797.0 8171.0 7003.0 9630.0 9630.0 13424.0 5252.0 13715.0 
2.051 13489.0 11436.0 12609.0 10263.0 9090.0 11754.0 10557.0 9970.0 10850.0 6744.0 8797.0 6451.0 7624.0 7917.0 8211.0 7331.0 9384.0 10263.0 7917.0 9090.0 6158.0 6744.0 10288.0 8797.0 8504.0 14076.0 9677.0 10263.0 8504.0 9090.0 9677.0 9099.0 8512.0 15264.0 9393.0 7925.0 9099.0 7632.0 8512.0 5870.0 7925.0 14677.0 15264.0 7925.0 14090.0 7632.0 12328.0 9099.0 7925.0 15264.0 9686.0 9980.0 14970.0 9393.0 9124.0 8830.0 8512.0 9099.0 8806.0 12035.0 10861.0 8806.0 7925.0 8806.0 10567.0 13796.0 14383.0 8219.0 8211.0 11143.0 8211.0 10557.0 9384.0 12903.0 10263.0 7917.0 13782.0 11436.0 7038.0 10263.0 4985.0 14076.0 11436.0 13196.0 7942.0 4985.0 12059.0 10861.0 10567.0 6164.0 11448.0 7925.0 5577.0 13502.0 9980.0 12622.0 11741.0 7632.0 12622.0 10567.0 
3.058 11916.0 11643.0 9235.0 9533.0 11022.0 10129.0 11320.0 8043.0 13133.0 9533.0 10749.0 11047.0 9831.0 8341.0 11618.0 11011.0 14583.0 13988.0 9523.0 10119.0 7738.0 15476.0 9821.0 6547.0 11309.0 8630.0 6547.0 8333.0 8333.0 11309.0 11011.0 14285.0 13690.0 8035.0 6845.0 8928.0 8630.0 11607.0 8655.0 14285.0 13120.0 8630.0 6845.0 12202.0 9250.0 12202.0 5654.0 8630.0 7142.0 5654.0 10416.0 8333.0 5654.0 8630.0 8035.0 12500.0 14880.0 11904.0 8953.0 11011.0 11904.0 11904.0 9523.0 9226.0 7142.0 8333.0 8333.0 12202.0 7745.0 5660.0 11345.0 10724.0 12810.0 6554.0 10427.0 12512.0 8937.0 12810.0 14895.0 11047.0 12810.0 7447.0 8962.0 8341.0 13406.0 13108.0 8043.0 8937.0 8937.0 14597.0 5958.0 14299.0 14299.0 4170.0 11916.0 12810.0 6554.0 12214.0 10724.0 8341.0 
4.064 6262.0 4174.0 8349.0 7157.0 9567.0 6262.0 6262.0 12823.0 7157.0 10427.0 9533.0 12512.0 13704.0 13108.0 7149.0 10139.0 8648.0 7753.0 10437.0 10139.0 13146.0 5666.0 13121.0 16998.0 8971.0 5964.0 14015.0 11332.0 11332.0 9840.0 5367.0 9244.0 8946.0 11928.0 14314.0 11033.0 12524.0 11033.0 10437.0 8349.0 7753.0 10735.0 11630.0 8648.0 9840.0 11332.0 13717.0 16103.0 11928.0 9244.0 10139.0 8076.0 11356.0 13419.0 12524.0 9840.0 9542.0 10139.0 10139.0 8349.0 6560.0 11332.0 11356.0 10437.0 13419.0 11630.0 13121.0 9542.0 14612.0 13717.0 9244.0 6262.0 8349.0 12524.0 6560.0 9542.0 9840.0 5069.0 8349.0 11630.0 8946.0 12524.0 11033.0 6883.0 8349.0 10139.0 6858.0 8349.0 7455.0 6262.0 13717.0 7753.0 6262.0 16128.0 9269.0 8051.0 14910.0 11630.0 5964.0 13121.0 
5.069 16417.0 13134.0 12238.0 11641.0 11044.0 14626.0 14029.0 9850.0 11641.0 12549.0 8964.0 8366.0 3884.0 9287.0 11653.0 8366.0 10159.0 9262.0 10159.0 9262.0 11080.0 10458.0 6872.0 5976.0 10458.0 15562.0 7470.0 11354.0 8366.0 8067.0 12549.0 8964.0 5976.0 11055.0 8366.0 8665.0 8665.0 9561.0 10159.0 11055.0 9561.0 10756.0 8964.0 12250.0 10159.0 7171.0 9262.0 8067.0 8665.0 11952.0 10159.0 12549.0 13446.0 8366.0 8391.0 9860.0 6872.0 10159.0 7793.0 11952.0 11653.0 6598.0 6274.0 8366.0 11354.0 9860.0 8366.0 11354.0 8092.0 7164.0 12537.0 14651.0 9875.0 9552.0 14054.0 11044.0 10746.0 14328.0 9850.0 6268.0 13159.0 9850.0 10746.0 11641.0 8955.0 8656.0 12263.0 11343.0 15223.0 15223.0 9850.0 9253.0 9253.0 8059.0 11044.0 8656.0 8059.0 6567.0 16716.0 7164.0 
6.073 7470.0 9561.0 9561.0 11354.0 9262.0 10159.0 9262.0 8067.0 7171.0 11354.0 9262.0 13769.0 11952.0 11653.0 13446.0 8366.0 10483.0 8665.0 10458.0 9860.0 8964.0 11055.0 10159.0 9860.0 10458.0 9262.0 11678.0 8067.0 12275.0 9860.0 10756.0 9262.0 10458.0 6573.0 7768.0 11977.0 8964.0 11653.0 10458.0 9561.0 11080.0 8366.0 8665.0 8067.0 10458.0 7768.0 8366.0 7768.0 11055.0 9262.0 10756.0 12574.0 6573.0 8964.0 10159.0 9262.0 12250.0 8067.0 11952.0 7470.0 10159.0 10159.0 12549.0 13446.0 6274.0 7470.0 8366.0 8665.0 9561.0 11365.0 10493.0 9870.0 9272.0 8075.0 10767.0 9571.0 7801.0 8673.0 10792.0 8973.0 11964.0 8374.0 9870.0 11964.0 8973.0 12861.0 9571.0 10767.0 9272.0 8673.0 8973.0 9870.0 11989.0 8399.0 9895.0 9571.0 7776.0 13185.0 6879.0 9870.0 
7.076 2093.0 5084.0 5383.0 5084.0 5732.0 3589.0 4785.0 6306.0 5408.0 4511.0 5982.0 4187.0 5982.0 2991.0 5109.0 6879.0 2991.0 3888.0 4486.0 3888.0 5084.0 3290.0 1495.0 3888.0 5383.0 3888.0 4187.0 3589.0 6281.0 6605.0 6281.0 4486.0 5682.0 4785.0 3888.0 6281.0 4810.0 3290.0 5408.0 5084.0 5383.0 2991.0 5383.0 5408.0 3290.0 5084.0 5383.0 5109.0 5682.0 4486.0 3888.0 6281.0 5408.0 5408.0 4785.0 3888.0 2691.0 3589.0 3888.0 4785.0 5383.0 4187.0 4486.0 2991.0 3589.0 6580.0 4785.0 5383.0 4486.0 3888.0 5084.0 3888.0 4785.0 2691.0 4187.0 3888.0 5682.0 3286.0 2988.0 3585.0 3884.0 4482.0 3585.0 4482.0 4482.0 5079.0 7171.0 5976.0 5677.0 3884.0 4482.0 4183.0 6897.0 5677.0 4183.0 4482.0 5079.0 3884.0 4482.0 3585.0 
8.078 299.0 299.0 0.0 0.0 299.0 0.0 598.0 0.0 898.0 299.0 299.0 0.0 0.0 623.0 923.0 898.0 299.0 1222.0 0.0 299.0 0.0 623.0 623.0 299.0 1222.0 0.0 623.0 0.0 299.0 0.0 598.0 0.0 299.0 0.0 299.0 299.0 299.0 0.0 598.0 299.0 0.0 0.0 623.0 299.0 922.0 0.0 623.0 0.0 598.0 598.0 897.0 0.0 598.0 598.0 0.0 623.0 299.0 299.0 0.0 897.0 0.0 598.0 1221.0 0.0 299.0 299.0 299.0 299.0 0.0 0.0 299.0 299.0 897.0 0.0 299.0 299.0 0.0 0.0 299.0 1197.0 623.0 299.0 299.0 299.0 299.0 0.0 0.0 0.0 299.0 0.0 0.0 0.0 299.0 0.0 0.0 598.0 0.0 598.0 0.0 299.0 
9.081 0.0 0.0 0.0 0.0 0.0 623.0 623.0 0.0 623.0 0.0 623.0 623.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 623.0 623.0 0.0 0.0 0.0 0.0 0.0 0.0 623.0 0.0 0.0 0.0 0.0 299.0 623.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 299.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 623.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 623.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 299.0 623.0 0.0 0.0 0.0 0.0 0.0 299.0 299.0 0.0 0.0 0.0 
