Time Mean Min Max StDev ConfidenceInterval
0 1000 1000 1000 0 0
1 1000 1000 1000 0 0
2 1000 1000 1000 0 0
3 1000 1000 1000 0 0
4 999 999 999 0 0
5 999 999 999 0 0
6 999 999 999 0 0
7 998 998 998 0 0
8 997 997 997 0 0
9 997 997 997 0 0
10 997 997 997 0 0
11 997 997 997 0 0
12 996 996 996 0 0
13 996 996 996 0 0
14 995 995 995 0 0
15 995 995 995 0 0
16 995 995 995 0 0
17 995 995 995 0 0
18 994 994 994 0 0
19 994 994 994 0 0
20 994 994 994 0 0
21 993 993 993 0 0
22 993 993 993 0 0
23 993 993 993 0 0
24 993 993 993 0 0
25 993 993 993 0 0
26 993 993 993 0 0
27 992 992 992 0 0
28 992 992 992 0 0
29 992 992 992 0 0
30 992 992 992 0 0
31 991 991 991 0 0
32 991 991 991 0 0
33 990 990 990 0 0
34 990 990 990 0 0
35 990 990 990 0 0
36 990 990 990 0 0
37 989 989 989 0 0
38 989 989 989 0 0
39 989 989 989 0 0
40 989 989 989 0 0
41 989 989 989 0 0
42 988 988 988 0 0
43 988 988 988 0 0
44 988 988 988 0 0
45 988 988 988 0 0
46 987 987 987 0 0
47 987 987 987 0 0
48 987 987 987 0 0
49 987 987 987 0 0
50 986 986 986 0 0
51 986 986 986 0 0
52 986 986 986 0 0
53 985 985 985 0 0
54 984 984 984 0 0
55 984 984 984 0 0
56 983 983 983 0 0
57 983 983 983 0 0
58 983 983 983 0 0
59 983 983 983 0 0
60 983 983 983 0 0
61 983 983 983 0 0
62 983 983 983 0 0
63 983 983 983 0 0
64 983 983 983 0 0
65 982 982 982 0 0
66 982 982 982 0 0
67 982 982 982 0 0
68 982 982 982 0 0
69 982 982 982 0 0
70 981 981 981 0 0
71 981 981 981 0 0
72 981 981 981 0 0
73 980 980 980 0 0
74 979 979 979 0 0
75 979 979 979 0 0
76 979 979 979 0 0
77 979 979 979 0 0
78 979 979 979 0 0
79 978 978 978 0 0
80 978 978 978 0 0
81 978 978 978 0 0
82 978 978 978 0 0
83 977 977 977 0 0
84 977 977 977 0 0
85 977 977 977 0 0
86 977 977 977 0 0
87 977 977 977 0 0
88 976 976 976 0 0
89 975 975 975 0 0
90 975 975 975 0 0
91 974 974 974 0 0
92 974 974 974 0 0
93 973 973 973 0 0
94 972 972 972 0 0
95 971 971 971 0 0
96 967 967 967 0 0
97 966 966 966 0 0
98 965 965 965 0 0
99 964 964 964 0 0
