Time Mean Min Max StDev ConfidenceInterval
0 52068.0 2400.0 90600.0 17558.43853069981 3441.4539520171625
1 62046.0 13200.0 100200.0 18045.11417128042 3536.842377570962
2 72166.5 22800.0 106200.0 16865.82268968816 3305.7012471788794
3 82402.25 37500.0 121800.0 17374.694276432463 3405.4400781807626
4 92526.5 46200.0 129000.0 17655.823151629498 3460.5413377193813
5 102744.5 56400.0 140100.0 16965.35558576699 3325.2096948103294
6 112582.0 66900.0 149725.0 17225.941384018945 3376.2845112677132
7 117220.5 69925.0 154800.0 17213.934769613985 3373.931214844341
8 117541.75 70225.0 155100.0 17248.74979183457 3380.7549591995753
9 117631.75 70225.0 155100.0 17231.591280789533 3377.3918910347484
10 117734.5 70225.0 155100.0 17250.06433160307 3381.0126089942014
11 117830.75 70225.0 155725.0 17230.19828724199 3377.11886429943
12 117927.25 70225.0 155725.0 17236.425303992153 3378.3393595824623
13 118036.25 70850.0 155725.0 17207.717677372017 3372.712664764915
14 118135.75 70850.0 156350.0 17240.73285511127 3379.183639601809
15 118235.5 70850.0 156350.0 17269.519471536485 3384.825816421151
16 118335.25 70850.0 156350.0 17298.42350461306 3390.4910069041593
17 118434.75 71475.0 156350.0 17277.242393821085 3386.3395091889324
18 118531.5 71475.0 156350.0 17267.48989642769 3384.4280196998275
19 118634.5 71475.0 156350.0 17269.399785151596 3384.8023578897128
20 118731.25 71475.0 156350.0 17265.175353507817 3383.974369287532
21 118828.0 71700.0 156350.0 17271.01350748582 3385.1186474672204
22 118931.0 72000.0 156350.0 17278.68940561632 3386.623123500798
23 119027.5 72000.0 156350.0 17302.85070954401 3391.358739070626
24 119130.5 72000.0 156350.0 17248.31955656123 3380.670633086001
25 119230.5 72625.0 156350.0 17192.388636260002 3369.708172706961
26 119330.25 72625.0 156350.0 17226.09941918062 3376.315486159401
27 119430.25 72625.0 156350.0 17209.93564885932 3373.147387176426
28 119527.0 72625.0 156350.0 17225.21740491146 3376.1426113626453
29 119627.0 72625.0 156350.0 17210.933540436825 3373.342973925618
30 119723.75 72625.0 156350.0 17199.271542816437 3371.0572223920217
31 119830.0 73250.0 156975.0 17205.347345308877 3372.2480796805403
32 119930.0 73250.0 156975.0 17206.23528922823 3372.422116688733
33 120030.0 73250.0 157400.0 17260.32263237676 3383.0232359458446
34 120126.75 73250.0 157400.0 17225.35248902652 3376.169087849198
35 120229.75 73250.0 157400.0 17237.975129145252 3378.6431253124692
36 120329.75 73250.0 158025.0 17267.23034026411 3384.377146691765
37 120429.75 73875.0 158025.0 17267.42192063869 3384.414696445184
38 120529.75 73875.0 158025.0 17269.0941369432 3384.742450840867
39 120626.5 74500.0 158650.0 17260.866076975188 3383.1297510871364
40 120726.5 74500.0 158650.0 17255.351907290806 3382.048973828998
41 120826.5 74500.0 159275.0 17276.056963089675 3386.1071647655763
42 120929.5 74500.0 159275.0 17275.665060507174 3386.030351859406
43 121029.5 74500.0 159275.0 17240.127602412773 3379.0650100729035
44 121132.5 74500.0 159275.0 17269.89757855377 3384.899925396539
45 121232.5 74500.0 159275.0 17277.976325631742 3386.483359823821
46 121332.5 74500.0 159275.0 17296.338178757356 3390.0822830364423
47 121432.5 74500.0 159275.0 17337.47200736199 3398.14451344295
48 121532.5 75125.0 159275.0 17303.238917040995 3391.434827740035
49 121632.5 75125.0 159275.0 17306.551461364234 3392.0840864273896
50 121732.5 75125.0 159275.0 17317.6573563843 3394.2608418513228
51 121838.75 75125.0 159475.0 17341.94911707715 3399.022026947122
52 121938.75 75125.0 159475.0 17344.999488616337 3399.619899768802
53 122038.75 75125.0 160100.0 17381.396931210766 3406.75379851731
54 122138.75 75125.0 160100.0 17372.997441097603 3405.1074984551296
55 122238.75 75725.0 160725.0 17364.566620758713 3403.455057668708
56 122338.75 75750.0 160725.0 17334.575776785285 3397.5768522499156
57 122445.0 75750.0 160725.0 17351.30260298062 3400.8553101842017
58 122545.0 75750.0 161350.0 17347.274405304404 3400.0657834396634
