SortedPeers TotalDownloaded
0 7008000.0
1 7006800.0
2 7004400.0
3 6996600.0
4 6995100.0
5 6994200.0
6 6992700.0
7 6992100.0
8 6991800.0
9 6986400.0
10 6984900.0
11 6981000.0
12 6980700.0
13 6978900.0
14 6977400.0
15 6972600.0
16 6971400.0
17 6968400.0
18 6968100.0
19 6968100.0
20 6967800.0
21 6967200.0
22 6965400.0
23 6965400.0
24 6964800.0
25 6964500.0
26 6964200.0
27 6963900.0
28 6963600.0
29 6963300.0
30 6962700.0
31 6960600.0
32 6960300.0
33 6958800.0
34 6957600.0
35 6957300.0
36 6957300.0
37 6957000.0
38 6955800.0
39 6954900.0
40 6954300.0
41 6951600.0
42 6951300.0
43 6950700.0
44 6950100.0
45 6949500.0
46 6949500.0
47 6948000.0
48 6946800.0
49 6946500.0
50 6946500.0
51 6946500.0
52 6946200.0
53 6945900.0
54 6945000.0
55 6944700.0
56 6943500.0
57 6942900.0
58 6942000.0
59 6942000.0
60 6941700.0
61 6940800.0
62 6940200.0
63 6939600.0
64 6939300.0
65 6939300.0
66 6939300.0
67 6938400.0
68 6938400.0
69 6938100.0
70 6936600.0
71 6936300.0
72 6935700.0
73 6934800.0
74 6934500.0
75 6934500.0
76 6932400.0
77 6929100.0
78 6928800.0
79 6924600.0
80 6924600.0
81 6924300.0
82 6924300.0
83 6922800.0
84 6922200.0
85 6919800.0
86 6919800.0
87 6919200.0
88 6918000.0
89 6918000.0
90 6916200.0
91 6915900.0
92 6915600.0
93 6910500.0
94 6907500.0
95 6905400.0
96 6899100.0
97 6896700.0
98 6895200.0
99 6889500.0
