Time Mean Min Max StDev ConfidenceInterval
0 7048200.0 7048200.0 7048200.0 0 0
1 7037100.0 7037100.0 7037100.0 0 0
2 7035000.0 7035000.0 7035000.0 0 0
3 7033200.0 7033200.0 7033200.0 0 0
4 7029600.0 7029600.0 7029600.0 0 0
5 7027500.0 7027500.0 7027500.0 0 0
6 7026300.0 7026300.0 7026300.0 0 0
7 7024500.0 7024500.0 7024500.0 0 0
8 7023900.0 7023900.0 7023900.0 0 0
9 7021800.0 7021800.0 7021800.0 0 0
10 7021200.0 7021200.0 7021200.0 0 0
11 7019700.0 7019700.0 7019700.0 0 0
12 7019100.0 7019100.0 7019100.0 0 0
13 7018200.0 7018200.0 7018200.0 0 0
14 7014900.0 7014900.0 7014900.0 0 0
15 7014900.0 7014900.0 7014900.0 0 0
16 7014000.0 7014000.0 7014000.0 0 0
17 7013400.0 7013400.0 7013400.0 0 0
18 7013400.0 7013400.0 7013400.0 0 0
19 7011000.0 7011000.0 7011000.0 0 0
20 7010100.0 7010100.0 7010100.0 0 0
21 7008900.0 7008900.0 7008900.0 0 0
22 7008900.0 7008900.0 7008900.0 0 0
23 7008000.0 7008000.0 7008000.0 0 0
24 7007700.0 7007700.0 7007700.0 0 0
25 7007400.0 7007400.0 7007400.0 0 0
26 7007100.0 7007100.0 7007100.0 0 0
27 7003500.0 7003500.0 7003500.0 0 0
28 7002600.0 7002600.0 7002600.0 0 0
29 7001700.0 7001700.0 7001700.0 0 0
30 7001700.0 7001700.0 7001700.0 0 0
31 7001700.0 7001700.0 7001700.0 0 0
32 7001100.0 7001100.0 7001100.0 0 0
33 7000500.0 7000500.0 7000500.0 0 0
34 6998700.0 6998700.0 6998700.0 0 0
35 6998400.0 6998400.0 6998400.0 0 0
36 6997800.0 6997800.0 6997800.0 0 0
37 6996000.0 6996000.0 6996000.0 0 0
38 6995700.0 6995700.0 6995700.0 0 0
39 6994200.0 6994200.0 6994200.0 0 0
40 6993300.0 6993300.0 6993300.0 0 0
41 6992100.0 6992100.0 6992100.0 0 0
42 6991800.0 6991800.0 6991800.0 0 0
43 6991500.0 6991500.0 6991500.0 0 0
44 6991200.0 6991200.0 6991200.0 0 0
45 6990300.0 6990300.0 6990300.0 0 0
46 6989400.0 6989400.0 6989400.0 0 0
47 6988800.0 6988800.0 6988800.0 0 0
48 6987600.0 6987600.0 6987600.0 0 0
49 6987000.0 6987000.0 6987000.0 0 0
50 6986700.0 6986700.0 6986700.0 0 0
51 6985500.0 6985500.0 6985500.0 0 0
52 6984900.0 6984900.0 6984900.0 0 0
53 6983700.0 6983700.0 6983700.0 0 0
54 6981600.0 6981600.0 6981600.0 0 0
55 6981600.0 6981600.0 6981600.0 0 0
56 6979500.0 6979500.0 6979500.0 0 0
57 6979500.0 6979500.0 6979500.0 0 0
58 6979200.0 6979200.0 6979200.0 0 0
59 6978900.0 6978900.0 6978900.0 0 0
60 6978300.0 6978300.0 6978300.0 0 0
61 6978000.0 6978000.0 6978000.0 0 0
62 6977700.0 6977700.0 6977700.0 0 0
63 6977400.0 6977400.0 6977400.0 0 0
64 6976500.0 6976500.0 6976500.0 0 0
65 6975000.0 6975000.0 6975000.0 0 0
66 6974700.0 6974700.0 6974700.0 0 0
67 6974100.0 6974100.0 6974100.0 0 0
68 6973500.0 6973500.0 6973500.0 0 0
69 6972000.0 6972000.0 6972000.0 0 0
70 6971400.0 6971400.0 6971400.0 0 0
71 6970800.0 6970800.0 6970800.0 0 0
72 6969000.0 6969000.0 6969000.0 0 0
73 6968700.0 6968700.0 6968700.0 0 0
74 6968100.0 6968100.0 6968100.0 0 0
75 6963300.0 6963300.0 6963300.0 0 0
76 6963300.0 6963300.0 6963300.0 0 0
77 6963000.0 6963000.0 6963000.0 0 0
78 6963000.0 6963000.0 6963000.0 0 0
79 6961200.0 6961200.0 6961200.0 0 0
80 6960000.0 6960000.0 6960000.0 0 0
81 6959400.0 6959400.0 6959400.0 0 0
82 6958800.0 6958800.0 6958800.0 0 0
83 6958200.0 6958200.0 6958200.0 0 0
84 6956400.0 6956400.0 6956400.0 0 0
85 6955200.0 6955200.0 6955200.0 0 0
86 6955200.0 6955200.0 6955200.0 0 0
87 6953400.0 6953400.0 6953400.0 0 0
88 6951600.0 6951600.0 6951600.0 0 0
89 6951000.0 6951000.0 6951000.0 0 0
90 6950400.0 6950400.0 6950400.0 0 0
91 6949800.0 6949800.0 6949800.0 0 0
92 6948300.0 6948300.0 6948300.0 0 0
93 6942300.0 6942300.0 6942300.0 0 0
94 6939600.0 6939600.0 6939600.0 0 0
95 6939000.0 6939000.0 6939000.0 0 0
96 6936000.0 6936000.0 6936000.0 0 0
97 6934500.0 6934500.0 6934500.0 0 0
98 6933000.0 6933000.0 6933000.0 0 0
99 6910500.0 6910500.0 6910500.0 0 0
