time Optional[local:ss-10000] 
0.0 9391.0 
1.032 11046.0 
2.056 9439.0 
3.074 9774.0 
4.08 9154.0 
5.084 9835.0 
6.088 9586.0 
7.09 9930.0 
8.093 9920.0 
9.096 9297.0 
10.099 11415.0 
11.101 9905.0 
12.103 9930.0 
13.105 9331.0 
14.107 8982.0 
15.109 9006.0 
16.111 11191.0 
17.114 9331.0 
18.116 9955.0 
19.118 9955.0 
20.12 10578.0 
21.122 9655.0 
22.123 11188.0 
23.126 10244.0 
24.127 9665.0 
25.129 9655.0 
26.131 9980.0 
27.133 9655.0 
28.135 10279.0 
29.137 10279.0 
30.14 9646.0 
31.142 9955.0 
32.144 10603.0 
33.146 9655.0 
34.148 9980.0 
35.15 9980.0 
36.152 9980.0 
37.154 10279.0 
38.156 9980.0 
39.158 9980.0 
40.16 10603.0 
41.162 9980.0 
42.164 9980.0 
43.165 9990.0 
44.167 9980.0 
45.169 9980.0 
46.17 9990.0 
47.172 9980.0 
48.174 9980.0 
49.175 9990.0 
50.177 9980.0 
51.179 9980.0 
52.181 9980.0 
53.183 9980.0 
54.185 9980.0 
55.186 10614.0 
56.188 9980.0 
57.19 9980.0 
58.191 9980.0 
59.193 9990.0 
60.195 9980.0 
61.196 9990.0 
62.197 9990.0 
63.2 9970.0 
64.201 9990.0 
65.203 9980.0 
66.205 9980.0 
67.207 9980.0 
68.209 9980.0 
69.211 9980.0 
70.213 9980.0 
71.215 9980.0 
72.216 9990.0 
73.218 9980.0 
74.219 9990.0 
75.221 9980.0 
76.222 9990.0 
77.224 9980.0 
78.225 9990.0 
79.227 9980.0 
80.229 9980.0 
81.231 9980.0 
82.232 9990.0 
83.233 9990.0 
84.235 9980.0 
85.236 9990.0 
86.238 9980.0 
87.24 9980.0 
88.241 9990.0 
89.243 9980.0 
90.245 9980.0 
91.247 9980.0 
92.248 9990.0 
93.25 9980.0 
94.252 9980.0 
95.253 9990.0 
96.255 9980.0 
97.256 9990.0 
98.258 9980.0 
99.259 9990.0 
100.261 9980.0 
101.262 9990.0 
102.264 9980.0 
103.265 9990.0 
104.266 9990.0 
105.268 9980.0 
106.27 9980.0 
107.271 9990.0 
108.273 9980.0 
109.275 9980.0 
110.276 9990.0 
111.278 9980.0 
112.279 9990.0 
113.281 9980.0 
114.282 9990.0 
115.284 9980.0 
116.286 9980.0 
117.287 9990.0 
118.289 9980.0 
119.29 9990.0 
120.292 9980.0 
121.293 9990.0 
122.295 9980.0 
123.296 9990.0 
124.298 9980.0 
125.3 9980.0 
126.301 9990.0 
127.303 9980.0 
128.304 9990.0 
129.306 9980.0 
130.308 9980.0 
131.309 9990.0 
132.311 9980.0 
133.313 9980.0 
134.314 9990.0 
135.316 9980.0 
136.317 9990.0 
137.319 9980.0 
138.321 9980.0 
139.322 9990.0 
140.324 9980.0 
141.325 9990.0 
142.327 9980.0 
143.328 9990.0 
144.33 9980.0 
145.331 9990.0 
146.332 9990.0 
147.334 9980.0 
148.335 9990.0 
149.337 9980.0 
150.338 9990.0 
151.34 9980.0 
152.342 9980.0 
153.343 9990.0 
154.345 9980.0 
155.346 9990.0 
156.348 9980.0 
157.349 9980.0 
158.351 9990.0 
159.353 9980.0 
160.354 9990.0 
161.356 12475.0 
162.358 9980.0 
163.36 9980.0 
164.361 9990.0 
165.363 9980.0 
166.364 9990.0 
167.366 9980.0 
168.368 9980.0 
169.369 9990.0 
170.371 9980.0 
171.373 9980.0 
172.375 9980.0 
173.376 9990.0 
174.378 7485.0 
175.379 9990.0 
176.38 9990.0 
177.382 9980.0 
178.384 9980.0 
179.386 9980.0 
180.387 9990.0 
181.388 9990.0 
182.39 9980.0 
183.392 9980.0 
184.394 9980.0 
185.395 9990.0 
186.397 10603.0 
187.399 9980.0 
